TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
Cleveland Browns,QB,3,Joe Flacco,https://www.espn.com/nfl/player/_/id/11252/joe-flacco,s:20~l:28~a:11252,,,,,
Cleveland Browns,PK,1,Dustin Hopkins,https://www.espn.com/nfl/player/_/id/15965/dustin-hopkins,s:20~l:28~a:15965,,,,,
Cleveland Browns,LG,1,Joel Bitonio,https://www.espn.com/nfl/player/_/id/16740/joel-bitonio,s:20~l:28~a:16740,,,,,
Cleveland Browns,RDT,2,Shelby Harris,https://www.espn.com/nfl/player/_/id/16837/shelby-harris,s:20~l:28~a:16837,,,,,
Cleveland Browns,RT,2,Cornelius Lucas,https://www.espn.com/nfl/player/_/id/17202/cornelius-lucas,s:20~l:28~a:17202,,,,,
Cleveland Browns,MLB,1,Jordan Hicks,https://www.espn.com/nfl/player/_/id/2514270/jordan-hicks,s:20~l:28~a:2514270,,,,,
Cleveland Browns,WR,3,DeAndre Carter,https://www.espn.com/nfl/player/_/id/2580216/deandre-carter,s:20~l:28~a:2580216,,PR,1,KR,1
Cleveland Browns,FS,2,Rayshawn Jenkins,https://www.espn.com/nfl/player/_/id/2969961/rayshawn-jenkins,s:20~l:28~a:2969961,,,,,
Cleveland Browns,SS,2,Damontae Kazee,https://www.espn.com/nfl/player/_/id/2976099/damontae-kazee,s:20~l:28~a:2976099,,,,,
Cleveland Browns,RT,1,Jack Conklin,https://www.espn.com/nfl/player/_/id/2979534/jack-conklin,s:20~l:28~a:2979534,,,,,
Cleveland Browns,LDT,1,Maliek Collins,https://www.espn.com/nfl/player/_/id/3040471/maliek-collins,s:20~l:28~a:3040471,,,,,
Cleveland Browns,C,1,Ethan Pocic,https://www.espn.com/nfl/player/_/id/3042738/ethan-pocic,s:20~l:28~a:3042738,,,,,
Cleveland Browns,RG,1,Wyatt Teller,https://www.espn.com/nfl/player/_/id/3045474/wyatt-teller,s:20~l:28~a:3045474,,,,,
Cleveland Browns,RDE,3,Ogbo Okoronkwo,https://www.espn.com/nfl/player/_/id/3052667/ogbo-okoronkwo,s:20~l:28~a:3052667,,,,,
Cleveland Browns,RCB,2,Tony Brown II,https://www.espn.com/nfl/player/_/id/3115308/tony-brown-ii,s:20~l:28~a:3115308,,,,,
Cleveland Browns,LDE,1,Myles Garrett,https://www.espn.com/nfl/player/_/id/3122132/myles-garrett,s:20~l:28~a:3122132,,,,,
Cleveland Browns,QB,1,Deshaun Watson,https://www.espn.com/nfl/player/_/id/3122840/deshaun-watson,s:20~l:28~a:3122840,Q,,,,
Cleveland Browns,RT,3,Jackson Barton,https://www.espn.com/nfl/player/_/id/3122865/jackson-barton,s:20~l:28~a:3122865,,,,,
Cleveland Browns,TE,1,David Njoku,https://www.espn.com/nfl/player/_/id/3123076/david-njoku,s:20~l:28~a:3123076,Q,,,,
Cleveland Browns,RCB,3,Nik Needham,https://www.espn.com/nfl/player/_/id/3124702/nik-needham,s:20~l:28~a:3124702,,,,,
Cleveland Browns,LS,1,Rex Sunahara,https://www.espn.com/nfl/player/_/id/3913293/rex-sunahara,s:20~l:28~a:3913293,,,,,
Cleveland Browns,MLB,2,Jerome Baker,https://www.espn.com/nfl/player/_/id/3915507/jerome-baker,s:20~l:28~a:3915507,,,,,
Cleveland Browns,LCB,1,Denzel Ward,https://www.espn.com/nfl/player/_/id/3915535/denzel-ward,s:20~l:28~a:3915535,,,,,
Cleveland Browns,WR,1,Diontae Johnson,https://www.espn.com/nfl/player/_/id/3932905/diontae-johnson,s:20~l:28~a:3932905,,,,,
Cleveland Browns,LDE,4,Elerson G. Smith,https://www.espn.com/nfl/player/_/id/4030924/elerson-g-smith,s:20~l:28~a:4030924,,,,,
Cleveland Browns,LDT,3,Sam Kamara,https://www.espn.com/nfl/player/_/id/4033855/sam-kamara,s:20~l:28~a:4033855,,,,,
Cleveland Browns,SLB,2,Devin Bush,https://www.espn.com/nfl/player/_/id/4036261/devin-bush,s:20~l:28~a:4036261,,,,,
Cleveland Browns,LG,2,Teven Jenkins,https://www.espn.com/nfl/player/_/id/4038457/teven-jenkins,s:20~l:28~a:4038457,,,,,
Cleveland Browns,P,1,Corey Bojorquez,https://www.espn.com/nfl/player/_/id/4039396/corey-bojorquez,s:20~l:28~a:4039396,,H,1,,
Cleveland Browns,LDE,3,Julian Okwara,https://www.espn.com/nfl/player/_/id/4046690/julian-okwara,s:20~l:28~a:4046690,,,,,
Cleveland Browns,LDT,4,Ralph Holley,https://www.espn.com/nfl/player/_/id/4240164/ralph-holley,s:20~l:28~a:4240164,,,,,
Cleveland Browns,QB,2,Kenny Pickett,https://www.espn.com/nfl/player/_/id/4240703/kenny-pickett,s:20~l:28~a:4240703,,,,,
Cleveland Browns,WR,1,Jerry Jeudy,https://www.espn.com/nfl/player/_/id/4241463/jerry-jeudy,s:20~l:28~a:4241463,,,,,
Cleveland Browns,SS,1,Grant Delpit,https://www.espn.com/nfl/player/_/id/4242208/grant-delpit,s:20~l:28~a:4242208,,,,,
Cleveland Browns,RDE,2,Joe Tryon-Shoyinka,https://www.espn.com/nfl/player/_/id/4243333/joe-tryon-shoyinka,s:20~l:28~a:4243333,,,,,
Cleveland Browns,RB,4,Pierre Strong Jr.,https://www.espn.com/nfl/player/_/id/4249836/pierre-strong-jr,s:20~l:28~a:4249836,,KR,3,,
Cleveland Browns,WLB,2,Winston Reid,https://www.espn.com/nfl/player/_/id/4251125/winston-reid,s:20~l:28~a:4251125,,,,,
Cleveland Browns,WLB,4,Jeremiah Owusu-Koramoah,https://www.espn.com/nfl/player/_/id/4258599/jeremiah-owusu-koramoah,s:20~l:28~a:4258599,O,,,,
Cleveland Browns,FB,1,Troy Hairston,https://www.espn.com/nfl/player/_/id/4274040/troy-hairston,s:20~l:28~a:4274040,,,,,
Cleveland Browns,WR,2,Michael Woods II,https://www.espn.com/nfl/player/_/id/4360174/michael-woods-ii,s:20~l:28~a:4360174,,,,,
Cleveland Browns,LT,3,Julian Pearl,https://www.espn.com/nfl/player/_/id/4360391/julian-pearl,s:20~l:28~a:4360391,,,,,
Cleveland Browns,LCB,2,Chigozie Anusiem,https://www.espn.com/nfl/player/_/id/4360475/chigozie-anusiem,s:20~l:28~a:4360475,,,,,
