TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
Houston Texans,FS,2,Jimmie Ward,https://www.espn.com/nfl/player/_/id/16717/jimmie-ward,s:20~l:28~a:16717,Q,,,,
Houston Texans,LDE,2,Denico Autry,https://www.espn.com/nfl/player/_/id/17447/denico-autry,s:20~l:28~a:17447,,,,,
Houston Texans,LG,2,Laken Tomlinson,https://www.espn.com/nfl/player/_/id/2512477/laken-tomlinson,s:20~l:28~a:2512477,,,,,
Houston Texans,RDT,2,Mario Edwards Jr.,https://www.espn.com/nfl/player/_/id/2969921/mario-edwards-jr,s:20~l:28~a:2969921,,,,,
Houston Texans,LDT,2,Sheldon Rankins,https://www.espn.com/nfl/player/_/id/2970204/sheldon-rankins,s:20~l:28~a:2970204,,,,,
Houston Texans,PK,1,Ka'imi Fairbairn,https://www.espn.com/nfl/player/_/id/2971573/kaimi-fairbairn,s:20~l:28~a:2971573,,,,,
Houston Texans,RDE,1,Danielle Hunter,https://www.espn.com/nfl/player/_/id/2976560/danielle-hunter,s:20~l:28~a:2976560,,,,,
Houston Texans,RT,2,Trent Brown,https://www.espn.com/nfl/player/_/id/3043109/trent-brown,s:20~l:28~a:3043109,,,,,
Houston Texans,RDT,1,Folorunso Fatukasi,https://www.espn.com/nfl/player/_/id/3045172/folorunso-fatukasi,s:20~l:28~a:3045172,,,,,
Houston Texans,SLB,1,E.J. Speed,https://www.espn.com/nfl/player/_/id/3071353/ej-speed,s:20~l:28~a:3071353,,WLB,2,,
Houston Texans,LT,1,Cam Robinson,https://www.espn.com/nfl/player/_/id/3115313/cam-robinson,s:20~l:28~a:3115313,,,,,
Houston Texans,RDE,3,Derek Barnett,https://www.espn.com/nfl/player/_/id/3115336/derek-barnett,s:20~l:28~a:3115336,,,,,
Houston Texans,FB,1,Jakob Johnson,https://www.espn.com/nfl/player/_/id/3115349/jakob-johnson,s:20~l:28~a:3115349,,,,,
Houston Texans,RB,1,Joe Mixon,https://www.espn.com/nfl/player/_/id/3116385/joe-mixon,s:20~l:28~a:3116385,Q,,,,
Houston Texans,SS,2,M.J. Stewart,https://www.espn.com/nfl/player/_/id/3116679/mj-stewart,s:20~l:28~a:3116679,,,,,
Houston Texans,TE,1,Dalton Schultz,https://www.espn.com/nfl/player/_/id/3117256/dalton-schultz,s:20~l:28~a:3117256,,,,,
Houston Texans,WR,3,Justin Watson,https://www.espn.com/nfl/player/_/id/3118892/justin-watson,s:20~l:28~a:3118892,,,,,
Houston Texans,WR,3,Braxton Berrios,https://www.espn.com/nfl/player/_/id/3123075/braxton-berrios,s:20~l:28~a:3123075,Q,PR,1,KR,2
Houston Texans,RB,2,Nick Chubb,https://www.espn.com/nfl/player/_/id/3128720/nick-chubb,s:20~l:28~a:3128720,,,,,
Houston Texans,LG,1,Tytus Howard,https://www.espn.com/nfl/player/_/id/3131498/tytus-howard,s:20~l:28~a:3131498,,,,,
Houston Texans,LCB,2,Tremon Smith,https://www.espn.com/nfl/player/_/id/3134448/tremon-smith,s:20~l:28~a:3134448,,KR,4,,
Houston Texans,LCB,3,D'Angelo Ross,https://www.espn.com/nfl/player/_/id/3139389/dangelo-ross,s:20~l:28~a:3139389,,,,,
Houston Texans,WR,1,Christian Kirk,https://www.espn.com/nfl/player/_/id/3895856/christian-kirk,s:20~l:28~a:3895856,,,,,
Houston Texans,RDE,2,Darrell Taylor,https://www.espn.com/nfl/player/_/id/3915396/darrell-taylor,s:20~l:28~a:3915396,,,,,
Houston Texans,P,1,Tommy Townsend,https://www.espn.com/nfl/player/_/id/3915398/tommy-townsend,s:20~l:28~a:3915398,,H,1,,
Houston Texans,MLB,1,Azeez Al-Shaair,https://www.espn.com/nfl/player/_/id/3919117/azeez-al-shaair,s:20~l:28~a:3919117,,,,,
Houston Texans,LDT,1,Tim Settle Jr.,https://www.espn.com/nfl/player/_/id/3929956/tim-settle-jr,s:20~l:28~a:3929956,,,,,
Houston Texans,LDE,4,Casey Toohill,https://www.espn.com/nfl/player/_/id/3931408/casey-toohill,s:20~l:28~a:3931408,,,,,
Houston Texans,WLB,3,Jake Hansen,https://www.espn.com/nfl/player/_/id/4033812/jake-hansen,s:20~l:28~a:4033812,,,,,
Houston Texans,LS,1,Tucker Addington,https://www.espn.com/nfl/player/_/id/4034729/tucker-addington,s:20~l:28~a:4034729,,,,,
Houston Texans,FS,1,C.J. Gardner-Johnson,https://www.espn.com/nfl/player/_/id/4034953/cj-gardner-johnson,s:20~l:28~a:4034953,,,,,
Houston Texans,MLB,2,Nick Niemann,https://www.espn.com/nfl/player/_/id/4036141/nick-niemann,s:20~l:28~a:4036141,,,,,
Houston Texans,LG,3,Zach Thomas,https://www.espn.com/nfl/player/_/id/4036834/zach-thomas,s:20~l:28~a:4036834,,,,,
Houston Texans,NB,3,Myles Bryant,https://www.espn.com/nfl/player/_/id/4039010/myles-bryant,s:20~l:28~a:4039010,,,,,
Houston Texans,FS,3,Russ Yeast,https://www.espn.com/nfl/player/_/id/4240071/russ-yeast,s:20~l:28~a:4240071,,,,,
Houston Texans,NB,1,Jalen Pitre,https://www.espn.com/nfl/player/_/id/4241223/jalen-pitre,s:20~l:28~a:4241223,,,,,
Houston Texans,RG,2,Ed Ingram,https://www.espn.com/nfl/player/_/id/4242227/ed-ingram,s:20~l:28~a:4242227,,,,,
Houston Texans,LT,3,Austin Deculus,https://www.espn.com/nfl/player/_/id/4242229/austin-deculus,s:20~l:28~a:4242229,,,,,
Houston Texans,WR,4,Johnny Johnson III,https://www.espn.com/nfl/player/_/id/4242504/johnny-johnson-iii,s:20~l:28~a:4242504,,,,,
Houston Texans,QB,2,Davis Mills,https://www.espn.com/nfl/player/_/id/4242546/davis-mills,s:20~l:28~a:4242546,,,,,
Houston Texans,WR,1,Nico Collins,https://www.espn.com/nfl/player/_/id/4258173/nico-collins,s:20~l:28~a:4258173,,,,,
Houston Texans,RDT,3,Kurt Hinish,https://www.espn.com/nfl/player/_/id/4258594/kurt-hinish,s:20~l:28~a:4258594,,,,,
Houston Texans,RB,3,Dameon Pierce,https://www.espn.com/nfl/player/_/id/4360238/dameon-pierce,s:20~l:28~a:4360238,,KR,1,,
Houston Texans,RT,3,Jaylon Thomas,https://www.espn.com/nfl/player/_/id/4360561/jaylon-thomas,s:20~l:28~a:4360561,,,,,
Houston Texans,LDT,4,Tommy Togiai,https://www.espn.com/nfl/player/_/id/4361366/tommy-togiai,s:20~l:28~a:4361366,,,,,
Houston Texans,RG,1,Juice Scruggs,https://www.espn.com/nfl/player/_/id/4361425/juice-scruggs,s:20~l:28~a:4361425,,,,,
Houston Texans,RDE,4,Solomon Byrd,https://www.espn.com/nfl/player/_/id/4361689/solomon-byrd,s:20~l:28~a:4361689,,,,,
Houston Texans,TE,2,Brevin Jordan,https://www.espn.com/nfl/player/_/id/4362504/brevin-jordan,s:20~l:28~a:4362504,,,,,
Houston Texans,C,3,Jake Andrews,https://www.espn.com/nfl/player/_/id/4362732/jake-andrews,s:20~l:28~a:4362732,,,,,
Houston Texans,WR,1,Tank Dell,https://www.espn.com/nfl/player/_/id/4366031/tank-dell,s:20~l:28~a:4366031,Q,,,,
Houston Texans,C,1,Jarrett Patterson,https://www.espn.com/nfl/player/_/id/4372774/jarrett-patterson,s:20~l:28~a:4372774,,,,,
Houston Texans,LDE,3,Dylan Horton,https://www.espn.com/nfl/player/_/id/4374066/dylan-horton,s:20~l:28~a:4374066,,,,,
Houston Texans,WR,4,Xavier Johnson,https://www.espn.com/nfl/player/_/id/4385430/xavier-johnson,s:20~l:28~a:4385430,,,,,
Houston Texans,QB,3,Graham Mertz,https://www.espn.com/nfl/player/_/id/4426335/graham-mertz,s:20~l:28~a:4426335,,,,,
Houston Texans,WLB,1,Henry To'oTo'o,https://www.espn.com/nfl/player/_/id/4426350/henry-tootoo,s:20~l:28~a:4426350,,,,,
