TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
Indianapolis Colts,RT,3,Jack Wilson,https://www.espn.com/nfl/player/_/id/2517081/jack-wilson,s:20~l:28~a:2517081,,,,,
Indianapolis Colts,LS,1,Luke Rhodes,https://www.espn.com/nfl/player/_/id/2566045/luke-rhodes,s:20~l:28~a:2566045,,,,,
Indianapolis Colts,RDT,1,DeForest Buckner,https://www.espn.com/nfl/player/_/id/2971282/deforest-buckner,s:20~l:28~a:2971282,,,,,
Indianapolis Colts,TE,2,Mo Alie-Cox,https://www.espn.com/nfl/player/_/id/2998565/mo-alie-cox,s:20~l:28~a:2998565,,,,,
Indianapolis Colts,RDE,3,Tyquan Lewis,https://www.espn.com/nfl/player/_/id/3040513/tyquan-lewis,s:20~l:28~a:3040513,,,,,
Indianapolis Colts,RDE,2,Samson Ebukam,https://www.espn.com/nfl/player/_/id/3045527/samson-ebukam,s:20~l:28~a:3045527,Q,,,,
Indianapolis Colts,WR,3,Laquon Treadwell,https://www.espn.com/nfl/player/_/id/3051889/laquon-treadwell,s:20~l:28~a:3051889,,,,,
Indianapolis Colts,RT,1,Braden Smith,https://www.espn.com/nfl/player/_/id/3121595/braden-smith,s:20~l:28~a:3121595,,,,,
Indianapolis Colts,MLB,1,Zaire Franklin,https://www.espn.com/nfl/player/_/id/3124005/zaire-franklin,s:20~l:28~a:3124005,Q,,,,
Indianapolis Colts,LG,1,Quenton Nelson,https://www.espn.com/nfl/player/_/id/3129308/quenton-nelson,s:20~l:28~a:3129308,,,,,
Indianapolis Colts,RDT,2,Neville Gallimore,https://www.espn.com/nfl/player/_/id/3892883/neville-gallimore,s:20~l:28~a:3892883,,,,,
Indianapolis Colts,P,1,Rigoberto Sanchez,https://www.espn.com/nfl/player/_/id/3914922/rigoberto-sanchez,s:20~l:28~a:3914922,,H,1,,
Indianapolis Colts,C,2,Danny Pinter,https://www.espn.com/nfl/player/_/id/3915470/danny-pinter,s:20~l:28~a:3915470,,,,,
Indianapolis Colts,C,3,Wesley French,https://www.espn.com/nfl/player/_/id/3916746/wesley-french,s:20~l:28~a:3916746,,,,,
Indianapolis Colts,QB,2,Daniel Jones,https://www.espn.com/nfl/player/_/id/3917792/daniel-jones,s:20~l:28~a:3917792,,,,,
Indianapolis Colts,WR,1,Michael Pittman Jr.,https://www.espn.com/nfl/player/_/id/4035687/michael-pittman-jr,s:20~l:28~a:4035687,Q,,,,
Indianapolis Colts,FS,1,Camryn Bynum,https://www.espn.com/nfl/player/_/id/4035861/camryn-bynum,s:20~l:28~a:4035861,,,,,
Indianapolis Colts,RB,2,Khalil Herbert,https://www.espn.com/nfl/player/_/id/4035886/khalil-herbert,s:20~l:28~a:4035886,,KR,3,,
Indianapolis Colts,SLB,2,Joe Bachie,https://www.espn.com/nfl/player/_/id/4036507/joe-bachie,s:20~l:28~a:4036507,,,,,
Indianapolis Colts,RCB,1,Charvarius Ward,https://www.espn.com/nfl/player/_/id/4037361/charvarius-ward,s:20~l:28~a:4037361,,,,,
Indianapolis Colts,LG,2,Josh Sills,https://www.espn.com/nfl/player/_/id/4039243/josh-sills,s:20~l:28~a:4039243,,,,,
Indianapolis Colts,LCB,3,David Long Jr.,https://www.espn.com/nfl/player/_/id/4046536/david-long-jr,s:20~l:28~a:4046536,,,,,
Indianapolis Colts,LDT,4,Eric Johnson II,https://www.espn.com/nfl/player/_/id/4050971/eric-johnson-ii,s:20~l:28~a:4050971,,,,,
Indianapolis Colts,LDT,1,Grover Stewart,https://www.espn.com/nfl/player/_/id/4058825/grover-stewart,s:20~l:28~a:4058825,,,,,
Indianapolis Colts,WR,2,Ashton Dulin,https://www.espn.com/nfl/player/_/id/4061956/ashton-dulin,s:20~l:28~a:4061956,,KR,2,,
Indianapolis Colts,NB,1,Kenny Moore II,https://www.espn.com/nfl/player/_/id/4218312/kenny-moore-ii,s:20~l:28~a:4218312,,,,,
Indianapolis Colts,TE,4,Jelani Woods,https://www.espn.com/nfl/player/_/id/4241410/jelani-woods,s:20~l:28~a:4241410,,,,,
Indianapolis Colts,MLB,3,Jacob Phillips,https://www.espn.com/nfl/player/_/id/4242206/jacob-phillips,s:20~l:28~a:4242206,,,,,
Indianapolis Colts,RB,1,Jonathan Taylor,https://www.espn.com/nfl/player/_/id/4242335/jonathan-taylor,s:20~l:28~a:4242335,,,,,
Indianapolis Colts,SS,2,Daniel Scott,https://www.espn.com/nfl/player/_/id/4242415/daniel-scott,s:20~l:28~a:4242415,,,,,
Indianapolis Colts,FS,2,Rodney Thomas II,https://www.espn.com/nfl/player/_/id/4248455/rodney-thomas-ii,s:20~l:28~a:4248455,,,,,
Indianapolis Colts,WR,3,D.J. Montgomery,https://www.espn.com/nfl/player/_/id/4249030/dj-montgomery,s:20~l:28~a:4249030,,,,,
Indianapolis Colts,LDE,1,Kwity Paye,https://www.espn.com/nfl/player/_/id/4258194/kwity-paye,s:20~l:28~a:4258194,,,,,
Indianapolis Colts,SLB,1,Segun Olubi,https://www.espn.com/nfl/player/_/id/4260703/segun-olubi,s:20~l:28~a:4260703,,,,,
Indianapolis Colts,RCB,3,Samuel Womack III,https://www.espn.com/nfl/player/_/id/4280416/samuel-womack-iii,s:20~l:28~a:4280416,,,,,
Indianapolis Colts,WR,1,Alec Pierce,https://www.espn.com/nfl/player/_/id/4360078/alec-pierce,s:20~l:28~a:4360078,,,,,
Indianapolis Colts,LCB,2,JuJu Brents,https://www.espn.com/nfl/player/_/id/4360488/juju-brents,s:20~l:28~a:4360488,,,,,
Indianapolis Colts,RDE,4,Durell Nchami,https://www.espn.com/nfl/player/_/id/4360638/durell-nchami,s:20~l:28~a:4360638,,,,,
Indianapolis Colts,QB,4,Jason Bean,https://www.espn.com/nfl/player/_/id/4360900/jason-bean,s:20~l:28~a:4360900,,,,,
Indianapolis Colts,LT,3,Luke Tenuta,https://www.espn.com/nfl/player/_/id/4361979/luke-tenuta,s:20~l:28~a:4361979,,,,,
Indianapolis Colts,LT,1,Bernhard Raimann,https://www.espn.com/nfl/player/_/id/4362580/bernhard-raimann,s:20~l:28~a:4362580,,,,,
Indianapolis Colts,NB,3,Alex Johnson,https://www.espn.com/nfl/player/_/id/4367181/alex-johnson,s:20~l:28~a:4367181,,,,,
Indianapolis Colts,MLB,2,Liam Anderson,https://www.espn.com/nfl/player/_/id/4368056/liam-anderson,s:20~l:28~a:4368056,,,,,
Indianapolis Colts,WR,4,Landon Parker,https://www.espn.com/nfl/player/_/id/4370170/landon-parker,s:20~l:28~a:4370170,,,,,
