TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
Jacksonville Jaguars,SS,1,Eric Murray,https://www.espn.com/nfl/player/_/id/2970716/eric-murray,s:20~l:28~a:2970716,,,,,
Jacksonville Jaguars,RDT,1,Arik Armstead,https://www.espn.com/nfl/player/_/id/2971275/arik-armstead,s:20~l:28~a:2971275,,,,,
Jacksonville Jaguars,LDE,2,Emmanuel Ogbah,https://www.espn.com/nfl/player/_/id/2977740/emmanuel-ogbah,s:20~l:28~a:2977740,,,,,
Jacksonville Jaguars,RDE,2,Dawuane Smoot,https://www.espn.com/nfl/player/_/id/3042476/dawuane-smoot,s:20~l:28~a:3042476,,,,,
Jacksonville Jaguars,NB,1,Jourdan Lewis,https://www.espn.com/nfl/player/_/id/3045207/jourdan-lewis,s:20~l:28~a:3045207,,,,,
Jacksonville Jaguars,WLB,1,Foyesade Oluokun,https://www.espn.com/nfl/player/_/id/3050073/foyesade-oluokun,s:20~l:28~a:3050073,,,,,
Jacksonville Jaguars,TE,2,Johnny Mundt,https://www.espn.com/nfl/player/_/id/3052096/johnny-mundt,s:20~l:28~a:3052096,,,,,
Jacksonville Jaguars,QB,2,Nick Mullens,https://www.espn.com/nfl/player/_/id/3059989/nick-mullens,s:20~l:28~a:3059989,,,,,
Jacksonville Jaguars,P,1,Logan Cooke,https://www.espn.com/nfl/player/_/id/3115480/logan-cooke,s:20~l:28~a:3115480,,H,1,,
Jacksonville Jaguars,QB,3,John Wolford,https://www.espn.com/nfl/player/_/id/3124092/john-wolford,s:20~l:28~a:3124092,,,,,
Jacksonville Jaguars,LG,2,Chuma Edoga,https://www.espn.com/nfl/player/_/id/3701582/chuma-edoga,s:20~l:28~a:3701582,,,,,
Jacksonville Jaguars,RG,1,Patrick Mekari,https://www.espn.com/nfl/player/_/id/3863820/patrick-mekari,s:20~l:28~a:3863820,,,,,
Jacksonville Jaguars,LT,2,Fred Johnson,https://www.espn.com/nfl/player/_/id/3915106/fred-johnson,s:20~l:28~a:3915106,,,,,
Jacksonville Jaguars,LDE,1,Josh Hines-Allen,https://www.espn.com/nfl/player/_/id/3915239/josh-hines-allen,s:20~l:28~a:3915239,,,,,
Jacksonville Jaguars,FS,1,Darnell Savage,https://www.espn.com/nfl/player/_/id/3915419/darnell-savage,s:20~l:28~a:3915419,,,,,
Jacksonville Jaguars,LDT,1,DaVon Hamilton,https://www.espn.com/nfl/player/_/id/3915520/davon-hamilton,s:20~l:28~a:3915520,,,,,
Jacksonville Jaguars,FS,3,Andrew Wingard,https://www.espn.com/nfl/player/_/id/3918331/andrew-wingard,s:20~l:28~a:3918331,,,,,
Jacksonville Jaguars,LS,1,Ross Matiscik,https://www.espn.com/nfl/player/_/id/3928931/ross-matiscik,s:20~l:28~a:3928931,,,,,
Jacksonville Jaguars,WR,3,Trenton Irwin,https://www.espn.com/nfl/player/_/id/3931391/trenton-irwin,s:20~l:28~a:3931391,,,,,
Jacksonville Jaguars,C,2,Luke Fortner,https://www.espn.com/nfl/player/_/id/4035048/luke-fortner,s:20~l:28~a:4035048,,,,,
Jacksonville Jaguars,FS,4,Daniel Thomas,https://www.espn.com/nfl/player/_/id/4035505/daniel-thomas,s:20~l:28~a:4035505,,,,,
Jacksonville Jaguars,RT,2,Cole Van Lanen,https://www.espn.com/nfl/player/_/id/4035791/cole-van-lanen,s:20~l:28~a:4035791,,,,,
Jacksonville Jaguars,LCB,3,Zech McPhearson,https://www.espn.com/nfl/player/_/id/4045161/zech-mcphearson,s:20~l:28~a:4045161,,,,,
Jacksonville Jaguars,LG,1,Ezra Cleveland,https://www.espn.com/nfl/player/_/id/4048231/ezra-cleveland,s:20~l:28~a:4048231,,,,,
Jacksonville Jaguars,TE,3,Hunter Long,https://www.espn.com/nfl/player/_/id/4239944/hunter-long,s:20~l:28~a:4239944,,,,,
Jacksonville Jaguars,RB,1,Travis Etienne Jr.,https://www.espn.com/nfl/player/_/id/4239996/travis-etienne-jr,s:20~l:28~a:4239996,,,,,
Jacksonville Jaguars,SLB,1,Ventrell Miller,https://www.espn.com/nfl/player/_/id/4240610/ventrell-miller,s:20~l:28~a:4240610,,,,,
Jacksonville Jaguars,RCB,2,Montaric Brown,https://www.espn.com/nfl/player/_/id/4242149/montaric-brown,s:20~l:28~a:4242149,,,,,
Jacksonville Jaguars,C,1,Robert Hainsey,https://www.espn.com/nfl/player/_/id/4242391/robert-hainsey,s:20~l:28~a:4242391,,,,,
Jacksonville Jaguars,LT,1,Walker Little,https://www.espn.com/nfl/player/_/id/4242554/walker-little,s:20~l:28~a:4242554,,,,,
Jacksonville Jaguars,MLB,1,Devin Lloyd,https://www.espn.com/nfl/player/_/id/4243256/devin-lloyd,s:20~l:28~a:4243256,,,,,
