TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
Los Angeles Rams,QB,1,Matthew Stafford,https://www.espn.com/nfl/player/_/id/12483/matthew-stafford,s:20~l:28~a:12483,,,,,
Los Angeles Rams,QB,2,Jimmy Garoppolo,https://www.espn.com/nfl/player/_/id/16760/jimmy-garoppolo,s:20~l:28~a:16760,,,,,
Los Angeles Rams,WR,1,Davante Adams,https://www.espn.com/nfl/player/_/id/16800/davante-adams,s:20~l:28~a:16800,,,,,
Los Angeles Rams,RT,1,Rob Havenstein,https://www.espn.com/nfl/player/_/id/2515613/rob-havenstein,s:20~l:28~a:2515613,,,,,
Los Angeles Rams,TE,1,Tyler Higbee,https://www.espn.com/nfl/player/_/id/2573401/tyler-higbee,s:20~l:28~a:2573401,,,,,
Los Angeles Rams,LT,2,D.J. Humphries,https://www.espn.com/nfl/player/_/id/2971048/dj-humphries,s:20~l:28~a:2971048,,,,,
Los Angeles Rams,C,1,Coleman Shelton,https://www.espn.com/nfl/player/_/id/3052180/coleman-shelton,s:20~l:28~a:3052180,,,,,
Los Angeles Rams,LILB,1,Troy Reeder,https://www.espn.com/nfl/player/_/id/3116177/troy-reeder,s:20~l:28~a:3116177,,,,,
Los Angeles Rams,RCB,1,Ahkello Witherspoon,https://www.espn.com/nfl/player/_/id/3122630/ahkello-witherspoon,s:20~l:28~a:3122630,,,,,
Los Angeles Rams,NT,1,Poona Ford,https://www.espn.com/nfl/player/_/id/3125114/poona-ford,s:20~l:28~a:3125114,,,,,
Los Angeles Rams,RG,1,Kevin Dotson,https://www.espn.com/nfl/player/_/id/3917599/kevin-dotson,s:20~l:28~a:3917599,,,,,
Los Angeles Rams,WR,3,Britain Covey,https://www.espn.com/nfl/player/_/id/3926231/britain-covey,s:20~l:28~a:3926231,,PR,3,,
Los Angeles Rams,WR,3,Quintez Cephus,https://www.espn.com/nfl/player/_/id/4035793/quintez-cephus,s:20~l:28~a:4035793,,,,,
Los Angeles Rams,LT,1,Alaric Jackson,https://www.espn.com/nfl/player/_/id/4036135/alaric-jackson,s:20~l:28~a:4036135,Q,,,,
Los Angeles Rams,LCB,4,A.J. Green III,https://www.espn.com/nfl/player/_/id/4038437/aj-green-iii,s:20~l:28~a:4038437,,,,,
Los Angeles Rams,WLB,3,Keir Thomas,https://www.espn.com/nfl/player/_/id/4038843/keir-thomas,s:20~l:28~a:4038843,,,,,
Los Angeles Rams,RDE,3,Jack Heflin,https://www.espn.com/nfl/player/_/id/4039485/jack-heflin,s:20~l:28~a:4039485,,,,,
Los Angeles Rams,LT,3,AJ Arcuri,https://www.espn.com/nfl/player/_/id/4046707/aj-arcuri,s:20~l:28~a:4046707,,,,,
Los Angeles Rams,LCB,1,Darious Williams,https://www.espn.com/nfl/player/_/id/4239833/darious-williams,s:20~l:28~a:4239833,,,,,
Los Angeles Rams,LDE,3,Larrell Murchison,https://www.espn.com/nfl/player/_/id/4240123/larrell-murchison,s:20~l:28~a:4240123,,,,,
Los Angeles Rams,NB,4,Shaun Jolly,https://www.espn.com/nfl/player/_/id/4241008/shaun-jolly,s:20~l:28~a:4241008,,,,,
Los Angeles Rams,SS,1,Kamren Curl,https://www.espn.com/nfl/player/_/id/4242154/kamren-curl,s:20~l:28~a:4242154,,,,,
Los Angeles Rams,TE,3,Colby Parkinson,https://www.espn.com/nfl/player/_/id/4242557/colby-parkinson,s:20~l:28~a:4242557,,,,,
