TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
New Orleans Saints,LDE,1,Cameron Jordan,https://www.espn.com/nfl/player/_/id/13971/cameron-jordan,s:20~l:28~a:13971,,,,,
New Orleans Saints,LILB,1,Demario Davis,https://www.espn.com/nfl/player/_/id/14958/demario-davis,s:20~l:28~a:14958,,,,,
New Orleans Saints,FS,1,Tyrann Mathieu,https://www.espn.com/nfl/player/_/id/15851/tyrann-mathieu,s:20~l:28~a:15851,,,,,
New Orleans Saints,WR,1,Brandin Cooks,https://www.espn.com/nfl/player/_/id/16731/brandin-cooks,s:20~l:28~a:16731,,,,,
New Orleans Saints,TE,2,Taysom Hill,https://www.espn.com/nfl/player/_/id/2468609/taysom-hill,s:20~l:28~a:2468609,Q,,,,
New Orleans Saints,LS,1,Zach Wood,https://www.espn.com/nfl/player/_/id/2575788/zach-wood,s:20~l:28~a:2575788,,,,,
New Orleans Saints,RB,1,Alvin Kamara,https://www.espn.com/nfl/player/_/id/3054850/alvin-kamara,s:20~l:28~a:3054850,,,,,
New Orleans Saints,NT,1,Davon Godchaux,https://www.espn.com/nfl/player/_/id/3115383/davon-godchaux,s:20~l:28~a:3115383,,,,,
New Orleans Saints,C,2,Will Clapp,https://www.espn.com/nfl/player/_/id/3115387/will-clapp,s:20~l:28~a:3115387,,,,,
New Orleans Saints,FS,3,J.T. Gray,https://www.espn.com/nfl/player/_/id/3115481/jt-gray,s:20~l:28~a:3115481,,,,,
New Orleans Saints,RDE,1,Khalen Saunders,https://www.espn.com/nfl/player/_/id/3121634/khalen-saunders,s:20~l:28~a:3121634,,,,,
New Orleans Saints,LCB,2,Isaac Yiadom,https://www.espn.com/nfl/player/_/id/3122797/isaac-yiadom,s:20~l:28~a:3122797,,,,,
New Orleans Saints,WR,3,Dante Pettis,https://www.espn.com/nfl/player/_/id/3127306/dante-pettis,s:20~l:28~a:3127306,,PR,3,KR,4
New Orleans Saints,TE,3,Foster Moreau,https://www.espn.com/nfl/player/_/id/3843945/foster-moreau,s:20~l:28~a:3843945,Q,,,,
New Orleans Saints,NB,1,Ugo Amadi,https://www.espn.com/nfl/player/_/id/3886834/ugo-amadi,s:20~l:28~a:3886834,,,,,
New Orleans Saints,C,1,Erik McCoy,https://www.espn.com/nfl/player/_/id/3917331/erik-mccoy,s:20~l:28~a:3917331,,,,,
New Orleans Saints,WLB,1,Carl Granderson,https://www.espn.com/nfl/player/_/id/3918310/carl-granderson,s:20~l:28~a:3918310,,,,,
New Orleans Saints,TE,1,Juwan Johnson,https://www.espn.com/nfl/player/_/id/3929645/juwan-johnson,s:20~l:28~a:3929645,,,,,
New Orleans Saints,SS,1,Justin Reid,https://www.espn.com/nfl/player/_/id/3931399/justin-reid,s:20~l:28~a:3931399,,,,,
New Orleans Saints,WR,1,Rashid Shaheed,https://www.espn.com/nfl/player/_/id/4032473/rashid-shaheed,s:20~l:28~a:4032473,,PR,1,KR,1
New Orleans Saints,SLB,2,Jonah Williams,https://www.espn.com/nfl/player/_/id/4032481/jonah-williams,s:20~l:28~a:4032481,,,,,
New Orleans Saints,TE,4,Jack Stoll,https://www.espn.com/nfl/player/_/id/4034862/jack-stoll,s:20~l:28~a:4034862,,,,,
New Orleans Saints,RG,2,Landon Young,https://www.espn.com/nfl/player/_/id/4035079/landon-young,s:20~l:28~a:4035079,,,,,
New Orleans Saints,RT,2,Josh Ball,https://www.espn.com/nfl/player/_/id/4035626/josh-ball,s:20~l:28~a:4035626,,,,,
New Orleans Saints,FS,4,Terrell Burgess,https://www.espn.com/nfl/player/_/id/4035663/terrell-burgess,s:20~l:28~a:4035663,,,,,
New Orleans Saints,PR,2,Velus Jones Jr.,https://www.espn.com/nfl/player/_/id/4035693/velus-jones-jr,s:20~l:28~a:4035693,,KR,2,,
New Orleans Saints,WR,2,Cedrick Wilson Jr.,https://www.espn.com/nfl/player/_/id/4036335/cedrick-wilson-jr,s:20~l:28~a:4036335,,,,,
New Orleans Saints,LG,2,Dillon Radunz,https://www.espn.com/nfl/player/_/id/4040945/dillon-radunz,s:20~l:28~a:4040945,,,,,
New Orleans Saints,NT,2,Nathan Shepherd,https://www.espn.com/nfl/player/_/id/4076951/nathan-shepherd,s:20~l:28~a:4076951,,,,,
New Orleans Saints,RB,4,Cam Akers,https://www.espn.com/nfl/player/_/id/4240021/cam-akers,s:20~l:28~a:4240021,,,,,
New Orleans Saints,SLB,4,Chris Rumph II,https://www.espn.com/nfl/player/_/id/4240475/chris-rumph-ii,s:20~l:28~a:4240475,,,,,
New Orleans Saints,LILB,3,D'Marco Jackson,https://www.espn.com/nfl/player/_/id/4241007/dmarco-jackson,s:20~l:28~a:4241007,,,,,
New Orleans Saints,RILB,3,Nephi Sewell,https://www.espn.com/nfl/player/_/id/4241611/nephi-sewell,s:20~l:28~a:4241611,,,,,
New Orleans Saints,SLB,1,Chase Young,https://www.espn.com/nfl/player/_/id/4241986/chase-young,s:20~l:28~a:4241986,,,,,
New Orleans Saints,RILB,1,Pete Werner,https://www.espn.com/nfl/player/_/id/4241993/pete-werner,s:20~l:28~a:4241993,,,,,
New Orleans Saints,QB,3,Jake Haener,https://www.espn.com/nfl/player/_/id/4243322/jake-haener,s:20~l:28~a:4243322,Q,,,,
New Orleans Saints,RDE,3,John Ridgeway III,https://www.espn.com/nfl/player/_/id/4248047/john-ridgeway-iii,s:20~l:28~a:4248047,,,,,
New Orleans Saints,LG,1,Trevor Penning,https://www.espn.com/nfl/player/_/id/4248627/trevor-penning,s:20~l:28~a:4248627,,,,,
New Orleans Saints,LT,2,Barry Wesley,https://www.espn.com/nfl/player/_/id/4256055/barry-wesley,s:20~l:28~a:4256055,,,,,
New Orleans Saints,WR,3,Donovan Peoples-Jones,https://www.espn.com/nfl/player/_/id/4258195/donovan-peoples-jones,s:20~l:28~a:4258195,,,,,
New Orleans Saints,RG,1,Cesar Ruiz,https://www.espn.com/nfl/player/_/id/4258199/cesar-ruiz,s:20~l:28~a:4258199,,,,,
New Orleans Saints,PK,1,Blake Grupe,https://www.espn.com/nfl/player/_/id/4259619/blake-grupe,s:20~l:28~a:4259619,,,,,
New Orleans Saints,QB,1,Tyler Shough,https://www.espn.com/nfl/player/_/id/4360689/tyler-shough,s:20~l:28~a:4360689,,,,,
New Orleans Saints,SS,2,Jordan Howden,https://www.espn.com/nfl/player/_/id/4360949/jordan-howden,s:20~l:28~a:4360949,,,,,
New Orleans Saints,LILB,4,Isaiah Stalbird,https://www.espn.com/nfl/player/_/id/4361194/isaiah-stalbird,s:20~l:28~a:4361194,,,,,
New Orleans Saints,WR,1,Chris Olave,https://www.espn.com/nfl/player/_/id/4361370/chris-olave,s:20~l:28~a:4361370,,,,,
New Orleans Saints,LG,3,Nick Saldiveri,https://www.espn.com/nfl/player/_/id/4361600/nick-saldiveri,s:20~l:28~a:4361600,,,,,
New Orleans Saints,RCB,2,Rico Payton,https://www.espn.com/nfl/player/_/id/4368350/rico-payton,s:20~l:28~a:4368350,,,,,
New Orleans Saints,RCB,1,Alontae Taylor,https://www.espn.com/nfl/player/_/id/4369835/alontae-taylor,s:20~l:28~a:4369835,,,,,
New Orleans Saints,WR,2,Kevin Austin Jr.,https://www.espn.com/nfl/player/_/id/4372758/kevin-austin-jr,s:20~l:28~a:4372758,,,,,
New Orleans Saints,RDE,4,Khristian Boyd,https://www.espn.com/nfl/player/_/id/4384595/khristian-boyd,s:20~l:28~a:4384595,,,,,
New Orleans Saints,LG,4,Kyle Hergel,https://www.espn.com/nfl/player/_/id/4384683/kyle-hergel,s:20~l:28~a:4384683,,,,,
