TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
New York Giants,PK,1,Graham Gano,https://www.espn.com/nfl/player/_/id/12460/graham-gano,s:20~l:28~a:12460,,,,,
New York Giants,QB,1,Russell Wilson,https://www.espn.com/nfl/player/_/id/14881/russell-wilson,s:20~l:28~a:14881,,,,,
New York Giants,RG,1,Greg Van Roten,https://www.espn.com/nfl/player/_/id/15718/greg-van-roten,s:20~l:28~a:15718,,,,,
New York Giants,LS,1,Casey Kreiter,https://www.espn.com/nfl/player/_/id/17304/casey-kreiter,s:20~l:28~a:17304,,,,,
New York Giants,TE,3,Chris Manhertz,https://www.espn.com/nfl/player/_/id/2531358/chris-manhertz,s:20~l:28~a:2531358,,,,,
New York Giants,RDE,1,Roy Robertson-Harris,https://www.espn.com/nfl/player/_/id/2574891/roy-robertson-harris,s:20~l:28~a:2574891,,,,,
New York Giants,LDE,1,Rakeem Nunez-Roches,https://www.espn.com/nfl/player/_/id/2575453/rakeem-nunez-roches,s:20~l:28~a:2575453,,,,,
New York Giants,QB,2,Jameis Winston,https://www.espn.com/nfl/player/_/id/2969939/jameis-winston,s:20~l:28~a:2969939,,,,,
New York Giants,WR,2,Zach Pascal,https://www.espn.com/nfl/player/_/id/2978109/zach-pascal,s:20~l:28~a:2978109,,,,,
New York Giants,LG,3,Aaron Stinnie,https://www.espn.com/nfl/player/_/id/3049339/aaron-stinnie,s:20~l:28~a:3049339,,,,,
New York Giants,RILB,2,Chris Board,https://www.espn.com/nfl/player/_/id/3060403/chris-board,s:20~l:28~a:3060403,,,,,
New York Giants,RT,1,Jermaine Eluemunor,https://www.espn.com/nfl/player/_/id/3115303/jermaine-eluemunor,s:20~l:28~a:3115303,,,,,
New York Giants,RILB,3,Ty Summers,https://www.espn.com/nfl/player/_/id/3116431/ty-summers,s:20~l:28~a:3116431,,,,,
New York Giants,LILB,1,Bobby Okereke,https://www.espn.com/nfl/player/_/id/3117253/bobby-okereke,s:20~l:28~a:3117253,,,,,
New York Giants,LDE,2,Jeremiah Ledbetter,https://www.espn.com/nfl/player/_/id/3892689/jeremiah-ledbetter,s:20~l:28~a:3892689,,,,,
New York Giants,WR,1,Darius Slayton,https://www.espn.com/nfl/player/_/id/3916945/darius-slayton,s:20~l:28~a:3916945,,PR,2,,
New York Giants,LG,1,Jon Runyan,https://www.espn.com/nfl/player/_/id/3929936/jon-runyan,s:20~l:28~a:3929936,,,,,
New York Giants,LILB,3,Demetrius Flannigan-Fowles,https://www.espn.com/nfl/player/_/id/3931424/demetrius-flannigan-fowles,s:20~l:28~a:3931424,,,,,
New York Giants,P,1,Jamie Gillan,https://www.espn.com/nfl/player/_/id/3936185/jamie-gillan,s:20~l:28~a:3936185,,H,1,,
New York Giants,RT,2,Stone Forsythe,https://www.espn.com/nfl/player/_/id/4034962/stone-forsythe,s:20~l:28~a:4034962,,,,,
New York Giants,NT,1,Dexter Lawrence II,https://www.espn.com/nfl/player/_/id/4035483/dexter-lawrence-ii,s:20~l:28~a:4035483,,,,,
New York Giants,WLB,1,Brian Burns,https://www.espn.com/nfl/player/_/id/4035631/brian-burns,s:20~l:28~a:4035631,,,,,
New York Giants,WLB,2,Chauncey Golston,https://www.espn.com/nfl/player/_/id/4036132/chauncey-golston,s:20~l:28~a:4036132,,,,,
New York Giants,SLB,3,Tomon Fox,https://www.espn.com/nfl/player/_/id/4037520/tomon-fox,s:20~l:28~a:4037520,,,,,
New York Giants,C,2,Austin Schlottmann,https://www.espn.com/nfl/player/_/id/4038544/austin-schlottmann,s:20~l:28~a:4038544,,,,,
New York Giants,WR,2,Lil'Jordan Humphrey,https://www.espn.com/nfl/player/_/id/4039057/liljordan-humphrey,s:20~l:28~a:4039057,,,,,
New York Giants,LDE,3,Elijah Garcia,https://www.espn.com/nfl/player/_/id/4039170/elijah-garcia,s:20~l:28~a:4039170,,,,,
New York Giants,RB,2,Devin Singletary,https://www.espn.com/nfl/player/_/id/4040761/devin-singletary,s:20~l:28~a:4040761,,,,,
New York Giants,NT,4,Timmy Horne,https://www.espn.com/nfl/player/_/id/4045701/timmy-horne,s:20~l:28~a:4045701,,,,,
New York Giants,C,3,Jimmy Morrissey,https://www.espn.com/nfl/player/_/id/4046165/jimmy-morrissey,s:20~l:28~a:4046165,,,,,
New York Giants,RDE,4,Cory Durden,https://www.espn.com/nfl/player/_/id/4240042/cory-durden,s:20~l:28~a:4240042,,,,,
New York Giants,QB,4,Tommy DeVito,https://www.espn.com/nfl/player/_/id/4240391/tommy-devito,s:20~l:28~a:4240391,,,,,
New York Giants,WLB,3,Victor Dimukeje,https://www.espn.com/nfl/player/_/id/4240464/victor-dimukeje,s:20~l:28~a:4240464,Q,,,,
New York Giants,WR,3,Ihmir Smith-Marsette,https://www.espn.com/nfl/player/_/id/4240573/ihmir-smith-marsette,s:20~l:28~a:4240573,,PR,1,KR,1
New York Giants,NT,3,Jordon Riley,https://www.espn.com/nfl/player/_/id/4240677/jordon-riley,s:20~l:28~a:4240677,,,,,
New York Giants,C,1,John Michael Schmitz Jr.,https://www.espn.com/nfl/player/_/id/4240771/john-michael-schmitz-jr,s:20~l:28~a:4240771,,,,,
New York Giants,LCB,1,Paulson Adebo,https://www.espn.com/nfl/player/_/id/4242547/paulson-adebo,s:20~l:28~a:4242547,,,,,
New York Giants,NT,2,D.J. Davidson,https://www.espn.com/nfl/player/_/id/4242899/dj-davidson,s:20~l:28~a:4242899,,,,,
New York Giants,WR,3,Montrell Washington,https://www.espn.com/nfl/player/_/id/4248822/montrell-washington,s:20~l:28~a:4248822,,,,,
New York Giants,LT,3,James Hudson III,https://www.espn.com/nfl/player/_/id/4258181/james-hudson-iii,s:20~l:28~a:4258181,,,,,
New York Giants,FS,3,Raheem Layne,https://www.espn.com/nfl/player/_/id/4258237/raheem-layne,s:20~l:28~a:4258237,,,,,
New York Giants,LT,1,Andrew Thomas,https://www.espn.com/nfl/player/_/id/4259566/andrew-thomas,s:20~l:28~a:4259566,,,,,
New York Giants,RB,1,Tyrone Tracy Jr.,https://www.espn.com/nfl/player/_/id/4360516/tyrone-tracy-jr,s:20~l:28~a:4360516,,KR,4,,
New York Giants,TE,2,Daniel Bellinger,https://www.espn.com/nfl/player/_/id/4361516/daniel-bellinger,s:20~l:28~a:4361516,,,,,
New York Giants,FS,2,Anthony Johnson Jr.,https://www.espn.com/nfl/player/_/id/4361748/anthony-johnson-jr,s:20~l:28~a:4361748,,,,,
New York Giants,WR,3,Bryce Ford-Wheaton,https://www.espn.com/nfl/player/_/id/4362227/bryce-ford-wheaton,s:20~l:28~a:4362227,,,,,
New York Giants,RILB,4,Dyontae Johnson,https://www.espn.com/nfl/player/_/id/4362280/dyontae-johnson,s:20~l:28~a:4362280,,,,,
New York Giants,TE,4,Greg Dulcich,https://www.espn.com/nfl/player/_/id/4367209/greg-dulcich,s:20~l:28~a:4367209,,,,,
New York Giants,RILB,1,Micah McFadden,https://www.espn.com/nfl/player/_/id/4371961/micah-mcfadden,s:20~l:28~a:4371961,,,,,
New York Giants,LT,2,Joshua Ezeudu,https://www.espn.com/nfl/player/_/id/4373280/joshua-ezeudu,s:20~l:28~a:4373280,,,,,
New York Giants,FS,1,Jevon Holland,https://www.espn.com/nfl/player/_/id/4373809/jevon-holland,s:20~l:28~a:4373809,,,,,
New York Giants,RG,3,Jake Kubas,https://www.espn.com/nfl/player/_/id/4383405/jake-kubas,s:20~l:28~a:4383405,,,,,
New York Giants,SLB,2,Kayvon Thibodeaux,https://www.espn.com/nfl/player/_/id/4426326/kayvon-thibodeaux,s:20~l:28~a:4426326,,,,,
New York Giants,C,4,Bryan Hudson,https://www.espn.com/nfl/player/_/id/4426489/bryan-hudson,s:20~l:28~a:4426489,,,,,
New York Giants,RDE,2,Darius Alexander,https://www.espn.com/nfl/player/_/id/4426542/darius-alexander,s:20~l:28~a:4426542,Q,,,,
New York Giants,SS,2,Dane Belton,https://www.espn.com/nfl/player/_/id/4426686/dane-belton,s:20~l:28~a:4426686,,,,,
New York Giants,WLB,4,Trace Ford,https://www.espn.com/nfl/player/_/id/4427207/trace-ford,s:20~l:28~a:4427207,,,,,
New York Giants,LCB,4,Nic Jones,https://www.espn.com/nfl/player/_/id/4427636/nic-jones,s:20~l:28~a:4427636,,,,,
New York Giants,LILB,2,Darius Muasau,https://www.espn.com/nfl/player/_/id/4428072/darius-muasau,s:20~l:28~a:4428072,,,,,
New York Giants,RCB,1,Deonte Banks,https://www.espn.com/nfl/player/_/id/4428328/deonte-banks,s:20~l:28~a:4428328,,,,,
New York Giants,FS,4,Makari Paige,https://www.espn.com/nfl/player/_/id/4429139/makari-paige,s:20~l:28~a:4429139,,,,,
New York Giants,TE,1,Theo Johnson,https://www.espn.com/nfl/player/_/id/4429148/theo-johnson,s:20~l:28~a:4429148,,,,,
New York Giants,RCB,2,Korie Black,https://www.espn.com/nfl/player/_/id/4429281/korie-black,s:20~l:28~a:4429281,,,,,
New York Giants,RDE,3,Elijah Chatman,https://www.espn.com/nfl/player/_/id/4429392/elijah-chatman,s:20~l:28~a:4429392,,,,,
New York Giants,LCB,2,Cor'Dale Flott,https://www.espn.com/nfl/player/_/id/4429607/cordale-flott,s:20~l:28~a:4429607,,,,,
New York Giants,SS,1,Tyler Nubin,https://www.espn.com/nfl/player/_/id/4430261/tyler-nubin,s:20~l:28~a:4430261,,,,,
New York Giants,LT,4,Jaison Williams,https://www.espn.com/nfl/player/_/id/4430738/jaison-williams,s:20~l:28~a:4430738,,,,,
New York Giants,WR,4,Beaux Collins,https://www.espn.com/nfl/player/_/id/4431210/beaux-collins,s:20~l:28~a:4431210,,,,,
New York Giants,NB,1,Dru Phillips,https://www.espn.com/nfl/player/_/id/4431321/dru-phillips,s:20~l:28~a:4431321,,,,,
New York Giants,LG,2,Evan Neal,https://www.espn.com/nfl/player/_/id/4567134/evan-neal,s:20~l:28~a:4567134,,,,,
New York Giants,WR,1,Wan'Dale Robinson,https://www.espn.com/nfl/player/_/id/4569587/wandale-robinson,s:20~l:28~a:4569587,,,,,
New York Giants,RB,4,Eric Gray,https://www.espn.com/nfl/player/_/id/4570561/eric-gray,s:20~l:28~a:4570561,,KR,2,,
New York Giants,WR,4,Da'Quan Felton,https://www.espn.com/nfl/player/_/id/4575348/daquan-felton,s:20~l:28~a:4575348,,,,,
New York Giants,WR,1,Malik Nabers,https://www.espn.com/nfl/player/_/id/4595348/malik-nabers,s:20~l:28~a:4595348,Q,,,,
New York Giants,RG,2,Marcus Mbow,https://www.espn.com/nfl/player/_/id/4686362/marcus-mbow,s:20~l:28~a:4686362,,,,,
New York Giants,LCB,3,Tre Hawkins III,https://www.espn.com/nfl/player/_/id/4686553/tre-hawkins-iii,s:20~l:28~a:4686553,,,,,
New York Giants,QB,3,Jaxson Dart,https://www.espn.com/nfl/player/_/id/4689114/jaxson-dart,s:20~l:28~a:4689114,,,,,
New York Giants,RCB,3,Art Green,https://www.espn.com/nfl/player/_/id/4689674/art-green,s:20~l:28~a:4689674,,,,,
New York Giants,WR,2,Jalin Hyatt,https://www.espn.com/nfl/player/_/id/4692590/jalin-hyatt,s:20~l:28~a:4692590,Q,,,,
New York Giants,WR,4,Antwane Wells Jr.,https://www.espn.com/nfl/player/_/id/4696062/antwane-wells-jr,s:20~l:28~a:4696062,,,,,
New York Giants,RB,3,Cam Skattebo,https://www.espn.com/nfl/player/_/id/4696981/cam-skattebo,s:20~l:28~a:4696981,,,,,
New York Giants,SLB,1,Abdul Carter,https://www.espn.com/nfl/player/_/id/4725996/abdul-carter,s:20~l:28~a:4725996,,,,,
New York Giants,RCB,4,Dee Williams,https://www.espn.com/nfl/player/_/id/5081362/dee-williams,s:20~l:28~a:5081362,,KR,3,,
New York Giants,PK,2,Jude McAtamney,https://www.espn.com/nfl/player/_/id/5092436/jude-mcatamney,s:20~l:28~a:5092436,,,,,
