TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
New York Jets,QB,2,Tyrod Taylor,https://www.espn.com/nfl/player/_/id/14163/tyrod-taylor,s:20~l:28~a:14163,,,,,
New York Jets,WR,2,Tyler Johnson,https://www.espn.com/nfl/player/_/id/2310331/tyler-johnson,s:20~l:28~a:2310331,,,,,
New York Jets,LS,1,Thomas Hennessy,https://www.espn.com/nfl/player/_/id/2983155/thomas-hennessy,s:20~l:28~a:2983155,,,,,
New York Jets,SLB,1,Quincy Williams,https://www.espn.com/nfl/player/_/id/3110565/quincy-williams,s:20~l:28~a:3110565,,,,,
New York Jets,WR,1,Josh Reynolds,https://www.espn.com/nfl/player/_/id/3115306/josh-reynolds,s:20~l:28~a:3115306,,,,,
New York Jets,LDT,1,Derrick Nnadi,https://www.espn.com/nfl/player/_/id/3122930/derrick-nnadi,s:20~l:28~a:3122930,,,,,
New York Jets,FB,1,Andrew Beck,https://www.espn.com/nfl/player/_/id/3125107/andrew-beck,s:20~l:28~a:3125107,,,,,
New York Jets,WR,1,Allen Lazard,https://www.espn.com/nfl/player/_/id/3128390/allen-lazard,s:20~l:28~a:3128390,,,,,
New York Jets,RT,2,Chukwuma Okorafor,https://www.espn.com/nfl/player/_/id/3129473/chukwuma-okorafor,s:20~l:28~a:3129473,,,,,
New York Jets,NB,2,Isaiah Oliver,https://www.espn.com/nfl/player/_/id/3915437/isaiah-oliver,s:20~l:28~a:3915437,,,,,
New York Jets,LDT,2,Byron Cowart,https://www.espn.com/nfl/player/_/id/3916922/byron-cowart,s:20~l:28~a:3916922,,,,,
New York Jets,WR,3,Irvin Charles,https://www.espn.com/nfl/player/_/id/3929636/irvin-charles,s:20~l:28~a:3929636,Q,,,,
New York Jets,LCB,3,Kris Boyd,https://www.espn.com/nfl/player/_/id/3929845/kris-boyd,s:20~l:28~a:3929845,,,,,
New York Jets,LG,1,John Simpson,https://www.espn.com/nfl/player/_/id/4035479/john-simpson,s:20~l:28~a:4035479,,,,,
New York Jets,RB,4,Kene Nwangwu,https://www.espn.com/nfl/player/_/id/4035537/kene-nwangwu,s:20~l:28~a:4035537,,PR,3,KR,3
New York Jets,RCB,1,Brandon Stephens,https://www.espn.com/nfl/player/_/id/4035824/brandon-stephens,s:20~l:28~a:4035824,,,,,
New York Jets,LDE,4,Rashad Weaver,https://www.espn.com/nfl/player/_/id/4036076/rashad-weaver,s:20~l:28~a:4036076,,,,,
New York Jets,RDT,1,Quinnen Williams,https://www.espn.com/nfl/player/_/id/4040982/quinnen-williams,s:20~l:28~a:4040982,,,,,
New York Jets,SLB,3,Marcelino McCrary-Ball,https://www.espn.com/nfl/player/_/id/4045299/marcelino-mccrary-ball,s:20~l:28~a:4045299,,,,,
New York Jets,WR,4,Pokey Wilson,https://www.espn.com/nfl/player/_/id/4240033/pokey-wilson,s:20~l:28~a:4240033,,,,,
New York Jets,NB,1,Michael Carter II,https://www.espn.com/nfl/player/_/id/4240456/michael-carter-ii,s:20~l:28~a:4240456,,,,,
New York Jets,SS,1,Tony Adams,https://www.espn.com/nfl/player/_/id/4240532/tony-adams,s:20~l:28~a:4240532,,,,,
New York Jets,WR,3,Brandon Smith,https://www.espn.com/nfl/player/_/id/4240577/brandon-smith,s:20~l:28~a:4240577,,,,,
New York Jets,LT,2,Carter Warren,https://www.espn.com/nfl/player/_/id/4240723/carter-warren,s:20~l:28~a:4240723,,,,,
New York Jets,WLB,1,Jamin Davis,https://www.espn.com/nfl/player/_/id/4240778/jamin-davis,s:20~l:28~a:4240778,,,,,
New York Jets,RDE,2,Micheal Clemons,https://www.espn.com/nfl/player/_/id/4240896/micheal-clemons,s:20~l:28~a:4240896,,,,,
New York Jets,RG,3,Marquis Hayes,https://www.espn.com/nfl/player/_/id/4241382/marquis-hayes,s:20~l:28~a:4241382,,,,,
New York Jets,LDT,3,Phidarian Mathis,https://www.espn.com/nfl/player/_/id/4241468/phidarian-mathis,s:20~l:28~a:4241468,,,,,
New York Jets,C,2,Josh Myers,https://www.espn.com/nfl/player/_/id/4242000/josh-myers,s:20~l:28~a:4242000,,,,,
New York Jets,LT,3,Obinna Eze,https://www.espn.com/nfl/player/_/id/4243386/obinna-eze,s:20~l:28~a:4243386,,,,,
