TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
Tampa Bay Buccaneers,RILB,1,Lavonte David,https://www.espn.com/nfl/player/_/id/14985/lavonte-david,s:20~l:28~a:14985,,,,,
Tampa Bay Buccaneers,WR,1,Mike Evans,https://www.espn.com/nfl/player/_/id/16737/mike-evans,s:20~l:28~a:16737,,,,,
Tampa Bay Buccaneers,P,1,Riley Dixon,https://www.espn.com/nfl/player/_/id/2577619/riley-dixon,s:20~l:28~a:2577619,,H,1,,
Tampa Bay Buccaneers,RDE,3,Adam Gotsis,https://www.espn.com/nfl/player/_/id/2971498/adam-gotsis,s:20~l:28~a:2971498,,,,,
Tampa Bay Buccaneers,RILB,2,Deion Jones,https://www.espn.com/nfl/player/_/id/2976545/deion-jones,s:20~l:28~a:2976545,,,,,
Tampa Bay Buccaneers,WR,2,Sterling Shepard,https://www.espn.com/nfl/player/_/id/2976592/sterling-shepard,s:20~l:28~a:2976592,,,,,
Tampa Bay Buccaneers,SLB,1,Haason Reddick,https://www.espn.com/nfl/player/_/id/2980504/haason-reddick,s:20~l:28~a:2980504,,,,,
Tampa Bay Buccaneers,LILB,1,Anthony Walker Jr.,https://www.espn.com/nfl/player/_/id/3045251/anthony-walker-jr,s:20~l:28~a:3045251,,,,,
Tampa Bay Buccaneers,QB,1,Baker Mayfield,https://www.espn.com/nfl/player/_/id/3052587/baker-mayfield,s:20~l:28~a:3052587,,,,,
Tampa Bay Buccaneers,WR,1,Chris Godwin,https://www.espn.com/nfl/player/_/id/3116165/chris-godwin,s:20~l:28~a:3116165,Q,,,,
Tampa Bay Buccaneers,LG,2,Sua Opeta,https://www.espn.com/nfl/player/_/id/3121009/sua-opeta,s:20~l:28~a:3121009,Q,,,,
Tampa Bay Buccaneers,NT,2,Greg Gaines,https://www.espn.com/nfl/player/_/id/3127294/greg-gaines,s:20~l:28~a:3127294,,,,,
Tampa Bay Buccaneers,NT,1,Vita Vea,https://www.espn.com/nfl/player/_/id/3134362/vita-vea,s:20~l:28~a:3134362,,,,,
Tampa Bay Buccaneers,PK,1,Chase McLaughlin,https://www.espn.com/nfl/player/_/id/3150744/chase-mclaughlin,s:20~l:28~a:3150744,,,,,
Tampa Bay Buccaneers,RCB,1,Jamel Dean,https://www.espn.com/nfl/player/_/id/3873935/jamel-dean,s:20~l:28~a:3873935,,,,,
Tampa Bay Buccaneers,WLB,2,Anthony Nelson,https://www.espn.com/nfl/player/_/id/3894856/anthony-nelson,s:20~l:28~a:3894856,,,,,
Tampa Bay Buccaneers,LT,2,Charlie Heck,https://www.espn.com/nfl/player/_/id/3895840/charlie-heck,s:20~l:28~a:3895840,,,,,
Tampa Bay Buccaneers,TE,3,Ko Kieft,https://www.espn.com/nfl/player/_/id/4034779/ko-kieft,s:20~l:28~a:4034779,,,,,
Tampa Bay Buccaneers,SS,1,Antoine Winfield Jr.,https://www.espn.com/nfl/player/_/id/4034790/antoine-winfield-jr,s:20~l:28~a:4034790,,,,,
Tampa Bay Buccaneers,QB,2,Kyle Trask,https://www.espn.com/nfl/player/_/id/4034946/kyle-trask,s:20~l:28~a:4034946,,,,,
Tampa Bay Buccaneers,NB,3,Kindle Vildor,https://www.espn.com/nfl/player/_/id/4036651/kindle-vildor,s:20~l:28~a:4036651,,,,,
Tampa Bay Buccaneers,RCB,3,Bryce Hall,https://www.espn.com/nfl/player/_/id/4037584/bryce-hall,s:20~l:28~a:4037584,,,,,
Tampa Bay Buccaneers,LG,1,Ben Bredeson,https://www.espn.com/nfl/player/_/id/4046551/ben-bredeson,s:20~l:28~a:4046551,,,,,
Tampa Bay Buccaneers,RDE,2,C.J. Brewer,https://www.espn.com/nfl/player/_/id/4052017/cj-brewer,s:20~l:28~a:4052017,,,,,
Tampa Bay Buccaneers,LT,1,Tristan Wirfs,https://www.espn.com/nfl/player/_/id/4240589/tristan-wirfs,s:20~l:28~a:4240589,Q,,,,
Tampa Bay Buccaneers,RT,2,Silas Dzansi,https://www.espn.com/nfl/player/_/id/4240865/silas-dzansi,s:20~l:28~a:4240865,,,,,
Tampa Bay Buccaneers,TE,1,Cade Otton,https://www.espn.com/nfl/player/_/id/4243331/cade-otton,s:20~l:28~a:4243331,,,,,
Tampa Bay Buccaneers,P,2,Jake Julien,https://www.espn.com/nfl/player/_/id/4244814/jake-julien,s:20~l:28~a:4244814,,H,2,,
Tampa Bay Buccaneers,LCB,2,Josh Hayes,https://www.espn.com/nfl/player/_/id/4248533/josh-hayes,s:20~l:28~a:4248533,,,,,
Tampa Bay Buccaneers,RG,1,Cody Mauch,https://www.espn.com/nfl/player/_/id/4248545/cody-mauch,s:20~l:28~a:4248545,,,,,
Tampa Bay Buccaneers,LDE,3,Mike Greene,https://www.espn.com/nfl/player/_/id/4249596/mike-greene,s:20~l:28~a:4249596,,,,,
Tampa Bay Buccaneers,LCB,1,Zyon McCollum,https://www.espn.com/nfl/player/_/id/4250392/zyon-mccollum,s:20~l:28~a:4250392,,,,,
Tampa Bay Buccaneers,RT,4,Lorenz Metz,https://www.espn.com/nfl/player/_/id/4360063/lorenz-metz,s:20~l:28~a:4360063,,,,,
Tampa Bay Buccaneers,LDE,1,Logan Hall,https://www.espn.com/nfl/player/_/id/4360189/logan-hall,s:20~l:28~a:4360189,,,,,
Tampa Bay Buccaneers,SS,2,Kaevon Merriweather,https://www.espn.com/nfl/player/_/id/4360502/kaevon-merriweather,s:20~l:28~a:4360502,,,,,
Tampa Bay Buccaneers,RILB,3,Antonio Grier Jr.,https://www.espn.com/nfl/player/_/id/4360864/antonio-grier-jr,s:20~l:28~a:4360864,,,,,
Tampa Bay Buccaneers,TE,4,Devin Culp,https://www.espn.com/nfl/player/_/id/4361112/devin-culp,s:20~l:28~a:4361112,,,,,
Tampa Bay Buccaneers,LG,3,Raiqwon O'Neal,https://www.espn.com/nfl/player/_/id/4361528/raiqwon-oneal,s:20~l:28~a:4361528,,,,,
Tampa Bay Buccaneers,LS,1,Evan Deckers,https://www.espn.com/nfl/player/_/id/4361727/evan-deckers,s:20~l:28~a:4361727,,,,,
Tampa Bay Buccaneers,RG,2,Elijah Klein,https://www.espn.com/nfl/player/_/id/4362066/elijah-klein,s:20~l:28~a:4362066,,,,,
Tampa Bay Buccaneers,LCB,3,Tyrek Funderburk,https://www.espn.com/nfl/player/_/id/4367330/tyrek-funderburk,s:20~l:28~a:4367330,,,,,
Tampa Bay Buccaneers,RT,3,Garret Greenfield,https://www.espn.com/nfl/player/_/id/4368306/garret-greenfield,s:20~l:28~a:4368306,,,,,
Tampa Bay Buccaneers,WR,3,Ryan Miller,https://www.espn.com/nfl/player/_/id/4369466/ryan-miller,s:20~l:28~a:4369466,,,,,
Tampa Bay Buccaneers,FS,1,Christian Izien,https://www.espn.com/nfl/player/_/id/4372459/christian-izien,s:20~l:28~a:4372459,,,,,
Tampa Bay Buccaneers,TE,2,Payne Durham,https://www.espn.com/nfl/player/_/id/4372505/payne-durham,s:20~l:28~a:4372505,,,,,
Tampa Bay Buccaneers,RT,1,Luke Goedeke,https://www.espn.com/nfl/player/_/id/4380507/luke-goedeke,s:20~l:28~a:4380507,,,,,
Tampa Bay Buccaneers,WR,2,Trey Palmer,https://www.espn.com/nfl/player/_/id/4426407/trey-palmer,s:20~l:28~a:4426407,,PR,1,,
Tampa Bay Buccaneers,QB,4,Connor Bazelak,https://www.espn.com/nfl/player/_/id/4426444/connor-bazelak,s:20~l:28~a:4426444,,,,,
Tampa Bay Buccaneers,FS,4,Shilo Sanders,https://www.espn.com/nfl/player/_/id/4426508/shilo-sanders,s:20~l:28~a:4426508,,,,,
Tampa Bay Buccaneers,RDE,1,Calijah Kancey,https://www.espn.com/nfl/player/_/id/4427673/calijah-kancey,s:20~l:28~a:4427673,,,,,
Tampa Bay Buccaneers,NB,1,Tykee Smith,https://www.espn.com/nfl/player/_/id/4428522/tykee-smith,s:20~l:28~a:4428522,,,,,
Tampa Bay Buccaneers,SS,3,Rashad Wisdom,https://www.espn.com/nfl/player/_/id/4428917/rashad-wisdom,s:20~l:28~a:4428917,,,,,
Tampa Bay Buccaneers,SLB,2,Chris Braswell,https://www.espn.com/nfl/player/_/id/4428989/chris-braswell,s:20~l:28~a:4428989,,,,,
Tampa Bay Buccaneers,WR,3,Rakim Jarrett,https://www.espn.com/nfl/player/_/id/4429006/rakim-jarrett,s:20~l:28~a:4429006,,KR,2,,
Tampa Bay Buccaneers,C,1,Graham Barton,https://www.espn.com/nfl/player/_/id/4429251/graham-barton,s:20~l:28~a:4429251,,,,,
Tampa Bay Buccaneers,LILB,2,SirVocea Dennis,https://www.espn.com/nfl/player/_/id/4429511/sirvocea-dennis,s:20~l:28~a:4429511,,,,,
Tampa Bay Buccaneers,WR,4,Garrett Greene,https://www.espn.com/nfl/player/_/id/4429847/garrett-greene,s:20~l:28~a:4429847,,,,,
Tampa Bay Buccaneers,C,2,Jake Majors,https://www.espn.com/nfl/player/_/id/4430814/jake-majors,s:20~l:28~a:4430814,,,,,
Tampa Bay Buccaneers,WR,2,Jalen McMillan,https://www.espn.com/nfl/player/_/id/4430834/jalen-mcmillan,s:20~l:28~a:4430834,,PR,2,,
Tampa Bay Buccaneers,RB,3,Sean Tucker,https://www.espn.com/nfl/player/_/id/4430871/sean-tucker,s:20~l:28~a:4430871,,KR,1,,
Tampa Bay Buccaneers,NT,4,Nash Hutmacher,https://www.espn.com/nfl/player/_/id/4431153/nash-hutmacher,s:20~l:28~a:4431153,,,,,
Tampa Bay Buccaneers,NT,3,Desmond Watson,https://www.espn.com/nfl/player/_/id/4431607/desmond-watson,s:20~l:28~a:4431607,,,,,
Tampa Bay Buccaneers,LCB,4,Roman Parodie,https://www.espn.com/nfl/player/_/id/4565547/roman-parodie,s:20~l:28~a:4565547,,,,,
Tampa Bay Buccaneers,FS,3,J.J. Roberts,https://www.espn.com/nfl/player/_/id/4566165/jj-roberts,s:20~l:28~a:4566165,,,,,
Tampa Bay Buccaneers,FS,2,Marcus Banks,https://www.espn.com/nfl/player/_/id/4567109/marcus-banks,s:20~l:28~a:4567109,,,,,
Tampa Bay Buccaneers,RB,4,D.J. Williams,https://www.espn.com/nfl/player/_/id/4567216/dj-williams,s:20~l:28~a:4567216,,KR,4,,
Tampa Bay Buccaneers,WR,1,Emeka Egbuka,https://www.espn.com/nfl/player/_/id/4567750/emeka-egbuka,s:20~l:28~a:4567750,,,,,
Tampa Bay Buccaneers,LILB,3,Nick Jackson,https://www.espn.com/nfl/player/_/id/4568492/nick-jackson,s:20~l:28~a:4568492,,,,,
Tampa Bay Buccaneers,WLB,4,Jose Ramirez,https://www.espn.com/nfl/player/_/id/4569068/jose-ramirez,s:20~l:28~a:4569068,,,,,
Tampa Bay Buccaneers,C,3,Ben Scott,https://www.espn.com/nfl/player/_/id/4569202/ben-scott,s:20~l:28~a:4569202,,,,,
Tampa Bay Buccaneers,RILB,4,John Bullock,https://www.espn.com/nfl/player/_/id/4569563/john-bullock,s:20~l:28~a:4569563,,,,,
Tampa Bay Buccaneers,WR,4,Dennis Houston,https://www.espn.com/nfl/player/_/id/4572786/dennis-houston,s:20~l:28~a:4572786,,,,,
Tampa Bay Buccaneers,PK,2,Ryan Coe,https://www.espn.com/nfl/player/_/id/4578233/ryan-coe,s:20~l:28~a:4578233,,,,,
Tampa Bay Buccaneers,RB,1,Bucky Irving,https://www.espn.com/nfl/player/_/id/4596448/bucky-irving,s:20~l:28~a:4596448,,KR,3,,
Tampa Bay Buccaneers,WR,3,Tez Johnson,https://www.espn.com/nfl/player/_/id/4608810/tez-johnson,s:20~l:28~a:4608810,,PR,4,,
Tampa Bay Buccaneers,QB,3,Michael Pratt,https://www.espn.com/nfl/player/_/id/4685039/michael-pratt,s:20~l:28~a:4685039,,,,,
Tampa Bay Buccaneers,WLB,1,Yaya Diaby,https://www.espn.com/nfl/player/_/id/4686334/yaya-diaby,s:20~l:28~a:4686334,,,,,
Tampa Bay Buccaneers,RG,3,Luke Haggard,https://www.espn.com/nfl/player/_/id/4686884/luke-haggard,s:20~l:28~a:4686884,,,,,
