TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
Tennessee Titans,LS,1,Morgan Cox,https://www.espn.com/nfl/player/_/id/13848/morgan-cox,s:20~l:28~a:13848,,,,,
Tennessee Titans,RG,1,Kevin Zeitler,https://www.espn.com/nfl/player/_/id/14931/kevin-zeitler,s:20~l:28~a:14931,Q,,,,
Tennessee Titans,P,1,Johnny Hekker,https://www.espn.com/nfl/player/_/id/15153/johnny-hekker,s:20~l:28~a:15153,,H,1,,
Tennessee Titans,QB,3,Brandon Allen,https://www.espn.com/nfl/player/_/id/2574511/brandon-allen,s:20~l:28~a:2574511,,,,,
Tennessee Titans,WR,1,Tyler Lockett,https://www.espn.com/nfl/player/_/id/2577327/tyler-lockett,s:20~l:28~a:2577327,,,,,
Tennessee Titans,C,3,Corey Levin,https://www.espn.com/nfl/player/_/id/2973637/corey-levin,s:20~l:28~a:2973637,,,,,
Tennessee Titans,RDE,2,Carlos Watkins,https://www.espn.com/nfl/player/_/id/2977681/carlos-watkins,s:20~l:28~a:2977681,,,,,
Tennessee Titans,FS,1,Xavier Woods,https://www.espn.com/nfl/player/_/id/3040572/xavier-woods,s:20~l:28~a:3040572,,,,,
Tennessee Titans,QB,4,Tim Boyle,https://www.espn.com/nfl/player/_/id/3045169/tim-boyle,s:20~l:28~a:3045169,,,,,
Tennessee Titans,LDE,1,Sebastian Joseph-Day,https://www.espn.com/nfl/player/_/id/3047495/sebastian-joseph-day,s:20~l:28~a:3047495,,,,,
Tennessee Titans,RG,2,Blake Hance,https://www.espn.com/nfl/player/_/id/3116135/blake-hance,s:20~l:28~a:3116135,,,,,
Tennessee Titans,LT,2,Olisaemeka Udoh,https://www.espn.com/nfl/player/_/id/3120502/olisaemeka-udoh,s:20~l:28~a:3120502,,,,,
Tennessee Titans,PK,1,Joey Slye,https://www.espn.com/nfl/player/_/id/3124084/joey-slye,s:20~l:28~a:3124084,,,,,
