team_name,team_abbrev,player_name,position_name,age,height,weight,experience,college,salary,birth_place,birthdate,status,player_url,section_title,depth_label
Atlanta Hawks,atl,Dominick Barlow,F,22,"6' 8""",215 lbs,,--,"$491,887",,,,https://www.espn.com/nba/player/_/id/4870562/dominick-barlow,Team Roster,Roster
Atlanta Hawks,atl,Kobe Bufkin,G,21,"6' 4""",195 lbs,,Michigan,"$4,299,000",,,,https://www.espn.com/nba/player/_/id/4683736/kobe-bufkin,Team Roster,Roster
Atlanta Hawks,atl,Clint Capela,C,31,"6' 10""",256 lbs,,--,"$22,265,280",,,,https://www.espn.com/nba/player/_/id/3102529/clint-capela,Team Roster,Roster
Atlanta Hawks,atl,Dyson Daniels,G,22,"6' 7""",199 lbs,,--,"$6,059,520",,,,https://www.espn.com/nba/player/_/id/4869342/dyson-daniels,Team Roster,Roster
Atlanta Hawks,atl,Mouhamed Gueye,F,22,"6' 10""",210 lbs,,Washington State,"$1,891,858",,,,https://www.espn.com/nba/player/_/id/4712863/mouhamed-gueye,Team Roster,Roster
Atlanta Hawks,atl,Jalen Johnson,SF,23,"6' 8""",219 lbs,,Duke,"$4,510,905",,,,https://www.espn.com/nba/player/_/id/4701230/jalen-johnson,Team Roster,Roster
Atlanta Hawks,atl,Vit Krejci,G,25,"6' 8""",195 lbs,,--,"$2,162,606",,,,https://www.espn.com/nba/player/_/id/4578893/vit-krejci,Team Roster,Roster
Atlanta Hawks,atl,Caris LeVert,SG,30,"6' 6""",205 lbs,,Michigan,"$16,615,384",,,,https://www.espn.com/nba/player/_/id/2991043/caris-levert,Team Roster,Roster
Atlanta Hawks,atl,Terance Mann,SG,28,"6' 5""",215 lbs,,Florida State,"$11,423,077",,,,https://www.espn.com/nba/player/_/id/3907823/terance-mann,Team Roster,Roster
Atlanta Hawks,atl,Garrison Mathews,SG,28,"6' 6""",215 lbs,,Lipscomb,"$2,230,253",,,,https://www.espn.com/nba/player/_/id/3913180/garrison-mathews,Team Roster,Roster
Atlanta Hawks,atl,Larry Nance Jr.,PF,32,"6' 8""",245 lbs,,Wyoming,"$11,205,000",,,,https://www.espn.com/nba/player/_/id/2580365/larry-nance-jr,Team Roster,Roster
Atlanta Hawks,atl,Georges Niang,SF,32,"6' 7""",230 lbs,,Iowa State,"$8,500,000",,,,https://www.espn.com/nba/player/_/id/2990969/georges-niang,Team Roster,Roster
Atlanta Hawks,atl,Onyeka Okongwu,PF,24,"6' 10""",240 lbs,,USC,"$14,000,000",,,,https://www.espn.com/nba/player/_/id/4431680/onyeka-okongwu,Team Roster,Roster
Atlanta Hawks,atl,Daeqwon Plowden,G,26,"6' 6""",216 lbs,,Bowling Green,--,,,,https://www.espn.com/nba/player/_/id/4279318/daeqwon-plowden,Team Roster,Roster
Atlanta Hawks,atl,Zaccharie Risacher,PF,20,"6' 8""",200 lbs,,--,"$12,569,040",,,,https://www.espn.com/nba/player/_/id/5211175/zaccharie-risacher,Team Roster,Roster
Atlanta Hawks,atl,Jacob Toppin,F,25,"6' 8""",200 lbs,,Kentucky,--,,,,https://www.espn.com/nba/player/_/id/4592461/jacob-toppin,Team Roster,Roster
Atlanta Hawks,atl,Keaton Wallace,G,26,"6' 3""",185 lbs,,UTSA,--,,,,https://www.espn.com/nba/player/_/id/4279118/keaton-wallace,Team Roster,Roster
Atlanta Hawks,atl,Trae Young,PG,26,"6' 1""",164 lbs,,Oklahoma,"$43,031,940",,,,https://www.espn.com/nba/player/_/id/4277905/trae-young,Team Roster,Roster
Boston Celtics,bos,Jaylen Brown,SG,28,"6' 6""",223 lbs,,California,"$49,205,800",,,,https://www.espn.com/nba/player/_/id/3917376/jaylen-brown,Team Roster,Roster
Boston Celtics,bos,Torrey Craig,SF,34,"6' 5""",221 lbs,,South Carolina Upstate,"$2,845,342",,,,https://www.espn.com/nba/player/_/id/2528693/torrey-craig,Team Roster,Roster
Boston Celtics,bos,JD Davison,SG,22,"6' 1""",195 lbs,,Alabama,--,,,,https://www.espn.com/nba/player/_/id/4576085/jd-davison,Team Roster,Roster
Boston Celtics,bos,Sam Hauser,SF,27,"6' 7""",217 lbs,,Virginia,"$2,092,344",,,,https://www.espn.com/nba/player/_/id/4065804/sam-hauser,Team Roster,Roster
Boston Celtics,bos,Jrue Holiday,PG,35,"6' 4""",205 lbs,,UCLA,"$30,000,000",,,,https://www.espn.com/nba/player/_/id/3995/jrue-holiday,Team Roster,Roster
Boston Celtics,bos,Al Horford,C,39,"6' 9""",240 lbs,,Florida,"$9,500,000",,,,https://www.espn.com/nba/player/_/id/3213/al-horford,Team Roster,Roster
Boston Celtics,bos,Luke Kornet,C,29,"7' 1""",250 lbs,,Vanderbilt,"$2,087,519",,,,https://www.espn.com/nba/player/_/id/3064560/luke-kornet,Team Roster,Roster
Boston Celtics,bos,Miles Norris,F,25,"6' 7""",220 lbs,,UC Santa Barbara,--,,,,https://www.espn.com/nba/player/_/id/4397104/miles-norris,Team Roster,Roster
