team_name,team_abbrev,player_name,position_name,age,height,weight,shot,birth_place,birthdate,depth_label,status,player_url,section_title
Anaheim Ducks,ana,Leo Carlsson,C,20,"6' 3""",203 lbs,L,"Karlstad, SWE",12/26/04,Roster,,https://www.espn.com/nhl/player/_/id/5149153,Centers
Anaheim Ducks,ana,Robby Fabbri,C,29,"5' 11""",185 lbs,L,"Mississauga, CAN",01/22/96,Roster,,https://www.espn.com/nhl/player/_/id/3114774,Centers
Anaheim Ducks,ana,Jansen Harkins,C,28,"6' 1""",199 lbs,L,"Cleveland, OH",05/23/97,Roster,,https://www.espn.com/nhl/player/_/id/3900154,Centers
Anaheim Ducks,ana,Isac Lundestrom,C,25,"6' 0""",191 lbs,L,"Gallivare, SWE",11/06/99,Roster,,https://www.espn.com/nhl/player/_/id/4352775,Centers
Anaheim Ducks,ana,Mason McTavish,C,22,"6' 1""",219 lbs,L,"Carp, CAN",01/30/03,Roster,,https://www.espn.com/nhl/player/_/id/4874718,Centers
Anaheim Ducks,ana,Ryan Strome,C,31,"6' 1""",192 lbs,R,"Mississauga, CAN",07/11/93,Roster,,https://www.espn.com/nhl/player/_/id/2562636,Centers
Anaheim Ducks,ana,Tim Washe,C,23,"6' 3""",215 lbs,L,"Clarkston, MI",08/25/01,Roster,,https://www.espn.com/nhl/player/_/id/4996085,Centers
Anaheim Ducks,ana,Trevor Zegras,C,24,"6' 0""",185 lbs,L,"Bedford, NY",03/20/01,Roster,,https://www.espn.com/nhl/player/_/id/4565230,Centers
Anaheim Ducks,ana,Cutter Gauthier,LW,21,"6' 2""",201 lbs,L,"Scottsdale, AZ",01/19/04,Roster,,https://www.espn.com/nhl/player/_/id/5080145,Left Wings
Anaheim Ducks,ana,Ross Johnston,LW,31,"6' 5""",232 lbs,L,"Charlottetown, CAN",02/18/94,Roster,,https://www.espn.com/nhl/player/_/id/3067822,Left Wings
Anaheim Ducks,ana,Alex Killorn,LW,35,"6' 1""",192 lbs,L,"Halifax, CAN",09/14/89,Roster,,https://www.espn.com/nhl/player/_/id/4968,Left Wings
Anaheim Ducks,ana,Chris Kreider,LW,34,"6' 3""",230 lbs,L,"Boxford, MA",04/30/91,Roster,,https://www.espn.com/nhl/player/_/id/5833,Left Wings
Anaheim Ducks,ana,Brock McGinn,LW,31,"6' 0""",191 lbs,L,"Fergus, CAN",02/02/94,Roster,,https://www.espn.com/nhl/player/_/id/3067868,Left Wings
Anaheim Ducks,ana,Brett Leason,RW,26,"6' 5""",220 lbs,R,"Calgary, CAN",04/30/99,Roster,,https://www.espn.com/nhl/player/_/id/4565278,Right Wings
Anaheim Ducks,ana,Troy Terry,RW,27,"6' 0""",191 lbs,R,"Denver, CO",09/10/97,Roster,,https://www.espn.com/nhl/player/_/id/3942905,Right Wings
Anaheim Ducks,ana,Frank Vatrano,RW,31,"5' 11""",206 lbs,L,"Springfield, MA",03/14/94,Roster,,https://www.espn.com/nhl/player/_/id/3527554,Right Wings
Anaheim Ducks,ana,Radko Gudas,D,35,"6' 0""",208 lbs,R,"Prague, Czechoslovakia",06/05/90,Roster,,https://www.espn.com/nhl/player/_/id/5502,Defense
