TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Atlanta Falcons,PK,1,Younghoe Koo,https://www.espn.com/nfl/player/_/id/3049899/younghoe-koo,s:20~l:28~a:3049899,
Atlanta Falcons,PK,2,Lenny Krieg,https://www.espn.com/nfl/player/_/id/5277116/lenny-krieg,s:20~l:28~a:5277116,
Atlanta Falcons,PK,3,,,,Empty Slot
Atlanta Falcons,PK,4,,,,Empty Slot
Atlanta Falcons,P,1,Bradley Pinion,https://www.espn.com/nfl/player/_/id/2977680/bradley-pinion,s:20~l:28~a:2977680,
Atlanta Falcons,P,2,,,,Empty Slot
Atlanta Falcons,P,3,,,,Empty Slot
Atlanta Falcons,P,4,,,,Empty Slot
Atlanta Falcons,H,1,Bradley Pinion,https://www.espn.com/nfl/player/_/id/2977680/bradley-pinion,s:20~l:28~a:2977680,
Atlanta Falcons,H,2,,,,Empty Slot
Atlanta Falcons,H,3,,,,Empty Slot
Atlanta Falcons,H,4,,,,Empty Slot
Atlanta Falcons,PR,1,Jamal Agnew,https://www.espn.com/nfl/player/_/id/3061612/jamal-agnew,s:20~l:28~a:3061612,
Atlanta Falcons,PR,2,,,,Empty Slot
Atlanta Falcons,PR,3,,,,Empty Slot
Atlanta Falcons,PR,4,,,,Empty Slot
Atlanta Falcons,KR,1,Ray-Ray McCloud III,https://www.espn.com/nfl/player/_/id/3728262/ray-ray-mccloud-iii,s:20~l:28~a:3728262,
Atlanta Falcons,KR,2,Jamal Agnew,https://www.espn.com/nfl/player/_/id/3061612/jamal-agnew,s:20~l:28~a:3061612,
Atlanta Falcons,KR,3,,,,Empty Slot
Atlanta Falcons,KR,4,,,,Empty Slot
Atlanta Falcons,LS,1,Liam McCullough,https://www.espn.com/nfl/player/_/id/3915528/liam-mccullough,s:20~l:28~a:3915528,
Atlanta Falcons,LS,2,,,,Empty Slot
Atlanta Falcons,LS,3,,,,Empty Slot
Atlanta Falcons,LS,4,,,,Empty Slot
