TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Baltimore Ravens,PK,1,Tyler Loop,https://www.espn.com/nfl/player/_/id/4697745/tyler-loop,s:20~l:28~a:4697745,
Baltimore Ravens,PK,2,John Hoyland,https://www.espn.com/nfl/player/_/id/4699803/john-hoyland,s:20~l:28~a:4699803,
Baltimore Ravens,PK,3,,,,Empty Slot
Baltimore Ravens,PK,4,,,,Empty Slot
Baltimore Ravens,P,1,Jordan Stout,https://www.espn.com/nfl/player/_/id/4260224/jordan-stout,s:20~l:28~a:4260224,
Baltimore Ravens,P,2,,,,Empty Slot
Baltimore Ravens,P,3,,,,Empty Slot
Baltimore Ravens,P,4,,,,Empty Slot
Baltimore Ravens,H,1,Jordan Stout,https://www.espn.com/nfl/player/_/id/4260224/jordan-stout,s:20~l:28~a:4260224,
Baltimore Ravens,H,2,,,,Empty Slot
Baltimore Ravens,H,3,,,,Empty Slot
Baltimore Ravens,H,4,,,,Empty Slot
Baltimore Ravens,PR,1,Tylan Wallace,https://www.espn.com/nfl/player/_/id/4241424/tylan-wallace,s:20~l:28~a:4241424,
Baltimore Ravens,PR,2,LaJohntay Wester,https://www.espn.com/nfl/player/_/id/4690143/lajohntay-wester,s:20~l:28~a:4690143,
Baltimore Ravens,PR,3,,,,Empty Slot
Baltimore Ravens,PR,4,,,,Empty Slot
Baltimore Ravens,KR,1,Justice Hill,https://www.espn.com/nfl/player/_/id/4038441/justice-hill,s:20~l:28~a:4038441,
Baltimore Ravens,KR,2,Rasheen Ali,https://www.espn.com/nfl/player/_/id/4690013/rasheen-ali,s:20~l:28~a:4690013,
Baltimore Ravens,KR,3,,,,Empty Slot
Baltimore Ravens,KR,4,,,,Empty Slot
Baltimore Ravens,LS,1,Nick Moore,https://www.espn.com/nfl/player/_/id/3915184/nick-moore,s:20~l:28~a:3915184,
Baltimore Ravens,LS,2,,,,Empty Slot
Baltimore Ravens,LS,3,,,,Empty Slot
Baltimore Ravens,LS,4,,,,Empty Slot
