TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Chicago Bears,LDE,1,Montez Sweat,https://www.espn.com/nfl/player/_/id/3134690/montez-sweat,s:20~l:28~a:3134690,
Chicago Bears,LDE,2,Austin Booker,https://www.espn.com/nfl/player/_/id/4683553/austin-booker,s:20~l:28~a:4683553,
Chicago Bears,LDE,3,Xavier Carlton,https://www.espn.com/nfl/player/_/id/4429189/xavier-carlton,s:20~l:28~a:4429189,
Chicago Bears,LDE,4,,,,Empty Slot
Chicago Bears,LDT,1,Grady Jarrett,https://www.espn.com/nfl/player/_/id/2576492/grady-jarrett,s:20~l:28~a:2576492,
Chicago Bears,LDT,2,Andrew Billings,https://www.espn.com/nfl/player/_/id/3051775/andrew-billings,s:20~l:28~a:3051775,
Chicago Bears,LDT,3,Chris Williams,https://www.espn.com/nfl/player/_/id/4034530/chris-williams,s:20~l:28~a:4034530,
Chicago Bears,LDT,4,,,,Empty Slot
Chicago Bears,RDT,1,Gervon Dexter Sr.,https://www.espn.com/nfl/player/_/id/4429014/gervon-dexter-sr,s:20~l:28~a:4429014,
Chicago Bears,RDT,2,Shemar Turner,https://www.espn.com/nfl/player/_/id/4432804/shemar-turner,s:20~l:28~a:4432804,Q
Chicago Bears,RDT,3,Zacch Pickens,https://www.espn.com/nfl/player/_/id/4426332/zacch-pickens,s:20~l:28~a:4426332,
Chicago Bears,RDT,4,Jonathan Ford,https://www.espn.com/nfl/player/_/id/4259762/jonathan-ford,s:20~l:28~a:4259762,
Chicago Bears,RDE,1,Dayo Odeyingbo,https://www.espn.com/nfl/player/_/id/4242659/dayo-odeyingbo,s:20~l:28~a:4242659,
Chicago Bears,RDE,2,Dominique Robinson,https://www.espn.com/nfl/player/_/id/4244300/dominique-robinson,s:20~l:28~a:4244300,
Chicago Bears,RDE,3,Daniel Hardy,https://www.espn.com/nfl/player/_/id/4365629/daniel-hardy,s:20~l:28~a:4365629,
Chicago Bears,RDE,4,Jamree Kromah,https://www.espn.com/nfl/player/_/id/4372463/jamree-kromah,s:20~l:28~a:4372463,
Chicago Bears,WLB,1,Tremaine Edmunds,https://www.espn.com/nfl/player/_/id/3929950/tremaine-edmunds,s:20~l:28~a:3929950,
Chicago Bears,WLB,2,Carl Jones Jr.,https://www.espn.com/nfl/player/_/id/4569428/carl-jones-jr,s:20~l:28~a:4569428,
Chicago Bears,WLB,3,,,,Empty Slot
Chicago Bears,WLB,4,,,,Empty Slot
Chicago Bears,MLB,1,T.J. Edwards,https://www.espn.com/nfl/player/_/id/3121544/tj-edwards,s:20~l:28~a:3121544,Q
Chicago Bears,MLB,2,Amen Ogbongbemiga,https://www.espn.com/nfl/player/_/id/4038432/amen-ogbongbemiga,s:20~l:28~a:4038432,
Chicago Bears,MLB,3,Power Echols,https://www.espn.com/nfl/player/_/id/4432695/power-echols,s:20~l:28~a:4432695,
Chicago Bears,MLB,4,,,,Empty Slot
Chicago Bears,SLB,1,Ruben Hyppolite II,https://www.espn.com/nfl/player/_/id/4429970/ruben-hyppolite-ii,s:20~l:28~a:4429970,
Chicago Bears,SLB,2,Noah Sewell,https://www.espn.com/nfl/player/_/id/4430822/noah-sewell,s:20~l:28~a:4430822,
Chicago Bears,SLB,3,Swayze Bozeman,https://www.espn.com/nfl/player/_/id/4570546/swayze-bozeman,s:20~l:28~a:4570546,
Chicago Bears,SLB,4,,,,Empty Slot
Chicago Bears,LCB,1,Jaylon Johnson,https://www.espn.com/nfl/player/_/id/4243253/jaylon-johnson,s:20~l:28~a:4243253,
Chicago Bears,LCB,2,Zah Frazier,https://www.espn.com/nfl/player/_/id/4572685/zah-frazier,s:20~l:28~a:4572685,
Chicago Bears,LCB,3,Nick McCloud,https://www.espn.com/nfl/player/_/id/4036169/nick-mccloud,s:20~l:28~a:4036169,
Chicago Bears,LCB,4,Shaun Wade,https://www.espn.com/nfl/player/_/id/4241995/shaun-wade,s:20~l:28~a:4241995,
Chicago Bears,SS,1,Jaquan Brisker,https://www.espn.com/nfl/player/_/id/4570044/jaquan-brisker,s:20~l:28~a:4570044,
Chicago Bears,SS,2,Elijah Hicks,https://www.espn.com/nfl/player/_/id/4242402/elijah-hicks,s:20~l:28~a:4242402,
Chicago Bears,SS,3,Tarvarius Moore,https://www.espn.com/nfl/player/_/id/4039278/tarvarius-moore,s:20~l:28~a:4039278,
Chicago Bears,SS,4,Major Burns,https://www.espn.com/nfl/player/_/id/4429036/major-burns,s:20~l:28~a:4429036,
Chicago Bears,FS,1,Kevin Byard III,https://www.espn.com/nfl/player/_/id/2574056/kevin-byard-iii,s:20~l:28~a:2574056,
Chicago Bears,FS,2,Jonathan Owens,https://www.espn.com/nfl/player/_/id/4331768/jonathan-owens,s:20~l:28~a:4331768,
Chicago Bears,FS,3,Alex Cook,https://www.espn.com/nfl/player/_/id/4243320/alex-cook,s:20~l:28~a:4243320,
Chicago Bears,FS,4,Tysheem Johnson,https://www.espn.com/nfl/player/_/id/4431405/tysheem-johnson,s:20~l:28~a:4431405,
Chicago Bears,RCB,1,Tyrique Stevenson,https://www.espn.com/nfl/player/_/id/4426374/tyrique-stevenson,s:20~l:28~a:4426374,
Chicago Bears,RCB,2,Terell Smith,https://www.espn.com/nfl/player/_/id/4360935/terell-smith,s:20~l:28~a:4360935,
Chicago Bears,RCB,3,Nahshon Wright,https://www.espn.com/nfl/player/_/id/4570470/nahshon-wright,s:20~l:28~a:4570470,
Chicago Bears,RCB,4,Jeremiah Walker,https://www.espn.com/nfl/player/_/id/4691085/jeremiah-walker,s:20~l:28~a:4691085,
Chicago Bears,NB,1,Kyler Gordon,https://www.espn.com/nfl/player/_/id/4361093/kyler-gordon,s:20~l:28~a:4361093,Q
Chicago Bears,NB,2,Josh Blackwell,https://www.espn.com/nfl/player/_/id/4240459/josh-blackwell,s:20~l:28~a:4240459,
Chicago Bears,NB,3,,,,Empty Slot
Chicago Bears,NB,4,,,,Empty Slot
