TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Chicago Bears,PK,1,Cairo Santos,https://www.espn.com/nfl/player/_/id/17427/cairo-santos,s:20~l:28~a:17427,
Chicago Bears,PK,2,Jonathan Kim,https://www.espn.com/nfl/player/_/id/4568671/jonathan-kim,s:20~l:28~a:4568671,
Chicago Bears,PK,3,,,,Empty Slot
Chicago Bears,PK,4,,,,Empty Slot
Chicago Bears,P,1,Tory Taylor,https://www.espn.com/nfl/player/_/id/4686889/tory-taylor,s:20~l:28~a:4686889,
Chicago Bears,P,2,,,,Empty Slot
Chicago Bears,P,3,,,,Empty Slot
Chicago Bears,P,4,,,,Empty Slot
Chicago Bears,H,1,Tory Taylor,https://www.espn.com/nfl/player/_/id/4686889/tory-taylor,s:20~l:28~a:4686889,
Chicago Bears,H,2,,,,Empty Slot
Chicago Bears,H,3,,,,Empty Slot
Chicago Bears,H,4,,,,Empty Slot
Chicago Bears,PR,1,Devin Duvernay,https://www.espn.com/nfl/player/_/id/4039050/devin-duvernay,s:20~l:28~a:4039050,
Chicago Bears,PR,2,Josh Blackwell,https://www.espn.com/nfl/player/_/id/4240459/josh-blackwell,s:20~l:28~a:4240459,
Chicago Bears,PR,3,Maurice Alexander,https://www.espn.com/nfl/player/_/id/3914307/maurice-alexander,s:20~l:28~a:3914307,
Chicago Bears,PR,4,,,,Empty Slot
Chicago Bears,KR,1,Devin Duvernay,https://www.espn.com/nfl/player/_/id/4039050/devin-duvernay,s:20~l:28~a:4039050,
Chicago Bears,KR,2,Tyler Scott,https://www.espn.com/nfl/player/_/id/4565908/tyler-scott,s:20~l:28~a:4565908,
Chicago Bears,KR,3,Josh Blackwell,https://www.espn.com/nfl/player/_/id/4240459/josh-blackwell,s:20~l:28~a:4240459,
Chicago Bears,KR,4,Maurice Alexander,https://www.espn.com/nfl/player/_/id/3914307/maurice-alexander,s:20~l:28~a:3914307,
Chicago Bears,LS,1,Scott Daly,https://www.espn.com/nfl/player/_/id/2980138/scott-daly,s:20~l:28~a:2980138,
Chicago Bears,LS,2,Luke Elkin,https://www.espn.com/nfl/player/_/id/4873482/luke-elkin,s:20~l:28~a:4873482,
Chicago Bears,LS,3,,,,Empty Slot
Chicago Bears,LS,4,,,,Empty Slot
