TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Cincinnati Bengals,PK,1,Evan McPherson,https://www.espn.com/nfl/player/_/id/4360234/evan-mcpherson,s:20~l:28~a:4360234,
Cincinnati Bengals,PK,2,Cade York,https://www.espn.com/nfl/player/_/id/4428963/cade-york,s:20~l:28~a:4428963,
Cincinnati Bengals,PK,3,,,,Empty Slot
Cincinnati Bengals,PK,4,,,,Empty Slot
Cincinnati Bengals,P,1,Ryan Rehkow,https://www.espn.com/nfl/player/_/id/4608820/ryan-rehkow,s:20~l:28~a:4608820,
Cincinnati Bengals,P,2,,,,Empty Slot
Cincinnati Bengals,P,3,,,,Empty Slot
Cincinnati Bengals,P,4,,,,Empty Slot
Cincinnati Bengals,H,1,Ryan Rehkow,https://www.espn.com/nfl/player/_/id/4608820/ryan-rehkow,s:20~l:28~a:4608820,
Cincinnati Bengals,H,2,,,,Empty Slot
Cincinnati Bengals,H,3,,,,Empty Slot
Cincinnati Bengals,H,4,,,,Empty Slot
Cincinnati Bengals,PR,1,Charlie Jones,https://www.espn.com/nfl/player/_/id/4257188/charlie-jones,s:20~l:28~a:4257188,
Cincinnati Bengals,PR,2,Isaiah Williams,https://www.espn.com/nfl/player/_/id/4569371/isaiah-williams,s:20~l:28~a:4569371,
Cincinnati Bengals,PR,3,,,,Empty Slot
Cincinnati Bengals,PR,4,,,,Empty Slot
Cincinnati Bengals,KR,1,Charlie Jones,https://www.espn.com/nfl/player/_/id/4257188/charlie-jones,s:20~l:28~a:4257188,
Cincinnati Bengals,KR,2,Samaje Perine,https://www.espn.com/nfl/player/_/id/3116389/samaje-perine,s:20~l:28~a:3116389,
Cincinnati Bengals,KR,3,Jermaine Burton,https://www.espn.com/nfl/player/_/id/4429033/jermaine-burton,s:20~l:28~a:4429033,
Cincinnati Bengals,KR,4,,,,Empty Slot
Cincinnati Bengals,LS,1,Cal Adomitis,https://www.espn.com/nfl/player/_/id/4240719/cal-adomitis,s:20~l:28~a:4240719,
Cincinnati Bengals,LS,2,William Wagner,https://www.espn.com/nfl/player/_/id/4572051/william-wagner,s:20~l:28~a:4572051,
Cincinnati Bengals,LS,3,,,,Empty Slot
Cincinnati Bengals,LS,4,,,,Empty Slot
