TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Cleveland Browns,LDE,1,Myles Garrett,https://www.espn.com/nfl/player/_/id/3122132/myles-garrett,s:20~l:28~a:3122132,
Cleveland Browns,LDE,2,Alex Wright,https://www.espn.com/nfl/player/_/id/4570119/alex-wright,s:20~l:28~a:4570119,
Cleveland Browns,LDE,3,Julian Okwara,https://www.espn.com/nfl/player/_/id/4046690/julian-okwara,s:20~l:28~a:4046690,
Cleveland Browns,LDE,4,Elerson G. Smith,https://www.espn.com/nfl/player/_/id/4030924/elerson-g-smith,s:20~l:28~a:4030924,
Cleveland Browns,LDT,1,Maliek Collins,https://www.espn.com/nfl/player/_/id/3040471/maliek-collins,s:20~l:28~a:3040471,
Cleveland Browns,LDT,2,Mike Hall Jr.,https://www.espn.com/nfl/player/_/id/4600415/mike-hall-jr,s:20~l:28~a:4600415,Q
Cleveland Browns,LDT,3,Sam Kamara,https://www.espn.com/nfl/player/_/id/4033855/sam-kamara,s:20~l:28~a:4033855,
Cleveland Browns,LDT,4,Ralph Holley,https://www.espn.com/nfl/player/_/id/4240164/ralph-holley,s:20~l:28~a:4240164,
Cleveland Browns,RDT,1,Mason Graham,https://www.espn.com/nfl/player/_/id/4873232/mason-graham,s:20~l:28~a:4873232,
Cleveland Browns,RDT,2,Shelby Harris,https://www.espn.com/nfl/player/_/id/16837/shelby-harris,s:20~l:28~a:16837,
Cleveland Browns,RDT,3,Jowon Briggs,https://www.espn.com/nfl/player/_/id/4426676/jowon-briggs,s:20~l:28~a:4426676,
Cleveland Browns,RDT,4,Adin Huntington,https://www.espn.com/nfl/player/_/id/4605792/adin-huntington,s:20~l:28~a:4605792,
Cleveland Browns,RDE,1,Isaiah McGuire,https://www.espn.com/nfl/player/_/id/4427963/isaiah-mcguire,s:20~l:28~a:4427963,
Cleveland Browns,RDE,2,Joe Tryon-Shoyinka,https://www.espn.com/nfl/player/_/id/4243333/joe-tryon-shoyinka,s:20~l:28~a:4243333,
