TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Cleveland Browns,QB,1,Deshaun Watson,https://www.espn.com/nfl/player/_/id/3122840/deshaun-watson,s:20~l:28~a:3122840,Q
Cleveland Browns,QB,2,Kenny Pickett,https://www.espn.com/nfl/player/_/id/4240703/kenny-pickett,s:20~l:28~a:4240703,
Cleveland Browns,QB,3,Joe Flacco,https://www.espn.com/nfl/player/_/id/11252/joe-flacco,s:20~l:28~a:11252,
Cleveland Browns,QB,4,Dillon Gabriel,https://www.espn.com/nfl/player/_/id/4427238/dillon-gabriel,s:20~l:28~a:4427238,
Cleveland Browns,RB,1,Jerome Ford,https://www.espn.com/nfl/player/_/id/4372019/jerome-ford,s:20~l:28~a:4372019,
Cleveland Browns,RB,2,Quinshon Judkins,https://www.espn.com/nfl/player/_/id/4685702/quinshon-judkins,s:20~l:28~a:4685702,
Cleveland Browns,RB,3,Dylan Sampson,https://www.espn.com/nfl/player/_/id/5081397/dylan-sampson,s:20~l:28~a:5081397,
Cleveland Browns,RB,4,Pierre Strong Jr.,https://www.espn.com/nfl/player/_/id/4249836/pierre-strong-jr,s:20~l:28~a:4249836,
Cleveland Browns,WR,1,Jerry Jeudy,https://www.espn.com/nfl/player/_/id/4241463/jerry-jeudy,s:20~l:28~a:4241463,
Cleveland Browns,WR,2,David Bell,https://www.espn.com/nfl/player/_/id/4570409/david-bell,s:20~l:28~a:4570409,
Cleveland Browns,WR,3,DeAndre Carter,https://www.espn.com/nfl/player/_/id/2580216/deandre-carter,s:20~l:28~a:2580216,
Cleveland Browns,WR,4,Luke Floriea,https://www.espn.com/nfl/player/_/id/4566157/luke-floriea,s:20~l:28~a:4566157,
Cleveland Browns,WR,1,Cedric Tillman,https://www.espn.com/nfl/player/_/id/4369863/cedric-tillman,s:20~l:28~a:4369863,
Cleveland Browns,WR,2,Jamari Thrash,https://www.espn.com/nfl/player/_/id/4428678/jamari-thrash,s:20~l:28~a:4428678,
Cleveland Browns,WR,3,Kaden Davis,https://www.espn.com/nfl/player/_/id/5065495/kaden-davis,s:20~l:28~a:5065495,
Cleveland Browns,WR,4,Gage Larvadain,https://www.espn.com/nfl/player/_/id/4877203/gage-larvadain,s:20~l:28~a:4877203,
Cleveland Browns,WR,1,Diontae Johnson,https://www.espn.com/nfl/player/_/id/3932905/diontae-johnson,s:20~l:28~a:3932905,
Cleveland Browns,WR,2,Michael Woods II,https://www.espn.com/nfl/player/_/id/4360174/michael-woods-ii,s:20~l:28~a:4360174,
Cleveland Browns,WR,3,Jaelen Gill,https://www.espn.com/nfl/player/_/id/4361351/jaelen-gill,s:20~l:28~a:4361351,
Cleveland Browns,WR,4,Kisean Johnson,https://www.espn.com/nfl/player/_/id/4693881/kisean-johnson,s:20~l:28~a:4693881,
Cleveland Browns,TE,1,David Njoku,https://www.espn.com/nfl/player/_/id/3123076/david-njoku,s:20~l:28~a:3123076,Q
Cleveland Browns,TE,2,Harold Fannin Jr.,https://www.espn.com/nfl/player/_/id/5083076/harold-fannin-jr,s:20~l:28~a:5083076,
Cleveland Browns,TE,3,Blake Whiteheart,https://www.espn.com/nfl/player/_/id/4362018/blake-whiteheart,s:20~l:28~a:4362018,
Cleveland Browns,TE,4,Brenden Bates,https://www.espn.com/nfl/player/_/id/4362603/brenden-bates,s:20~l:28~a:4362603,
Cleveland Browns,FB,1,Troy Hairston,https://www.espn.com/nfl/player/_/id/4274040/troy-hairston,s:20~l:28~a:4274040,
Cleveland Browns,FB,2,,,,Empty Slot
Cleveland Browns,FB,3,,,,Empty Slot
Cleveland Browns,FB,4,,,,Empty Slot
Cleveland Browns,LT,1,Dawand Jones,https://www.espn.com/nfl/player/_/id/4427637/dawand-jones,s:20~l:28~a:4427637,
Cleveland Browns,LT,2,Lorenzo Thompson,https://www.espn.com/nfl/player/_/id/4367040/lorenzo-thompson,s:20~l:28~a:4367040,
Cleveland Browns,LT,3,Julian Pearl,https://www.espn.com/nfl/player/_/id/4360391/julian-pearl,s:20~l:28~a:4360391,
Cleveland Browns,LT,4,Roy Mbaeteka,https://www.espn.com/nfl/player/_/id/5024661/roy-mbaeteka,s:20~l:28~a:5024661,
Cleveland Browns,LG,1,Joel Bitonio,https://www.espn.com/nfl/player/_/id/16740/joel-bitonio,s:20~l:28~a:16740,
Cleveland Browns,LG,2,Teven Jenkins,https://www.espn.com/nfl/player/_/id/4038457/teven-jenkins,s:20~l:28~a:4038457,
Cleveland Browns,LG,3,Javion Cohen,https://www.espn.com/nfl/player/_/id/4692037/javion-cohen,s:20~l:28~a:4692037,
Cleveland Browns,LG,4,Dartanyan Tinsley,https://www.espn.com/nfl/player/_/id/4585283/dartanyan-tinsley,s:20~l:28~a:4585283,
Cleveland Browns,C,1,Ethan Pocic,https://www.espn.com/nfl/player/_/id/3042738/ethan-pocic,s:20~l:28~a:3042738,
Cleveland Browns,C,2,Luke Wypler,https://www.espn.com/nfl/player/_/id/4430806/luke-wypler,s:20~l:28~a:4430806,
Cleveland Browns,C,3,Justin Osborne,https://www.espn.com/nfl/player/_/id/4567230/justin-osborne,s:20~l:28~a:4567230,IR
Cleveland Browns,C,4,,,,Empty Slot
Cleveland Browns,RG,1,Wyatt Teller,https://www.espn.com/nfl/player/_/id/3045474/wyatt-teller,s:20~l:28~a:3045474,
Cleveland Browns,RG,2,Zak Zinter,https://www.espn.com/nfl/player/_/id/4433963/zak-zinter,s:20~l:28~a:4433963,
Cleveland Browns,RG,3,Brady Latham,https://www.espn.com/nfl/player/_/id/4567178/brady-latham,s:20~l:28~a:4567178,
Cleveland Browns,RG,4,,,,Empty Slot
Cleveland Browns,RT,1,Jack Conklin,https://www.espn.com/nfl/player/_/id/2979534/jack-conklin,s:20~l:28~a:2979534,
Cleveland Browns,RT,2,Cornelius Lucas,https://www.espn.com/nfl/player/_/id/17202/cornelius-lucas,s:20~l:28~a:17202,
Cleveland Browns,RT,3,Jackson Barton,https://www.espn.com/nfl/player/_/id/3122865/jackson-barton,s:20~l:28~a:3122865,
Cleveland Browns,RT,4,Jason Ivey,https://www.espn.com/nfl/player/_/id/4882116/jason-ivey,s:20~l:28~a:4882116,
