TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Cleveland Browns,PK,1,Dustin Hopkins,https://www.espn.com/nfl/player/_/id/15965/dustin-hopkins,s:20~l:28~a:15965,
Cleveland Browns,PK,2,,,,Empty Slot
Cleveland Browns,PK,3,,,,Empty Slot
Cleveland Browns,PK,4,,,,Empty Slot
Cleveland Browns,P,1,Corey Bojorquez,https://www.espn.com/nfl/player/_/id/4039396/corey-bojorquez,s:20~l:28~a:4039396,
Cleveland Browns,P,2,,,,Empty Slot
Cleveland Browns,P,3,,,,Empty Slot
Cleveland Browns,P,4,,,,Empty Slot
Cleveland Browns,H,1,Corey Bojorquez,https://www.espn.com/nfl/player/_/id/4039396/corey-bojorquez,s:20~l:28~a:4039396,
Cleveland Browns,H,2,,,,Empty Slot
Cleveland Browns,H,3,,,,Empty Slot
Cleveland Browns,H,4,,,,Empty Slot
Cleveland Browns,PR,1,DeAndre Carter,https://www.espn.com/nfl/player/_/id/2580216/deandre-carter,s:20~l:28~a:2580216,
Cleveland Browns,PR,2,,,,Empty Slot
Cleveland Browns,PR,3,,,,Empty Slot
Cleveland Browns,PR,4,,,,Empty Slot
Cleveland Browns,KR,1,DeAndre Carter,https://www.espn.com/nfl/player/_/id/2580216/deandre-carter,s:20~l:28~a:2580216,
Cleveland Browns,KR,2,Jerome Ford,https://www.espn.com/nfl/player/_/id/4372019/jerome-ford,s:20~l:28~a:4372019,
Cleveland Browns,KR,3,Pierre Strong Jr.,https://www.espn.com/nfl/player/_/id/4249836/pierre-strong-jr,s:20~l:28~a:4249836,
Cleveland Browns,KR,4,Kaden Davis,https://www.espn.com/nfl/player/_/id/5065495/kaden-davis,s:20~l:28~a:5065495,
Cleveland Browns,LS,1,Rex Sunahara,https://www.espn.com/nfl/player/_/id/3913293/rex-sunahara,s:20~l:28~a:3913293,
Cleveland Browns,LS,2,Brent Matiscik,https://www.espn.com/nfl/player/_/id/4574571/brent-matiscik,s:20~l:28~a:4574571,
Cleveland Browns,LS,3,,,,Empty Slot
Cleveland Browns,LS,4,,,,Empty Slot
