TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Dallas Cowboys,PK,1,Brandon Aubrey,https://www.espn.com/nfl/player/_/id/3953687/brandon-aubrey,s:20~l:28~a:3953687,Q
Dallas Cowboys,PK,2,,,,Empty Slot
Dallas Cowboys,PK,3,,,,Empty Slot
Dallas Cowboys,PK,4,,,,Empty Slot
Dallas Cowboys,P,1,Bryan Anger,https://www.espn.com/nfl/player/_/id/14950/bryan-anger,s:20~l:28~a:14950,
Dallas Cowboys,P,2,,,,Empty Slot
Dallas Cowboys,P,3,,,,Empty Slot
Dallas Cowboys,P,4,,,,Empty Slot
Dallas Cowboys,H,1,Bryan Anger,https://www.espn.com/nfl/player/_/id/14950/bryan-anger,s:20~l:28~a:14950,
Dallas Cowboys,H,2,,,,Empty Slot
Dallas Cowboys,H,3,,,,Empty Slot
Dallas Cowboys,H,4,,,,Empty Slot
Dallas Cowboys,PR,1,KaVontae Turpin,https://www.espn.com/nfl/player/_/id/3676833/kavontae-turpin,s:20~l:28~a:3676833,
Dallas Cowboys,PR,2,Deuce Vaughn,https://www.espn.com/nfl/player/_/id/4431453/deuce-vaughn,s:20~l:28~a:4431453,
Dallas Cowboys,PR,3,,,,Empty Slot
Dallas Cowboys,PR,4,,,,Empty Slot
Dallas Cowboys,KR,1,KaVontae Turpin,https://www.espn.com/nfl/player/_/id/3676833/kavontae-turpin,s:20~l:28~a:3676833,
Dallas Cowboys,KR,2,Juanyeh Thomas,https://www.espn.com/nfl/player/_/id/4360590/juanyeh-thomas,s:20~l:28~a:4360590,
Dallas Cowboys,KR,3,,,,Empty Slot
Dallas Cowboys,KR,4,,,,Empty Slot
Dallas Cowboys,LS,1,Trent Sieg,https://www.espn.com/nfl/player/_/id/3052357/trent-sieg,s:20~l:28~a:3052357,
Dallas Cowboys,LS,2,,,,Empty Slot
Dallas Cowboys,LS,3,,,,Empty Slot
Dallas Cowboys,LS,4,,,,Empty Slot
