TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Denver Broncos,LDE,1,Zach Allen,https://www.espn.com/nfl/player/_/id/3915282/zach-allen,s:20~l:28~a:3915282,
Denver Broncos,LDE,2,Sai'vion Jones,https://www.espn.com/nfl/player/_/id/4603189/saivion-jones,s:20~l:28~a:4603189,
Denver Broncos,LDE,3,Matt Henningsen,https://www.espn.com/nfl/player/_/id/4242358/matt-henningsen,s:20~l:28~a:4242358,
Denver Broncos,LDE,4,Kristian Williams,https://www.espn.com/nfl/player/_/id/4428886/kristian-williams,s:20~l:28~a:4428886,
Denver Broncos,NT,1,D.J. Jones,https://www.espn.com/nfl/player/_/id/3894915/dj-jones,s:20~l:28~a:3894915,
Denver Broncos,NT,2,Malcolm Roach,https://www.espn.com/nfl/player/_/id/4039064/malcolm-roach,s:20~l:28~a:4039064,
Denver Broncos,NT,3,Jordan Miller,https://www.espn.com/nfl/player/_/id/4362524/jordan-miller,s:20~l:28~a:4362524,
Denver Broncos,NT,4,,,,Empty Slot
Denver Broncos,RDE,1,John Franklin-Myers,https://www.espn.com/nfl/player/_/id/3120464/john-franklin-myers,s:20~l:28~a:3120464,
Denver Broncos,RDE,2,Jordan Jackson,https://www.espn.com/nfl/player/_/id/4261090/jordan-jackson,s:20~l:28~a:4261090,
Denver Broncos,RDE,3,Eyioma Uwazurike,https://www.espn.com/nfl/player/_/id/4066109/eyioma-uwazurike,s:20~l:28~a:4066109,
Denver Broncos,RDE,4,,,,Empty Slot
Denver Broncos,WLB,1,Nik Bonitto,https://www.espn.com/nfl/player/_/id/4360259/nik-bonitto,s:20~l:28~a:4360259,
Denver Broncos,WLB,2,Dondrea Tillman,https://www.espn.com/nfl/player/_/id/5216101/dondrea-tillman,s:20~l:28~a:5216101,
Denver Broncos,WLB,3,Andrew Farmer,https://www.espn.com/nfl/player/_/id/4394894/andrew-farmer,s:20~l:28~a:4394894,
Denver Broncos,WLB,4,,,,Empty Slot
Denver Broncos,LILB,1,Alex Singleton,https://www.espn.com/nfl/player/_/id/2612151/alex-singleton,s:20~l:28~a:2612151,
Denver Broncos,LILB,2,Justin Strnad,https://www.espn.com/nfl/player/_/id/3919548/justin-strnad,s:20~l:28~a:3919548,
Denver Broncos,LILB,3,Karene Reid,https://www.espn.com/nfl/player/_/id/4875336/karene-reid,s:20~l:28~a:4875336,
Denver Broncos,LILB,4,Jordan Turner,https://www.espn.com/nfl/player/_/id/4693373/jordan-turner,s:20~l:28~a:4693373,
Denver Broncos,RILB,1,Dre Greenlaw,https://www.espn.com/nfl/player/_/id/3916903/dre-greenlaw,s:20~l:28~a:3916903,Q
Denver Broncos,RILB,2,Drew Sanders,https://www.espn.com/nfl/player/_/id/4685721/drew-sanders,s:20~l:28~a:4685721,
Denver Broncos,RILB,3,Levelle Bailey,https://www.espn.com/nfl/player/_/id/4428241/levelle-bailey,s:20~l:28~a:4428241,
Denver Broncos,RILB,4,JB Brown,https://www.espn.com/nfl/player/_/id/4695679/jb-brown,s:20~l:28~a:4695679,
Denver Broncos,SLB,1,Jonathon Cooper,https://www.espn.com/nfl/player/_/id/4040608/jonathon-cooper,s:20~l:28~a:4040608,
Denver Broncos,SLB,2,Jonah Elliss,https://www.espn.com/nfl/player/_/id/4687592/jonah-elliss,s:20~l:28~a:4687592,
Denver Broncos,SLB,3,Que Robinson,https://www.espn.com/nfl/player/_/id/4692048/que-robinson,s:20~l:28~a:4692048,
Denver Broncos,SLB,4,Johnny Walker Jr.,https://www.espn.com/nfl/player/_/id/4430973/johnny-walker-jr,s:20~l:28~a:4430973,
Denver Broncos,LCB,1,Pat Surtain II,https://www.espn.com/nfl/player/_/id/4372012/pat-surtain-ii,s:20~l:28~a:4372012,
Denver Broncos,LCB,2,Damarri Mathis,https://www.espn.com/nfl/player/_/id/4240707/damarri-mathis,s:20~l:28~a:4240707,
Denver Broncos,LCB,3,Quinton Newsome,https://www.espn.com/nfl/player/_/id/4428113/quinton-newsome,s:20~l:28~a:4428113,
Denver Broncos,LCB,4,,,,Empty Slot
Denver Broncos,SS,1,Talanoa Hufanga,https://www.espn.com/nfl/player/_/id/4360853/talanoa-hufanga,s:20~l:28~a:4360853,
Denver Broncos,SS,2,P.J. Locke,https://www.espn.com/nfl/player/_/id/3929850/pj-locke,s:20~l:28~a:3929850,
Denver Broncos,SS,3,JL Skinner,https://www.espn.com/nfl/player/_/id/4428503/jl-skinner,s:20~l:28~a:4428503,
Denver Broncos,SS,4,Keidron Smith,https://www.espn.com/nfl/player/_/id/4372418/keidron-smith,s:20~l:28~a:4372418,
Denver Broncos,FS,1,Brandon Jones,https://www.espn.com/nfl/player/_/id/4039059/brandon-jones,s:20~l:28~a:4039059,
Denver Broncos,FS,2,Devon Key,https://www.espn.com/nfl/player/_/id/4037559/devon-key,s:20~l:28~a:4037559,
Denver Broncos,FS,3,Sam Franklin Jr.,https://www.espn.com/nfl/player/_/id/4044133/sam-franklin-jr,s:20~l:28~a:4044133,
Denver Broncos,FS,4,Delarrin Turner-Yell,https://www.espn.com/nfl/player/_/id/4360287/delarrin-turner-yell,s:20~l:28~a:4360287,
Denver Broncos,RCB,1,Riley Moss,https://www.espn.com/nfl/player/_/id/4382401/riley-moss,s:20~l:28~a:4382401,
Denver Broncos,RCB,2,Kris Abrams-Draine,https://www.espn.com/nfl/player/_/id/4429193/kris-abrams-draine,s:20~l:28~a:4429193,
Denver Broncos,RCB,3,Joshua Pickett,https://www.espn.com/nfl/player/_/id/4643729/joshua-pickett,s:20~l:28~a:4643729,
Denver Broncos,RCB,4,Jaden Robinson,https://www.espn.com/nfl/player/_/id/4374032/jaden-robinson,s:20~l:28~a:4374032,
Denver Broncos,NB,1,Jahdae Barron,https://www.espn.com/nfl/player/_/id/4430925/jahdae-barron,s:20~l:28~a:4430925,
Denver Broncos,NB,2,Ja'Quan McMillian,https://www.espn.com/nfl/player/_/id/4567462/jaquan-mcmillian,s:20~l:28~a:4567462,
Denver Broncos,NB,3,Reese Taylor,https://www.espn.com/nfl/player/_/id/4371946/reese-taylor,s:20~l:28~a:4371946,
Denver Broncos,NB,4,,,,Empty Slot
