TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Denver Broncos,PK,1,Wil Lutz,https://www.espn.com/nfl/player/_/id/2985659/wil-lutz,s:20~l:28~a:2985659,
Denver Broncos,PK,2,,,,Empty Slot
Denver Broncos,PK,3,,,,Empty Slot
Denver Broncos,PK,4,,,,Empty Slot
Denver Broncos,P,1,Jeremy Crawshaw,https://www.espn.com/nfl/player/_/id/4589212/jeremy-crawshaw,s:20~l:28~a:4589212,
Denver Broncos,P,2,,,,Empty Slot
Denver Broncos,P,3,,,,Empty Slot
Denver Broncos,P,4,,,,Empty Slot
Denver Broncos,H,1,Jeremy Crawshaw,https://www.espn.com/nfl/player/_/id/4589212/jeremy-crawshaw,s:20~l:28~a:4589212,
Denver Broncos,H,2,,,,Empty Slot
Denver Broncos,H,3,,,,Empty Slot
Denver Broncos,H,4,,,,Empty Slot
Denver Broncos,PR,1,Marvin Mims Jr.,https://www.espn.com/nfl/player/_/id/4686472/marvin-mims-jr,s:20~l:28~a:4686472,
Denver Broncos,PR,2,,,,Empty Slot
Denver Broncos,PR,3,,,,Empty Slot
Denver Broncos,PR,4,,,,Empty Slot
Denver Broncos,KR,1,Marvin Mims Jr.,https://www.espn.com/nfl/player/_/id/4686472/marvin-mims-jr,s:20~l:28~a:4686472,
Denver Broncos,KR,2,,,,Empty Slot
Denver Broncos,KR,3,,,,Empty Slot
Denver Broncos,KR,4,,,,Empty Slot
Denver Broncos,LS,1,Mitchell Fraboni,https://www.espn.com/nfl/player/_/id/3139166/mitchell-fraboni,s:20~l:28~a:3139166,Q
Denver Broncos,LS,2,,,,Empty Slot
Denver Broncos,LS,3,,,,Empty Slot
Denver Broncos,LS,4,,,,Empty Slot
