TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Detroit Lions,PK,1,Jake Bates,https://www.espn.com/nfl/player/_/id/4689936/jake-bates,s:20~l:28~a:4689936,
Detroit Lions,PK,2,,,,Empty Slot
Detroit Lions,PK,3,,,,Empty Slot
Detroit Lions,PK,4,,,,Empty Slot
Detroit Lions,P,1,Jack Fox,https://www.espn.com/nfl/player/_/id/3916370/jack-fox,s:20~l:28~a:3916370,
Detroit Lions,P,2,,,,Empty Slot
Detroit Lions,P,3,,,,Empty Slot
Detroit Lions,P,4,,,,Empty Slot
Detroit Lions,H,1,Jack Fox,https://www.espn.com/nfl/player/_/id/3916370/jack-fox,s:20~l:28~a:3916370,
Detroit Lions,H,2,,,,Empty Slot
Detroit Lions,H,3,,,,Empty Slot
Detroit Lions,H,4,,,,Empty Slot
Detroit Lions,PR,1,Kalif Raymond,https://www.espn.com/nfl/player/_/id/2973405/kalif-raymond,s:20~l:28~a:2973405,
Detroit Lions,PR,2,Amon-Ra St. Brown,https://www.espn.com/nfl/player/_/id/4374302/amon-ra-st-brown,s:20~l:28~a:4374302,Q
Detroit Lions,PR,3,Tom Kennedy,https://www.espn.com/nfl/player/_/id/3126997/tom-kennedy,s:20~l:28~a:3126997,
Detroit Lions,PR,4,,,,Empty Slot
Detroit Lions,KR,1,Khalil Dorsey,https://www.espn.com/nfl/player/_/id/4027919/khalil-dorsey,s:20~l:28~a:4027919,
Detroit Lions,KR,2,Tom Kennedy,https://www.espn.com/nfl/player/_/id/3126997/tom-kennedy,s:20~l:28~a:3126997,
Detroit Lions,KR,3,Craig Reynolds,https://www.espn.com/nfl/player/_/id/4421446/craig-reynolds,s:20~l:28~a:4421446,
Detroit Lions,KR,4,Sione Vaki,https://www.espn.com/nfl/player/_/id/4912274/sione-vaki,s:20~l:28~a:4912274,
Detroit Lions,LS,1,Hogan Hatten,https://www.espn.com/nfl/player/_/id/4571755/hogan-hatten,s:20~l:28~a:4571755,
Detroit Lions,LS,2,,,,Empty Slot
Detroit Lions,LS,3,,,,Empty Slot
Detroit Lions,LS,4,,,,Empty Slot
