TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Green Bay Packers,LDE,1,Lukas Van Ness,https://www.espn.com/nfl/player/_/id/4686906/lukas-van-ness,s:20~l:28~a:4686906,
Green Bay Packers,LDE,2,Barryn Sorrell,https://www.espn.com/nfl/player/_/id/4683643/barryn-sorrell,s:20~l:28~a:4683643,
Green Bay Packers,LDE,3,Brenton Cox Jr.,https://www.espn.com/nfl/player/_/id/4361776/brenton-cox-jr,s:20~l:28~a:4361776,
Green Bay Packers,LDE,4,Deslin Alexandre,https://www.espn.com/nfl/player/_/id/4240728/deslin-alexandre,s:20~l:28~a:4240728,
Green Bay Packers,LDT,1,Kenny Clark,https://www.espn.com/nfl/player/_/id/3122752/kenny-clark,s:20~l:28~a:3122752,
Green Bay Packers,LDT,2,Karl Brooks,https://www.espn.com/nfl/player/_/id/4373423/karl-brooks,s:20~l:28~a:4373423,
Green Bay Packers,LDT,3,Colby Wooden,https://www.espn.com/nfl/player/_/id/4567224/colby-wooden,s:20~l:28~a:4567224,
Green Bay Packers,LDT,4,Nesta Jade Silvera,https://www.espn.com/nfl/player/_/id/4362497/nesta-jade-silvera,s:20~l:28~a:4362497,
Green Bay Packers,RDT,1,Devonte Wyatt,https://www.espn.com/nfl/player/_/id/4361791/devonte-wyatt,s:20~l:28~a:4361791,
Green Bay Packers,RDT,2,Warren Brinson,https://www.espn.com/nfl/player/_/id/4429136/warren-brinson,s:20~l:28~a:4429136,
Green Bay Packers,RDT,3,Nazir Stackhouse,https://www.espn.com/nfl/player/_/id/4429142/nazir-stackhouse,s:20~l:28~a:4429142,
Green Bay Packers,RDT,4,James Ester,https://www.espn.com/nfl/player/_/id/4429576/james-ester,s:20~l:28~a:4429576,
Green Bay Packers,RDE,1,Rashan Gary,https://www.espn.com/nfl/player/_/id/4046523/rashan-gary,s:20~l:28~a:4046523,
Green Bay Packers,RDE,2,Kingsley Enagbare,https://www.espn.com/nfl/player/_/id/4362840/kingsley-enagbare,s:20~l:28~a:4362840,
Green Bay Packers,RDE,3,Collin Oliver,https://www.espn.com/nfl/player/_/id/4683059/collin-oliver,s:20~l:28~a:4683059,
Green Bay Packers,RDE,4,Arron Mosby,https://www.espn.com/nfl/player/_/id/4242996/arron-mosby,s:20~l:28~a:4242996,
Green Bay Packers,WLB,1,Quay Walker,https://www.espn.com/nfl/player/_/id/4379416/quay-walker,s:20~l:28~a:4379416,
Green Bay Packers,WLB,2,Isaiah Simmons,https://www.espn.com/nfl/player/_/id/4035462/isaiah-simmons,s:20~l:28~a:4035462,
Green Bay Packers,WLB,3,Kristian Welch,https://www.espn.com/nfl/player/_/id/4036153/kristian-welch,s:20~l:28~a:4036153,
Green Bay Packers,WLB,4,,,,Empty Slot
Green Bay Packers,MLB,1,Edgerrin Cooper,https://www.espn.com/nfl/player/_/id/4430438/edgerrin-cooper,s:20~l:28~a:4430438,
Green Bay Packers,MLB,2,,,,Empty Slot
Green Bay Packers,MLB,3,,,,Empty Slot
Green Bay Packers,MLB,4,,,,Empty Slot
Green Bay Packers,SLB,1,Isaiah McDuffie,https://www.espn.com/nfl/player/_/id/4239947/isaiah-mcduffie,s:20~l:28~a:4239947,
Green Bay Packers,SLB,2,Ty'Ron Hopper,https://www.espn.com/nfl/player/_/id/4567406/tyron-hopper,s:20~l:28~a:4567406,
Green Bay Packers,SLB,3,,,,Empty Slot
Green Bay Packers,SLB,4,,,,Empty Slot
Green Bay Packers,LCB,1,Carrington Valentine,https://www.espn.com/nfl/player/_/id/4430965/carrington-valentine,s:20~l:28~a:4430965,
Green Bay Packers,LCB,2,Kamal Hadden,https://www.espn.com/nfl/player/_/id/4427356/kamal-hadden,s:20~l:28~a:4427356,
Green Bay Packers,LCB,3,,,,Empty Slot
Green Bay Packers,LCB,4,,,,Empty Slot
Green Bay Packers,SS,1,Evan Williams,https://www.espn.com/nfl/player/_/id/4428863/evan-williams,s:20~l:28~a:4428863,
Green Bay Packers,SS,2,Zayne Anderson,https://www.espn.com/nfl/player/_/id/3932335/zayne-anderson,s:20~l:28~a:3932335,
Green Bay Packers,SS,3,Omar Brown,https://www.espn.com/nfl/player/_/id/4426794/omar-brown,s:20~l:28~a:4426794,
Green Bay Packers,SS,4,Johnathan Baldwin,https://www.espn.com/nfl/player/_/id/4709980/johnathan-baldwin,s:20~l:28~a:4709980,
Green Bay Packers,FS,1,Xavier McKinney,https://www.espn.com/nfl/player/_/id/4241470/xavier-mckinney,s:20~l:28~a:4241470,
Green Bay Packers,FS,2,Kitan Oladapo,https://www.espn.com/nfl/player/_/id/4374037/kitan-oladapo,s:20~l:28~a:4374037,
Green Bay Packers,FS,3,Kahzir Brown,https://www.espn.com/nfl/player/_/id/4877862/kahzir-brown,s:20~l:28~a:4877862,
Green Bay Packers,FS,4,,,,Empty Slot
Green Bay Packers,RCB,1,Keisean Nixon,https://www.espn.com/nfl/player/_/id/4259493/keisean-nixon,s:20~l:28~a:4259493,
Green Bay Packers,RCB,2,Micah Robinson,https://www.espn.com/nfl/player/_/id/4695280/micah-robinson,s:20~l:28~a:4695280,
Green Bay Packers,RCB,3,Isaiah Dunn,https://www.espn.com/nfl/player/_/id/4255989/isaiah-dunn,s:20~l:28~a:4255989,
Green Bay Packers,RCB,4,Tyron Herring,https://www.espn.com/nfl/player/_/id/4427461/tyron-herring,s:20~l:28~a:4427461,
Green Bay Packers,NB,1,Nate Hobbs,https://www.espn.com/nfl/player/_/id/4240542/nate-hobbs,s:20~l:28~a:4240542,
Green Bay Packers,NB,2,Javon Bullard,https://www.espn.com/nfl/player/_/id/4688930/javon-bullard,s:20~l:28~a:4688930,
Green Bay Packers,NB,3,Kalen King,https://www.espn.com/nfl/player/_/id/4431433/kalen-king,s:20~l:28~a:4431433,Q
Green Bay Packers,NB,4,Gregory Junior,https://www.espn.com/nfl/player/_/id/4400960/gregory-junior,s:20~l:28~a:4400960,
