TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Green Bay Packers,QB,1,Jordan Love,https://www.espn.com/nfl/player/_/id/4036378/jordan-love,s:20~l:28~a:4036378,
Green Bay Packers,QB,2,Malik Willis,https://www.espn.com/nfl/player/_/id/4242512/malik-willis,s:20~l:28~a:4242512,
Green Bay Packers,QB,3,Sean Clifford,https://www.espn.com/nfl/player/_/id/4259592/sean-clifford,s:20~l:28~a:4259592,
Green Bay Packers,QB,4,Taylor Elgersma,https://www.espn.com/nfl/player/_/id/5278103/taylor-elgersma,s:20~l:28~a:5278103,
Green Bay Packers,RB,1,Josh Jacobs,https://www.espn.com/nfl/player/_/id/4047365/josh-jacobs,s:20~l:28~a:4047365,
Green Bay Packers,RB,2,MarShawn Lloyd,https://www.espn.com/nfl/player/_/id/4429023/marshawn-lloyd,s:20~l:28~a:4429023,
Green Bay Packers,RB,3,Emanuel Wilson,https://www.espn.com/nfl/player/_/id/4887558/emanuel-wilson,s:20~l:28~a:4887558,
Green Bay Packers,RB,4,Chris Brooks,https://www.espn.com/nfl/player/_/id/3149687/chris-brooks,s:20~l:28~a:3149687,
Green Bay Packers,WR,1,Jayden Reed,https://www.espn.com/nfl/player/_/id/4362249/jayden-reed,s:20~l:28~a:4362249,
Green Bay Packers,WR,2,Christian Watson,https://www.espn.com/nfl/player/_/id/4248528/christian-watson,s:20~l:28~a:4248528,Q
Green Bay Packers,WR,3,Mecole Hardman,https://www.espn.com/nfl/player/_/id/4035004/mecole-hardman,s:20~l:28~a:4035004,
Green Bay Packers,WR,4,Julian Hicks,https://www.espn.com/nfl/player/_/id/4244768/julian-hicks,s:20~l:28~a:4244768,
Green Bay Packers,WR,1,Matthew Golden,https://www.espn.com/nfl/player/_/id/4701936/matthew-golden,s:20~l:28~a:4701936,
Green Bay Packers,WR,2,Dontayvion Wicks,https://www.espn.com/nfl/player/_/id/4428850/dontayvion-wicks,s:20~l:28~a:4428850,
Green Bay Packers,WR,3,Bo Melton,https://www.espn.com/nfl/player/_/id/4259305/bo-melton,s:20~l:28~a:4259305,
Green Bay Packers,WR,4,Cornelius Johnson,https://www.espn.com/nfl/player/_/id/4426479/cornelius-johnson,s:20~l:28~a:4426479,
Green Bay Packers,WR,1,Romeo Doubs,https://www.espn.com/nfl/player/_/id/4361432/romeo-doubs,s:20~l:28~a:4361432,
Green Bay Packers,WR,2,Savion Williams,https://www.espn.com/nfl/player/_/id/4431487/savion-williams,s:20~l:28~a:4431487,
Green Bay Packers,WR,3,Malik Heath,https://www.espn.com/nfl/player/_/id/4689334/malik-heath,s:20~l:28~a:4689334,
Green Bay Packers,WR,4,Sam Brown Jr.,https://www.espn.com/nfl/player/_/id/4587977/sam-brown-jr,s:20~l:28~a:4587977,
Green Bay Packers,TE,1,Tucker Kraft,https://www.espn.com/nfl/player/_/id/4572680/tucker-kraft,s:20~l:28~a:4572680,
Green Bay Packers,TE,2,Luke Musgrave,https://www.espn.com/nfl/player/_/id/4428085/luke-musgrave,s:20~l:28~a:4428085,
Green Bay Packers,TE,3,Ben Sims,https://www.espn.com/nfl/player/_/id/4373030/ben-sims,s:20~l:28~a:4373030,
Green Bay Packers,TE,4,John FitzPatrick,https://www.espn.com/nfl/player/_/id/4379401/john-fitzpatrick,s:20~l:28~a:4379401,
Green Bay Packers,LT,1,Rasheed Walker,https://www.espn.com/nfl/player/_/id/4361429/rasheed-walker,s:20~l:28~a:4361429,
Green Bay Packers,LT,2,Anthony Belton,https://www.espn.com/nfl/player/_/id/4873706/anthony-belton,s:20~l:28~a:4873706,
Green Bay Packers,LT,3,John Williams,https://www.espn.com/nfl/player/_/id/2312707/john-williams,s:20~l:28~a:2312707,
Green Bay Packers,LT,4,,,,Empty Slot
Green Bay Packers,LG,1,Aaron Banks,https://www.espn.com/nfl/player/_/id/4242390/aaron-banks,s:20~l:28~a:4242390,
Green Bay Packers,LG,2,Donovan Jennings,https://www.espn.com/nfl/player/_/id/4360887/donovan-jennings,s:20~l:28~a:4360887,
Green Bay Packers,LG,3,Kadeem Telfort,https://www.espn.com/nfl/player/_/id/4240615/kadeem-telfort,s:20~l:28~a:4240615,
Green Bay Packers,LG,4,Travis Glover,https://www.espn.com/nfl/player/_/id/4361904/travis-glover,s:20~l:28~a:4361904,
Green Bay Packers,C,1,Elgton Jenkins,https://www.espn.com/nfl/player/_/id/3115485/elgton-jenkins,s:20~l:28~a:3115485,
Green Bay Packers,C,2,Jacob Monk,https://www.espn.com/nfl/player/_/id/4428037/jacob-monk,s:20~l:28~a:4428037,
Green Bay Packers,C,3,Trey Hill,https://www.espn.com/nfl/player/_/id/4361787/trey-hill,s:20~l:28~a:4361787,
Green Bay Packers,C,4,,,,Empty Slot
Green Bay Packers,RG,1,Sean Rhyan,https://www.espn.com/nfl/player/_/id/4426411/sean-rhyan,s:20~l:28~a:4426411,
Green Bay Packers,RG,2,Jordan Morgan,https://www.espn.com/nfl/player/_/id/3821571/jordan-morgan,s:20~l:28~a:3821571,
Green Bay Packers,RG,3,,,,Empty Slot
Green Bay Packers,RG,4,,,,Empty Slot
Green Bay Packers,RT,1,Zach Tom,https://www.espn.com/nfl/player/_/id/4240435/zach-tom,s:20~l:28~a:4240435,
Green Bay Packers,RT,2,Brant Banks,https://www.espn.com/nfl/player/_/id/4426623/brant-banks,s:20~l:28~a:4426623,
Green Bay Packers,RT,3,,,,Empty Slot
Green Bay Packers,RT,4,,,,Empty Slot
