TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Green Bay Packers,PK,1,Brandon McManus,https://www.espn.com/nfl/player/_/id/16339/brandon-mcmanus,s:20~l:28~a:16339,
Green Bay Packers,PK,2,Alex Hale,https://www.espn.com/nfl/player/_/id/4361831/alex-hale,s:20~l:28~a:4361831,
Green Bay Packers,PK,3,,,,Empty Slot
Green Bay Packers,PK,4,,,,Empty Slot
Green Bay Packers,P,1,Daniel Whelan,https://www.espn.com/nfl/player/_/id/4248789/daniel-whelan,s:20~l:28~a:4248789,
Green Bay Packers,P,2,,,,Empty Slot
Green Bay Packers,P,3,,,,Empty Slot
Green Bay Packers,P,4,,,,Empty Slot
Green Bay Packers,H,1,Daniel Whelan,https://www.espn.com/nfl/player/_/id/4248789/daniel-whelan,s:20~l:28~a:4248789,
Green Bay Packers,H,2,,,,Empty Slot
Green Bay Packers,H,3,,,,Empty Slot
Green Bay Packers,H,4,,,,Empty Slot
Green Bay Packers,PR,1,Jayden Reed,https://www.espn.com/nfl/player/_/id/4362249/jayden-reed,s:20~l:28~a:4362249,
Green Bay Packers,PR,2,Keisean Nixon,https://www.espn.com/nfl/player/_/id/4259493/keisean-nixon,s:20~l:28~a:4259493,
Green Bay Packers,PR,3,,,,Empty Slot
Green Bay Packers,PR,4,,,,Empty Slot
Green Bay Packers,KR,1,Keisean Nixon,https://www.espn.com/nfl/player/_/id/4259493/keisean-nixon,s:20~l:28~a:4259493,
Green Bay Packers,KR,2,Bo Melton,https://www.espn.com/nfl/player/_/id/4259305/bo-melton,s:20~l:28~a:4259305,
Green Bay Packers,KR,3,Mecole Hardman,https://www.espn.com/nfl/player/_/id/4035004/mecole-hardman,s:20~l:28~a:4035004,
Green Bay Packers,KR,4,,,,Empty Slot
Green Bay Packers,LS,1,Matt Orzech,https://www.espn.com/nfl/player/_/id/4422336/matt-orzech,s:20~l:28~a:4422336,
Green Bay Packers,LS,2,,,,Empty Slot
Green Bay Packers,LS,3,,,,Empty Slot
Green Bay Packers,LS,4,,,,Empty Slot
