TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Houston Texans,QB,1,C.J. Stroud,https://www.espn.com/nfl/player/_/id/4432577/cj-stroud,s:20~l:28~a:4432577,
Houston Texans,QB,2,Davis Mills,https://www.espn.com/nfl/player/_/id/4242546/davis-mills,s:20~l:28~a:4242546,
Houston Texans,QB,3,Graham Mertz,https://www.espn.com/nfl/player/_/id/4426335/graham-mertz,s:20~l:28~a:4426335,
Houston Texans,QB,4,Kedon Slovis,https://www.espn.com/nfl/player/_/id/4428512/kedon-slovis,s:20~l:28~a:4428512,
Houston Texans,RB,1,Joe Mixon,https://www.espn.com/nfl/player/_/id/3116385/joe-mixon,s:20~l:28~a:3116385,Q
Houston Texans,RB,2,Nick Chubb,https://www.espn.com/nfl/player/_/id/3128720/nick-chubb,s:20~l:28~a:3128720,
Houston Texans,RB,3,Dameon Pierce,https://www.espn.com/nfl/player/_/id/4360238/dameon-pierce,s:20~l:28~a:4360238,
Houston Texans,RB,4,Woody Marks,https://www.espn.com/nfl/player/_/id/4429059/woody-marks,s:20~l:28~a:4429059,
Houston Texans,WR,1,Nico Collins,https://www.espn.com/nfl/player/_/id/4258173/nico-collins,s:20~l:28~a:4258173,
Houston Texans,WR,2,Jayden Higgins,https://www.espn.com/nfl/player/_/id/4877706/jayden-higgins,s:20~l:28~a:4877706,
Houston Texans,WR,3,Justin Watson,https://www.espn.com/nfl/player/_/id/3118892/justin-watson,s:20~l:28~a:3118892,
Houston Texans,WR,4,Jared Wayne,https://www.espn.com/nfl/player/_/id/4430681/jared-wayne,s:20~l:28~a:4430681,
Houston Texans,WR,1,Christian Kirk,https://www.espn.com/nfl/player/_/id/3895856/christian-kirk,s:20~l:28~a:3895856,
Houston Texans,WR,2,Jaylin Noel,https://www.espn.com/nfl/player/_/id/4586312/jaylin-noel,s:20~l:28~a:4586312,
Houston Texans,WR,3,Xavier Hutchinson,https://www.espn.com/nfl/player/_/id/4686422/xavier-hutchinson,s:20~l:28~a:4686422,
Houston Texans,WR,4,Johnny Johnson III,https://www.espn.com/nfl/player/_/id/4242504/johnny-johnson-iii,s:20~l:28~a:4242504,
Houston Texans,WR,1,Tank Dell,https://www.espn.com/nfl/player/_/id/4366031/tank-dell,s:20~l:28~a:4366031,Q
Houston Texans,WR,2,John Metchie III,https://www.espn.com/nfl/player/_/id/4567096/john-metchie-iii,s:20~l:28~a:4567096,
Houston Texans,WR,3,Braxton Berrios,https://www.espn.com/nfl/player/_/id/3123075/braxton-berrios,s:20~l:28~a:3123075,Q
Houston Texans,WR,4,Xavier Johnson,https://www.espn.com/nfl/player/_/id/4385430/xavier-johnson,s:20~l:28~a:4385430,
Houston Texans,TE,1,Dalton Schultz,https://www.espn.com/nfl/player/_/id/3117256/dalton-schultz,s:20~l:28~a:3117256,
Houston Texans,TE,2,Brevin Jordan,https://www.espn.com/nfl/player/_/id/4362504/brevin-jordan,s:20~l:28~a:4362504,
Houston Texans,TE,3,Cade Stover,https://www.espn.com/nfl/player/_/id/4426496/cade-stover,s:20~l:28~a:4426496,
Houston Texans,TE,4,Luke Lachey,https://www.espn.com/nfl/player/_/id/4432338/luke-lachey,s:20~l:28~a:4432338,
Houston Texans,FB,1,Jakob Johnson,https://www.espn.com/nfl/player/_/id/3115349/jakob-johnson,s:20~l:28~a:3115349,
Houston Texans,FB,2,,,,Empty Slot
Houston Texans,FB,3,,,,Empty Slot
Houston Texans,FB,4,,,,Empty Slot
Houston Texans,LT,1,Cam Robinson,https://www.espn.com/nfl/player/_/id/3115313/cam-robinson,s:20~l:28~a:3115313,
Houston Texans,LT,2,Aireontae Ersery,https://www.espn.com/nfl/player/_/id/4429693/aireontae-ersery,s:20~l:28~a:4429693,
Houston Texans,LT,3,Austin Deculus,https://www.espn.com/nfl/player/_/id/4242229/austin-deculus,s:20~l:28~a:4242229,
Houston Texans,LT,4,,,,Empty Slot
Houston Texans,LG,1,Tytus Howard,https://www.espn.com/nfl/player/_/id/3131498/tytus-howard,s:20~l:28~a:3131498,
Houston Texans,LG,2,Laken Tomlinson,https://www.espn.com/nfl/player/_/id/2512477/laken-tomlinson,s:20~l:28~a:2512477,
Houston Texans,LG,3,Zach Thomas,https://www.espn.com/nfl/player/_/id/4036834/zach-thomas,s:20~l:28~a:4036834,
Houston Texans,LG,4,LaDarius Henderson,https://www.espn.com/nfl/player/_/id/4427448/ladarius-henderson,s:20~l:28~a:4427448,
Houston Texans,C,1,Jarrett Patterson,https://www.espn.com/nfl/player/_/id/4372774/jarrett-patterson,s:20~l:28~a:4372774,
Houston Texans,C,2,Eli Cox,https://www.espn.com/nfl/player/_/id/4426981/eli-cox,s:20~l:28~a:4426981,
Houston Texans,C,3,Jake Andrews,https://www.espn.com/nfl/player/_/id/4362732/jake-andrews,s:20~l:28~a:4362732,
Houston Texans,C,4,,,,Empty Slot
Houston Texans,RG,1,Juice Scruggs,https://www.espn.com/nfl/player/_/id/4361425/juice-scruggs,s:20~l:28~a:4361425,
