TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Houston Texans,PK,1,Ka'imi Fairbairn,https://www.espn.com/nfl/player/_/id/2971573/kaimi-fairbairn,s:20~l:28~a:2971573,
Houston Texans,PK,2,,,,Empty Slot
Houston Texans,PK,3,,,,Empty Slot
Houston Texans,PK,4,,,,Empty Slot
Houston Texans,P,1,Tommy Townsend,https://www.espn.com/nfl/player/_/id/3915398/tommy-townsend,s:20~l:28~a:3915398,
Houston Texans,P,2,,,,Empty Slot
Houston Texans,P,3,,,,Empty Slot
Houston Texans,P,4,,,,Empty Slot
Houston Texans,H,1,Tommy Townsend,https://www.espn.com/nfl/player/_/id/3915398/tommy-townsend,s:20~l:28~a:3915398,
Houston Texans,H,2,,,,Empty Slot
Houston Texans,H,3,,,,Empty Slot
Houston Texans,H,4,,,,Empty Slot
Houston Texans,PR,1,Braxton Berrios,https://www.espn.com/nfl/player/_/id/3123075/braxton-berrios,s:20~l:28~a:3123075,Q
Houston Texans,PR,2,,,,Empty Slot
Houston Texans,PR,3,,,,Empty Slot
Houston Texans,PR,4,,,,Empty Slot
Houston Texans,KR,1,Dameon Pierce,https://www.espn.com/nfl/player/_/id/4360238/dameon-pierce,s:20~l:28~a:4360238,
Houston Texans,KR,2,Braxton Berrios,https://www.espn.com/nfl/player/_/id/3123075/braxton-berrios,s:20~l:28~a:3123075,Q
Houston Texans,KR,3,Xavier Hutchinson,https://www.espn.com/nfl/player/_/id/4686422/xavier-hutchinson,s:20~l:28~a:4686422,
Houston Texans,KR,4,Tremon Smith,https://www.espn.com/nfl/player/_/id/3134448/tremon-smith,s:20~l:28~a:3134448,
Houston Texans,LS,1,Tucker Addington,https://www.espn.com/nfl/player/_/id/4034729/tucker-addington,s:20~l:28~a:4034729,
Houston Texans,LS,2,Austin Brinkman,https://www.espn.com/nfl/player/_/id/4690999/austin-brinkman,s:20~l:28~a:4690999,
Houston Texans,LS,3,,,,Empty Slot
Houston Texans,LS,4,,,,Empty Slot
