TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Indianapolis Colts,PK,1,Spencer Shrader,https://www.espn.com/nfl/player/_/id/4571557/spencer-shrader,s:20~l:28~a:4571557,
Indianapolis Colts,PK,2,Maddux Trujillo,https://www.espn.com/nfl/player/_/id/4879326/maddux-trujillo,s:20~l:28~a:4879326,
Indianapolis Colts,PK,3,,,,Empty Slot
Indianapolis Colts,PK,4,,,,Empty Slot
Indianapolis Colts,P,1,Rigoberto Sanchez,https://www.espn.com/nfl/player/_/id/3914922/rigoberto-sanchez,s:20~l:28~a:3914922,
Indianapolis Colts,P,2,,,,Empty Slot
Indianapolis Colts,P,3,,,,Empty Slot
Indianapolis Colts,P,4,,,,Empty Slot
Indianapolis Colts,H,1,Rigoberto Sanchez,https://www.espn.com/nfl/player/_/id/3914922/rigoberto-sanchez,s:20~l:28~a:3914922,
Indianapolis Colts,H,2,,,,Empty Slot
Indianapolis Colts,H,3,,,,Empty Slot
Indianapolis Colts,H,4,,,,Empty Slot
Indianapolis Colts,PR,1,Anthony Gould,https://www.espn.com/nfl/player/_/id/4429684/anthony-gould,s:20~l:28~a:4429684,
Indianapolis Colts,PR,2,Josh Downs,https://www.espn.com/nfl/player/_/id/4688813/josh-downs,s:20~l:28~a:4688813,
Indianapolis Colts,PR,3,,,,Empty Slot
Indianapolis Colts,PR,4,,,,Empty Slot
Indianapolis Colts,KR,1,Anthony Gould,https://www.espn.com/nfl/player/_/id/4429684/anthony-gould,s:20~l:28~a:4429684,
Indianapolis Colts,KR,2,Ashton Dulin,https://www.espn.com/nfl/player/_/id/4061956/ashton-dulin,s:20~l:28~a:4061956,
Indianapolis Colts,KR,3,Khalil Herbert,https://www.espn.com/nfl/player/_/id/4035886/khalil-herbert,s:20~l:28~a:4035886,
Indianapolis Colts,KR,4,Tyler Goodson,https://www.espn.com/nfl/player/_/id/4429676/tyler-goodson,s:20~l:28~a:4429676,
Indianapolis Colts,LS,1,Luke Rhodes,https://www.espn.com/nfl/player/_/id/2566045/luke-rhodes,s:20~l:28~a:2566045,
Indianapolis Colts,LS,2,,,,Empty Slot
Indianapolis Colts,LS,3,,,,Empty Slot
Indianapolis Colts,LS,4,,,,Empty Slot
