TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Jacksonville Jaguars,LDE,1,Josh Hines-Allen,https://www.espn.com/nfl/player/_/id/3915239/josh-hines-allen,s:20~l:28~a:3915239,
Jacksonville Jaguars,LDE,2,Emmanuel Ogbah,https://www.espn.com/nfl/player/_/id/2977740/emmanuel-ogbah,s:20~l:28~a:2977740,
Jacksonville Jaguars,LDE,3,Yasir Abdullah,https://www.espn.com/nfl/player/_/id/4360807/yasir-abdullah,s:20~l:28~a:4360807,
Jacksonville Jaguars,LDE,4,Ethan Downs,https://www.espn.com/nfl/player/_/id/4431534/ethan-downs,s:20~l:28~a:4431534,
Jacksonville Jaguars,LDT,1,DaVon Hamilton,https://www.espn.com/nfl/player/_/id/3915520/davon-hamilton,s:20~l:28~a:3915520,
Jacksonville Jaguars,LDT,2,Jordan Jefferson,https://www.espn.com/nfl/player/_/id/4569448/jordan-jefferson,s:20~l:28~a:4569448,
Jacksonville Jaguars,LDT,3,James Carpenter,https://www.espn.com/nfl/player/_/id/4579591/james-carpenter,s:20~l:28~a:4579591,
Jacksonville Jaguars,LDT,4,Eli Mostaert,https://www.espn.com/nfl/player/_/id/4572544/eli-mostaert,s:20~l:28~a:4572544,
Jacksonville Jaguars,RDT,1,Arik Armstead,https://www.espn.com/nfl/player/_/id/2971275/arik-armstead,s:20~l:28~a:2971275,
Jacksonville Jaguars,RDT,2,Maason Smith,https://www.espn.com/nfl/player/_/id/4431567/maason-smith,s:20~l:28~a:4431567,
Jacksonville Jaguars,RDT,3,Tyler Lacy,https://www.espn.com/nfl/player/_/id/4361861/tyler-lacy,s:20~l:28~a:4361861,
Jacksonville Jaguars,RDT,4,Keivie Rose,https://www.espn.com/nfl/player/_/id/4428390/keivie-rose,s:20~l:28~a:4428390,
Jacksonville Jaguars,RDE,1,Travon Walker,https://www.espn.com/nfl/player/_/id/4426349/travon-walker,s:20~l:28~a:4426349,
Jacksonville Jaguars,RDE,2,Dawuane Smoot,https://www.espn.com/nfl/player/_/id/3042476/dawuane-smoot,s:20~l:28~a:3042476,
Jacksonville Jaguars,RDE,3,Myles Cole,https://www.espn.com/nfl/player/_/id/4365303/myles-cole,s:20~l:28~a:4365303,
Jacksonville Jaguars,RDE,4,Danny Striggow,https://www.espn.com/nfl/player/_/id/4573319/danny-striggow,s:20~l:28~a:4573319,
Jacksonville Jaguars,WLB,1,Foyesade Oluokun,https://www.espn.com/nfl/player/_/id/3050073/foyesade-oluokun,s:20~l:28~a:3050073,
Jacksonville Jaguars,WLB,2,Chad Muma,https://www.espn.com/nfl/player/_/id/4361707/chad-muma,s:20~l:28~a:4361707,
Jacksonville Jaguars,WLB,3,,,,Empty Slot
Jacksonville Jaguars,WLB,4,,,,Empty Slot
Jacksonville Jaguars,MLB,1,Devin Lloyd,https://www.espn.com/nfl/player/_/id/4243256/devin-lloyd,s:20~l:28~a:4243256,
Jacksonville Jaguars,MLB,2,Jack Kiser,https://www.espn.com/nfl/player/_/id/4427716/jack-kiser,s:20~l:28~a:4427716,
Jacksonville Jaguars,MLB,3,Branson Combs,https://www.espn.com/nfl/player/_/id/4572704/branson-combs,s:20~l:28~a:4572704,
Jacksonville Jaguars,MLB,4,,,,Empty Slot
Jacksonville Jaguars,SLB,1,Ventrell Miller,https://www.espn.com/nfl/player/_/id/4240610/ventrell-miller,s:20~l:28~a:4240610,
Jacksonville Jaguars,SLB,2,Dennis Gardeck,https://www.espn.com/nfl/player/_/id/4334300/dennis-gardeck,s:20~l:28~a:4334300,Q
Jacksonville Jaguars,SLB,3,Jalen McLeod,https://www.espn.com/nfl/player/_/id/4576129/jalen-mcleod,s:20~l:28~a:4576129,
Jacksonville Jaguars,SLB,4,,,,Empty Slot
Jacksonville Jaguars,LCB,1,Jarrian Jones,https://www.espn.com/nfl/player/_/id/4426448/jarrian-jones,s:20~l:28~a:4426448,
Jacksonville Jaguars,LCB,2,Travis Hunter,https://www.espn.com/nfl/player/_/id/4685415/travis-hunter,s:20~l:28~a:4685415,
Jacksonville Jaguars,LCB,3,Zech McPhearson,https://www.espn.com/nfl/player/_/id/4045161/zech-mcphearson,s:20~l:28~a:4045161,
Jacksonville Jaguars,LCB,4,Aydan White,https://www.espn.com/nfl/player/_/id/4432630/aydan-white,s:20~l:28~a:4432630,
Jacksonville Jaguars,SS,1,Eric Murray,https://www.espn.com/nfl/player/_/id/2970716/eric-murray,s:20~l:28~a:2970716,
Jacksonville Jaguars,SS,2,Antonio Johnson,https://www.espn.com/nfl/player/_/id/4429168/antonio-johnson,s:20~l:28~a:4429168,
Jacksonville Jaguars,SS,3,Rayuan Lane III,https://www.espn.com/nfl/player/_/id/4880675/rayuan-lane-iii,s:20~l:28~a:4880675,
Jacksonville Jaguars,SS,4,Cam'Ron Silmon-Craig,https://www.espn.com/nfl/player/_/id/4877475/camron-silmon-craig,s:20~l:28~a:4877475,
Jacksonville Jaguars,FS,1,Darnell Savage,https://www.espn.com/nfl/player/_/id/3915419/darnell-savage,s:20~l:28~a:3915419,
Jacksonville Jaguars,FS,2,Caleb Ransaw,https://www.espn.com/nfl/player/_/id/4683347/caleb-ransaw,s:20~l:28~a:4683347,
Jacksonville Jaguars,FS,3,Andrew Wingard,https://www.espn.com/nfl/player/_/id/3918331/andrew-wingard,s:20~l:28~a:3918331,
Jacksonville Jaguars,FS,4,Daniel Thomas,https://www.espn.com/nfl/player/_/id/4035505/daniel-thomas,s:20~l:28~a:4035505,
Jacksonville Jaguars,RCB,1,Tyson Campbell,https://www.espn.com/nfl/player/_/id/4379397/tyson-campbell,s:20~l:28~a:4379397,
Jacksonville Jaguars,RCB,2,Montaric Brown,https://www.espn.com/nfl/player/_/id/4242149/montaric-brown,s:20~l:28~a:4242149,
Jacksonville Jaguars,RCB,3,De'Antre Prince,https://www.espn.com/nfl/player/_/id/4428283/deantre-prince,s:20~l:28~a:4428283,
Jacksonville Jaguars,RCB,4,,,,Empty Slot
