TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Jacksonville Jaguars,PK,1,Cam Little,https://www.espn.com/nfl/player/_/id/4686361/cam-little,s:20~l:28~a:4686361,
Jacksonville Jaguars,PK,2,,,,Empty Slot
Jacksonville Jaguars,PK,3,,,,Empty Slot
Jacksonville Jaguars,PK,4,,,,Empty Slot
Jacksonville Jaguars,P,1,Logan Cooke,https://www.espn.com/nfl/player/_/id/3115480/logan-cooke,s:20~l:28~a:3115480,
Jacksonville Jaguars,P,2,,,,Empty Slot
Jacksonville Jaguars,P,3,,,,Empty Slot
Jacksonville Jaguars,P,4,,,,Empty Slot
Jacksonville Jaguars,H,1,Logan Cooke,https://www.espn.com/nfl/player/_/id/3115480/logan-cooke,s:20~l:28~a:3115480,
Jacksonville Jaguars,H,2,,,,Empty Slot
Jacksonville Jaguars,H,3,,,,Empty Slot
Jacksonville Jaguars,H,4,,,,Empty Slot
Jacksonville Jaguars,PR,1,Parker Washington,https://www.espn.com/nfl/player/_/id/4432620/parker-washington,s:20~l:28~a:4432620,
Jacksonville Jaguars,PR,2,Austin Trammell,https://www.espn.com/nfl/player/_/id/4244856/austin-trammell,s:20~l:28~a:4244856,
Jacksonville Jaguars,PR,3,,,,Empty Slot
Jacksonville Jaguars,PR,4,,,,Empty Slot
Jacksonville Jaguars,KR,1,Parker Washington,https://www.espn.com/nfl/player/_/id/4432620/parker-washington,s:20~l:28~a:4432620,
Jacksonville Jaguars,KR,2,Tank Bigsby,https://www.espn.com/nfl/player/_/id/4429013/tank-bigsby,s:20~l:28~a:4429013,
Jacksonville Jaguars,KR,3,,,,Empty Slot
Jacksonville Jaguars,KR,4,,,,Empty Slot
Jacksonville Jaguars,LS,1,Ross Matiscik,https://www.espn.com/nfl/player/_/id/3928931/ross-matiscik,s:20~l:28~a:3928931,
Jacksonville Jaguars,LS,2,,,,Empty Slot
Jacksonville Jaguars,LS,3,,,,Empty Slot
Jacksonville Jaguars,LS,4,,,,Empty Slot
