TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Kansas City Chiefs,LDE,1,George Karlaftis,https://www.espn.com/nfl/player/_/id/4426659/george-karlaftis,s:20~l:28~a:4426659,
Kansas City Chiefs,LDE,2,Charles Omenihu,https://www.espn.com/nfl/player/_/id/3929865/charles-omenihu,s:20~l:28~a:3929865,
Kansas City Chiefs,LDE,3,Ashton Gillotte,https://www.espn.com/nfl/player/_/id/4684432/ashton-gillotte,s:20~l:28~a:4684432,
Kansas City Chiefs,LDE,4,BJ Thompson,https://www.espn.com/nfl/player/_/id/4691084/bj-thompson,s:20~l:28~a:4691084,O
Kansas City Chiefs,LDT,1,Chris Jones,https://www.espn.com/nfl/player/_/id/3044859/chris-jones,s:20~l:28~a:3044859,
Kansas City Chiefs,LDT,2,Jerry Tillery,https://www.espn.com/nfl/player/_/id/3863182/jerry-tillery,s:20~l:28~a:3863182,
Kansas City Chiefs,LDT,3,Fabien Lovett Sr.,https://www.espn.com/nfl/player/_/id/4362905/fabien-lovett-sr,s:20~l:28~a:4362905,
Kansas City Chiefs,LDT,4,,,,Empty Slot
Kansas City Chiefs,RDT,1,Mike Pennel Jr.,https://www.espn.com/nfl/player/_/id/17230/mike-pennel-jr,s:20~l:28~a:17230,
Kansas City Chiefs,RDT,2,Omarr Norman-Lott,https://www.espn.com/nfl/player/_/id/4591008/omarr-norman-lott,s:20~l:28~a:4591008,
Kansas City Chiefs,RDT,3,Marlon Tuipulotu,https://www.espn.com/nfl/player/_/id/4243218/marlon-tuipulotu,s:20~l:28~a:4243218,
Kansas City Chiefs,RDT,4,Coziah Izzard,https://www.espn.com/nfl/player/_/id/4429076/coziah-izzard,s:20~l:28~a:4429076,
Kansas City Chiefs,RDE,1,Mike Danna,https://www.espn.com/nfl/player/_/id/3915487/mike-danna,s:20~l:28~a:3915487,
Kansas City Chiefs,RDE,2,Felix Anudike-Uzomah,https://www.espn.com/nfl/player/_/id/4612387/felix-anudike-uzomah,s:20~l:28~a:4612387,
Kansas City Chiefs,RDE,3,Jeffrey Bassa,https://www.espn.com/nfl/player/_/id/4602389/jeffrey-bassa,s:20~l:28~a:4602389,
Kansas City Chiefs,RDE,4,Janarius Robinson,https://www.espn.com/nfl/player/_/id/4035604/janarius-robinson,s:20~l:28~a:4035604,
Kansas City Chiefs,WLB,1,Drue Tranquill,https://www.espn.com/nfl/player/_/id/3129310/drue-tranquill,s:20~l:28~a:3129310,
Kansas City Chiefs,WLB,2,Jack Cochrane,https://www.espn.com/nfl/player/_/id/4249766/jack-cochrane,s:20~l:28~a:4249766,
Kansas City Chiefs,WLB,3,,,,Empty Slot
Kansas City Chiefs,WLB,4,,,,Empty Slot
Kansas City Chiefs,MLB,1,Nick Bolton,https://www.espn.com/nfl/player/_/id/4362759/nick-bolton,s:20~l:28~a:4362759,
Kansas City Chiefs,MLB,2,Cam Jones,https://www.espn.com/nfl/player/_/id/4371959/cam-jones,s:20~l:28~a:4371959,
Kansas City Chiefs,MLB,3,Jeffrey Bassa,https://www.espn.com/nfl/player/_/id/4602389/jeffrey-bassa,s:20~l:28~a:4602389,
Kansas City Chiefs,MLB,4,Cole Christiansen,https://www.espn.com/nfl/player/_/id/4036959/cole-christiansen,s:20~l:28~a:4036959,
Kansas City Chiefs,SLB,1,Leo Chenal,https://www.espn.com/nfl/player/_/id/4426901/leo-chenal,s:20~l:28~a:4426901,
Kansas City Chiefs,SLB,2,Brandon George,https://www.espn.com/nfl/player/_/id/4568661/brandon-george,s:20~l:28~a:4568661,
Kansas City Chiefs,SLB,3,,,,Empty Slot
Kansas City Chiefs,SLB,4,,,,Empty Slot
Kansas City Chiefs,LCB,1,Trent McDuffie,https://www.espn.com/nfl/player/_/id/4426405/trent-mcduffie,s:20~l:28~a:4426405,
Kansas City Chiefs,LCB,2,Jaylen Watson,https://www.espn.com/nfl/player/_/id/4697639/jaylen-watson,s:20~l:28~a:4697639,
Kansas City Chiefs,LCB,3,Nazeeh Johnson,https://www.espn.com/nfl/player/_/id/4043625/nazeeh-johnson,s:20~l:28~a:4043625,
Kansas City Chiefs,LCB,4,Eric Scott Jr.,https://www.espn.com/nfl/player/_/id/4248032/eric-scott-jr,s:20~l:28~a:4248032,
Kansas City Chiefs,SS,1,Jaden Hicks,https://www.espn.com/nfl/player/_/id/4685232/jaden-hicks,s:20~l:28~a:4685232,
Kansas City Chiefs,SS,2,Deon Bush,https://www.espn.com/nfl/player/_/id/2969944/deon-bush,s:20~l:28~a:2969944,
Kansas City Chiefs,SS,3,Glendon Miller,https://www.espn.com/nfl/player/_/id/4692807/glendon-miller,s:20~l:28~a:4692807,
Kansas City Chiefs,SS,4,,,,Empty Slot
Kansas City Chiefs,FS,1,Bryan Cook,https://www.espn.com/nfl/player/_/id/4247726/bryan-cook,s:20~l:28~a:4247726,
Kansas City Chiefs,FS,2,Mike Edwards,https://www.espn.com/nfl/player/_/id/3155647/mike-edwards,s:20~l:28~a:3155647,
Kansas City Chiefs,FS,3,Kevin Knowles II,https://www.espn.com/nfl/player/_/id/4602648/kevin-knowles-ii,s:20~l:28~a:4602648,
Kansas City Chiefs,FS,4,Major Williams,https://www.espn.com/nfl/player/_/id/4430736/major-williams,s:20~l:28~a:4430736,
Kansas City Chiefs,RCB,1,Kristian Fulton,https://www.espn.com/nfl/player/_/id/4035433/kristian-fulton,s:20~l:28~a:4035433,
Kansas City Chiefs,RCB,2,Nohl Williams,https://www.espn.com/nfl/player/_/id/4610705/nohl-williams,s:20~l:28~a:4610705,
Kansas City Chiefs,RCB,3,Joshua Williams,https://www.espn.com/nfl/player/_/id/4917635/joshua-williams,s:20~l:28~a:4917635,
Kansas City Chiefs,RCB,4,Jacobe Covington,https://www.espn.com/nfl/player/_/id/4431048/jacobe-covington,s:20~l:28~a:4431048,
Kansas City Chiefs,NB,1,Chamarri Conner,https://www.espn.com/nfl/player/_/id/4361964/chamarri-conner,s:20~l:28~a:4361964,
Kansas City Chiefs,NB,2,Christian Roland-Wallace,https://www.espn.com/nfl/player/_/id/4428383/christian-roland-wallace,s:20~l:28~a:4428383,
Kansas City Chiefs,NB,3,Darius Rush,https://www.espn.com/nfl/player/_/id/4362858/darius-rush,s:20~l:28~a:4362858,
Kansas City Chiefs,NB,4,,,,Empty Slot
