TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Kansas City Chiefs,PK,1,Harrison Butker,https://www.espn.com/nfl/player/_/id/3055899/harrison-butker,s:20~l:28~a:3055899,
Kansas City Chiefs,PK,2,,,,Empty Slot
Kansas City Chiefs,PK,3,,,,Empty Slot
Kansas City Chiefs,PK,4,,,,Empty Slot
Kansas City Chiefs,P,1,Matt Araiza,https://www.espn.com/nfl/player/_/id/4361496/matt-araiza,s:20~l:28~a:4361496,
Kansas City Chiefs,P,2,Eddie Czaplicki,https://www.espn.com/nfl/player/_/id/4705853/eddie-czaplicki,s:20~l:28~a:4705853,
Kansas City Chiefs,P,3,,,,Empty Slot
Kansas City Chiefs,P,4,,,,Empty Slot
Kansas City Chiefs,H,1,Matt Araiza,https://www.espn.com/nfl/player/_/id/4361496/matt-araiza,s:20~l:28~a:4361496,
Kansas City Chiefs,H,2,Eddie Czaplicki,https://www.espn.com/nfl/player/_/id/4705853/eddie-czaplicki,s:20~l:28~a:4705853,
Kansas City Chiefs,H,3,,,,Empty Slot
Kansas City Chiefs,H,4,,,,Empty Slot
Kansas City Chiefs,PR,1,Nikko Remigio,https://www.espn.com/nfl/player/_/id/4372716/nikko-remigio,s:20~l:28~a:4372716,
Kansas City Chiefs,PR,2,,,,Empty Slot
Kansas City Chiefs,PR,3,,,,Empty Slot
Kansas City Chiefs,PR,4,,,,Empty Slot
Kansas City Chiefs,KR,1,Nikko Remigio,https://www.espn.com/nfl/player/_/id/4372716/nikko-remigio,s:20~l:28~a:4372716,
Kansas City Chiefs,KR,2,Carson Steele,https://www.espn.com/nfl/player/_/id/4714365/carson-steele,s:20~l:28~a:4714365,
Kansas City Chiefs,KR,3,Skyy Moore,https://www.espn.com/nfl/player/_/id/4430191/skyy-moore,s:20~l:28~a:4430191,
Kansas City Chiefs,KR,4,,,,Empty Slot
Kansas City Chiefs,LS,1,James Winchester,https://www.espn.com/nfl/player/_/id/16665/james-winchester,s:20~l:28~a:16665,
Kansas City Chiefs,LS,2,,,,Empty Slot
Kansas City Chiefs,LS,3,,,,Empty Slot
Kansas City Chiefs,LS,4,,,,Empty Slot
