TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Las Vegas Raiders,LDE,1,Maxx Crosby,https://www.espn.com/nfl/player/_/id/3916655/maxx-crosby,s:20~l:28~a:3916655,
Las Vegas Raiders,LDE,2,Charles Snowden,https://www.espn.com/nfl/player/_/id/4240849/charles-snowden,s:20~l:28~a:4240849,
Las Vegas Raiders,LDE,3,Ovie Oghoufo,https://www.espn.com/nfl/player/_/id/4361326/ovie-oghoufo,s:20~l:28~a:4361326,
Las Vegas Raiders,LDE,4,Jah Joyner,https://www.espn.com/nfl/player/_/id/4430111/jah-joyner,s:20~l:28~a:4430111,
Las Vegas Raiders,LDT,1,Christian Wilkins,https://www.espn.com/nfl/player/_/id/3728266/christian-wilkins,s:20~l:28~a:3728266,Q
Las Vegas Raiders,LDT,2,Leki Fotu,https://www.espn.com/nfl/player/_/id/4035666/leki-fotu,s:20~l:28~a:4035666,
Las Vegas Raiders,LDT,3,Tonka Hemingway,https://www.espn.com/nfl/player/_/id/4429109/tonka-hemingway,s:20~l:28~a:4429109,
Las Vegas Raiders,LDT,4,Tank Booker,https://www.espn.com/nfl/player/_/id/4569496/tank-booker,s:20~l:28~a:4569496,
Las Vegas Raiders,RDT,1,Adam Butler,https://www.espn.com/nfl/player/_/id/2972342/adam-butler,s:20~l:28~a:2972342,Q
Las Vegas Raiders,RDT,2,Jonah Laulu,https://www.espn.com/nfl/player/_/id/4373956/jonah-laulu,s:20~l:28~a:4373956,
Las Vegas Raiders,RDT,3,JJ Pegues,https://www.espn.com/nfl/player/_/id/4430896/jj-pegues,s:20~l:28~a:4430896,
Las Vegas Raiders,RDT,4,Laki Tasi,https://www.espn.com/nfl/player/_/id/5278710/laki-tasi,s:20~l:28~a:5278710,
Las Vegas Raiders,RDE,1,Malcolm Koonce,https://www.espn.com/nfl/player/_/id/4239719/malcolm-koonce,s:20~l:28~a:4239719,
Las Vegas Raiders,RDE,2,Tyree Wilson,https://www.espn.com/nfl/player/_/id/4372533/tyree-wilson,s:20~l:28~a:4372533,
Las Vegas Raiders,RDE,3,Andre Carter II,https://www.espn.com/nfl/player/_/id/4577333/andre-carter-ii,s:20~l:28~a:4577333,
Las Vegas Raiders,RDE,4,Jahfari Harvey,https://www.espn.com/nfl/player/_/id/4427408/jahfari-harvey,s:20~l:28~a:4427408,
Las Vegas Raiders,WLB,1,Germaine Pratt,https://www.espn.com/nfl/player/_/id/3116724/germaine-pratt,s:20~l:28~a:3116724,
Las Vegas Raiders,WLB,2,Devin White,https://www.espn.com/nfl/player/_/id/4035434/devin-white,s:20~l:28~a:4035434,
Las Vegas Raiders,WLB,3,Michael Barrett,https://www.espn.com/nfl/player/_/id/4372062/michael-barrett,s:20~l:28~a:4372062,
Las Vegas Raiders,WLB,4,Amari Gainer,https://www.espn.com/nfl/player/_/id/4360469/amari-gainer,s:20~l:28~a:4360469,
Las Vegas Raiders,MLB,1,Elandon Roberts,https://www.espn.com/nfl/player/_/id/2987743/elandon-roberts,s:20~l:28~a:2987743,
Las Vegas Raiders,MLB,2,Cody Lindenberg,https://www.espn.com/nfl/player/_/id/4685126/cody-lindenberg,s:20~l:28~a:4685126,
Las Vegas Raiders,MLB,3,Jaylon Smith,https://www.espn.com/nfl/player/_/id/3052896/jaylon-smith,s:20~l:28~a:3052896,
Las Vegas Raiders,MLB,4,Matt Jones,https://www.espn.com/nfl/player/_/id/4571882/matt-jones,s:20~l:28~a:4571882,
Las Vegas Raiders,SLB,1,Tommy Eichenberg,https://www.espn.com/nfl/player/_/id/4429560/tommy-eichenberg,s:20~l:28~a:4429560,
Las Vegas Raiders,SLB,2,,,,Empty Slot
Las Vegas Raiders,SLB,3,,,,Empty Slot
Las Vegas Raiders,SLB,4,,,,Empty Slot
Las Vegas Raiders,LCB,1,Jakorian Bennett,https://www.espn.com/nfl/player/_/id/4686911/jakorian-bennett,s:20~l:28~a:4686911,
Las Vegas Raiders,LCB,2,Decamerion Richardson,https://www.espn.com/nfl/player/_/id/4605498/decamerion-richardson,s:20~l:28~a:4605498,
Las Vegas Raiders,LCB,3,Mello Dotson,https://www.espn.com/nfl/player/_/id/4431356/mello-dotson,s:20~l:28~a:4431356,
Las Vegas Raiders,LCB,4,,,,Empty Slot
Las Vegas Raiders,SS,1,Jeremy Chinn,https://www.espn.com/nfl/player/_/id/4043169/jeremy-chinn,s:20~l:28~a:4043169,
Las Vegas Raiders,SS,2,Lonnie Johnson Jr.,https://www.espn.com/nfl/player/_/id/4240780/lonnie-johnson-jr,s:20~l:28~a:4240780,
Las Vegas Raiders,SS,3,Trey Taylor,https://www.espn.com/nfl/player/_/id/4693816/trey-taylor,s:20~l:28~a:4693816,
Las Vegas Raiders,SS,4,Jonathan Sutherland,https://www.espn.com/nfl/player/_/id/4259608/jonathan-sutherland,s:20~l:28~a:4259608,
Las Vegas Raiders,FS,1,Isaiah Pola-Mao,https://www.espn.com/nfl/player/_/id/4259632/isaiah-pola-mao,s:20~l:28~a:4259632,
Las Vegas Raiders,FS,2,Thomas Harper,https://www.espn.com/nfl/player/_/id/4569323/thomas-harper,s:20~l:28~a:4569323,
Las Vegas Raiders,FS,3,Chris Smith II,https://www.espn.com/nfl/player/_/id/4379413/chris-smith-ii,s:20~l:28~a:4379413,
Las Vegas Raiders,FS,4,Hudson Clark,https://www.espn.com/nfl/player/_/id/4567158/hudson-clark,s:20~l:28~a:4567158,
Las Vegas Raiders,RCB,1,Eric Stokes,https://www.espn.com/nfl/player/_/id/4259561/eric-stokes,s:20~l:28~a:4259561,
Las Vegas Raiders,RCB,2,Darien Porter,https://www.espn.com/nfl/player/_/id/4430330/darien-porter,s:20~l:28~a:4430330,
Las Vegas Raiders,RCB,3,John Humphrey,https://www.espn.com/nfl/player/_/id/4565811/john-humphrey,s:20~l:28~a:4565811,
Las Vegas Raiders,RCB,4,,,,Empty Slot
Las Vegas Raiders,NB,1,Darnay Holmes,https://www.espn.com/nfl/player/_/id/4242973/darnay-holmes,s:20~l:28~a:4242973,
Las Vegas Raiders,NB,2,Sam Webb,https://www.espn.com/nfl/player/_/id/4700660/sam-webb,s:20~l:28~a:4700660,
Las Vegas Raiders,NB,3,Kyu Blu Kelly,https://www.espn.com/nfl/player/_/id/4427695/kyu-blu-kelly,s:20~l:28~a:4427695,
Las Vegas Raiders,NB,4,Greedy Vance Jr.,https://www.espn.com/nfl/player/_/id/4686337/greedy-vance-jr,s:20~l:28~a:4686337,
