TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Las Vegas Raiders,QB,1,Geno Smith,https://www.espn.com/nfl/player/_/id/15864/geno-smith,s:20~l:28~a:15864,
Las Vegas Raiders,QB,2,Aidan O'Connell,https://www.espn.com/nfl/player/_/id/4260394/aidan-oconnell,s:20~l:28~a:4260394,
Las Vegas Raiders,QB,3,Cam Miller,https://www.espn.com/nfl/player/_/id/4693331/cam-miller,s:20~l:28~a:4693331,
Las Vegas Raiders,QB,4,Carter Bradley,https://www.espn.com/nfl/player/_/id/4362260/carter-bradley,s:20~l:28~a:4362260,
Las Vegas Raiders,RB,1,Ashton Jeanty,https://www.espn.com/nfl/player/_/id/4890973/ashton-jeanty,s:20~l:28~a:4890973,
Las Vegas Raiders,RB,2,Raheem Mostert,https://www.espn.com/nfl/player/_/id/2576414/raheem-mostert,s:20~l:28~a:2576414,
Las Vegas Raiders,RB,3,Sincere McCormick,https://www.espn.com/nfl/player/_/id/4430104/sincere-mccormick,s:20~l:28~a:4430104,
Las Vegas Raiders,RB,4,Zamir White,https://www.espn.com/nfl/player/_/id/4361777/zamir-white,s:20~l:28~a:4361777,
Las Vegas Raiders,WR,1,Jakobi Meyers,https://www.espn.com/nfl/player/_/id/3916433/jakobi-meyers,s:20~l:28~a:3916433,
Las Vegas Raiders,WR,2,Dont'e Thornton Jr.,https://www.espn.com/nfl/player/_/id/4432775/donte-thornton-jr,s:20~l:28~a:4432775,
Las Vegas Raiders,WR,3,Collin Johnson,https://www.espn.com/nfl/player/_/id/4039043/collin-johnson,s:20~l:28~a:4039043,
Las Vegas Raiders,WR,4,Zakhari Franklin,https://www.espn.com/nfl/player/_/id/4427225/zakhari-franklin,s:20~l:28~a:4427225,
Las Vegas Raiders,WR,1,Tre Tucker,https://www.espn.com/nfl/player/_/id/4428718/tre-tucker,s:20~l:28~a:4428718,
Las Vegas Raiders,WR,2,Tommy Mellott,https://www.espn.com/nfl/player/_/id/4775196/tommy-mellott,s:20~l:28~a:4775196,
Las Vegas Raiders,WR,3,Kyle Philips,https://www.espn.com/nfl/player/_/id/4367175/kyle-philips,s:20~l:28~a:4367175,
Las Vegas Raiders,WR,4,Ketron Jackson Jr.,https://www.espn.com/nfl/player/_/id/4431389/ketron-jackson-jr,s:20~l:28~a:4431389,
Las Vegas Raiders,WR,1,Jack Bech,https://www.espn.com/nfl/player/_/id/4603186/jack-bech,s:20~l:28~a:4603186,
Las Vegas Raiders,WR,2,Alex Bachman,https://www.espn.com/nfl/player/_/id/3919510/alex-bachman,s:20~l:28~a:3919510,
Las Vegas Raiders,WR,3,Shedrick Jackson,https://www.espn.com/nfl/player/_/id/4361332/shedrick-jackson,s:20~l:28~a:4361332,
Las Vegas Raiders,WR,4,Key'Shawn Smith,https://www.espn.com/nfl/player/_/id/4607419/keyshawn-smith,s:20~l:28~a:4607419,
