TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Las Vegas Raiders,PK,1,Daniel Carlson,https://www.espn.com/nfl/player/_/id/3051909/daniel-carlson,s:20~l:28~a:3051909,
Las Vegas Raiders,PK,2,,,,Empty Slot
Las Vegas Raiders,PK,3,,,,Empty Slot
Las Vegas Raiders,PK,4,,,,Empty Slot
Las Vegas Raiders,P,1,AJ Cole,https://www.espn.com/nfl/player/_/id/3686689/aj-cole,s:20~l:28~a:3686689,
Las Vegas Raiders,P,2,,,,Empty Slot
Las Vegas Raiders,P,3,,,,Empty Slot
Las Vegas Raiders,P,4,,,,Empty Slot
Las Vegas Raiders,H,1,AJ Cole,https://www.espn.com/nfl/player/_/id/3686689/aj-cole,s:20~l:28~a:3686689,
Las Vegas Raiders,H,2,,,,Empty Slot
Las Vegas Raiders,H,3,,,,Empty Slot
Las Vegas Raiders,H,4,,,,Empty Slot
Las Vegas Raiders,PR,1,Tommy Mellott,https://www.espn.com/nfl/player/_/id/4775196/tommy-mellott,s:20~l:28~a:4775196,
Las Vegas Raiders,PR,2,Dylan Laube,https://www.espn.com/nfl/player/_/id/4366963/dylan-laube,s:20~l:28~a:4366963,
Las Vegas Raiders,PR,3,,,,Empty Slot
Las Vegas Raiders,PR,4,,,,Empty Slot
Las Vegas Raiders,KR,1,Tommy Mellott,https://www.espn.com/nfl/player/_/id/4775196/tommy-mellott,s:20~l:28~a:4775196,
Las Vegas Raiders,KR,2,Dylan Laube,https://www.espn.com/nfl/player/_/id/4366963/dylan-laube,s:20~l:28~a:4366963,
Las Vegas Raiders,KR,3,Chris Collier,https://www.espn.com/nfl/player/_/id/4698191/chris-collier,s:20~l:28~a:4698191,
Las Vegas Raiders,KR,4,,,,Empty Slot
Las Vegas Raiders,LS,1,Jacob Bobenmoyer,https://www.espn.com/nfl/player/_/id/3925443/jacob-bobenmoyer,s:20~l:28~a:3925443,
Las Vegas Raiders,LS,2,,,,Empty Slot
Las Vegas Raiders,LS,3,,,,Empty Slot
Las Vegas Raiders,LS,4,,,,Empty Slot
