TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Los Angeles Chargers,LDE,1,Da'Shawn Hand,https://www.espn.com/nfl/player/_/id/3126352/dashawn-hand,s:20~l:28~a:3126352,
Los Angeles Chargers,LDE,2,Justin Eboigbe,https://www.espn.com/nfl/player/_/id/4567138/justin-eboigbe,s:20~l:28~a:4567138,
Los Angeles Chargers,LDE,3,Scott Matlock,https://www.espn.com/nfl/player/_/id/4373684/scott-matlock,s:20~l:28~a:4373684,
Los Angeles Chargers,LDE,4,,,,Empty Slot
Los Angeles Chargers,NT,1,Teair Tart,https://www.espn.com/nfl/player/_/id/4374269/teair-tart,s:20~l:28~a:4374269,
Los Angeles Chargers,NT,2,Jamaree Caldwell,https://www.espn.com/nfl/player/_/id/5089178/jamaree-caldwell,s:20~l:28~a:5089178,
Los Angeles Chargers,NT,3,TeRah Edwards,https://www.espn.com/nfl/player/_/id/4431077/terah-edwards,s:20~l:28~a:4431077,
Los Angeles Chargers,NT,4,,,,Empty Slot
Los Angeles Chargers,RDE,1,Otito Ogbonnia,https://www.espn.com/nfl/player/_/id/4367210/otito-ogbonnia,s:20~l:28~a:4367210,
Los Angeles Chargers,RDE,2,Naquan Jones,https://www.espn.com/nfl/player/_/id/4046716/naquan-jones,s:20~l:28~a:4046716,
Los Angeles Chargers,RDE,3,Josh Fuga,https://www.espn.com/nfl/player/_/id/4427234/josh-fuga,s:20~l:28~a:4427234,
Los Angeles Chargers,RDE,4,,,,Empty Slot
Los Angeles Chargers,WLB,1,Tuli Tuipulotu,https://www.espn.com/nfl/player/_/id/4431442/tuli-tuipulotu,s:20~l:28~a:4431442,
Los Angeles Chargers,WLB,2,Kyle Kennard,https://www.espn.com/nfl/player/_/id/4432333/kyle-kennard,s:20~l:28~a:4432333,
Los Angeles Chargers,WLB,3,Caleb Murphy,https://www.espn.com/nfl/player/_/id/4686885/caleb-murphy,s:20~l:28~a:4686885,
Los Angeles Chargers,WLB,4,Kylan Guidry,https://www.espn.com/nfl/player/_/id/5082390/kylan-guidry,s:20~l:28~a:5082390,
Los Angeles Chargers,LILB,1,Daiyan Henley,https://www.espn.com/nfl/player/_/id/4241597/daiyan-henley,s:20~l:28~a:4241597,
Los Angeles Chargers,LILB,2,Troy Dye,https://www.espn.com/nfl/player/_/id/4038946/troy-dye,s:20~l:28~a:4038946,
Los Angeles Chargers,LILB,3,Kana'i Mauga,https://www.espn.com/nfl/player/_/id/4360855/kanai-mauga,s:20~l:28~a:4360855,
Los Angeles Chargers,LILB,4,Marlowe Wax,https://www.espn.com/nfl/player/_/id/4431467/marlowe-wax,s:20~l:28~a:4431467,
Los Angeles Chargers,RILB,1,Junior Colson,https://www.espn.com/nfl/player/_/id/4431212/junior-colson,s:20~l:28~a:4431212,
Los Angeles Chargers,RILB,2,Denzel Perryman,https://www.espn.com/nfl/player/_/id/2579621/denzel-perryman,s:20~l:28~a:2579621,
Los Angeles Chargers,RILB,3,Del'Shawn Phillips,https://www.espn.com/nfl/player/_/id/4240528/delshawn-phillips,s:20~l:28~a:4240528,
Los Angeles Chargers,RILB,4,Troy Dye,https://www.espn.com/nfl/player/_/id/4038946/troy-dye,s:20~l:28~a:4038946,
Los Angeles Chargers,SLB,1,Khalil Mack,https://www.espn.com/nfl/player/_/id/16710/khalil-mack,s:20~l:28~a:16710,
Los Angeles Chargers,SLB,2,Bud Dupree,https://www.espn.com/nfl/player/_/id/2576702/bud-dupree,s:20~l:28~a:2576702,
Los Angeles Chargers,SLB,3,Tre'Mon Morris-Brash,https://www.espn.com/nfl/player/_/id/4428058/tremon-morris-brash,s:20~l:28~a:4428058,
Los Angeles Chargers,SLB,4,Garmon Randolph,https://www.espn.com/nfl/player/_/id/4428304/garmon-randolph,s:20~l:28~a:4428304,
Los Angeles Chargers,LCB,1,Donte Jackson,https://www.espn.com/nfl/player/_/id/3843769/donte-jackson,s:20~l:28~a:3843769,
Los Angeles Chargers,LCB,2,Deane Leonard,https://www.espn.com/nfl/player/_/id/4690171/deane-leonard,s:20~l:28~a:4690171,
Los Angeles Chargers,LCB,3,Trikweze Bridges,https://www.espn.com/nfl/player/_/id/4426513/trikweze-bridges,s:20~l:28~a:4426513,
Los Angeles Chargers,LCB,4,Jordan Oladokun,https://www.espn.com/nfl/player/_/id/4601079/jordan-oladokun,s:20~l:28~a:4601079,
Los Angeles Chargers,SS,1,Derwin James Jr.,https://www.espn.com/nfl/player/_/id/3691739/derwin-james-jr,s:20~l:28~a:3691739,
Los Angeles Chargers,SS,2,Tony Jefferson,https://www.espn.com/nfl/player/_/id/16195/tony-jefferson,s:20~l:28~a:16195,
Los Angeles Chargers,SS,3,R.J. Mickens,https://www.espn.com/nfl/player/_/id/4429018/rj-mickens,s:20~l:28~a:4429018,
Los Angeles Chargers,SS,4,Jaylen Jones,https://www.espn.com/nfl/player/_/id/4683330/jaylen-jones,s:20~l:28~a:4683330,
Los Angeles Chargers,FS,1,Alohi Gilman,https://www.espn.com/nfl/player/_/id/4039413/alohi-gilman,s:20~l:28~a:4039413,
Los Angeles Chargers,FS,2,Elijah Molden,https://www.espn.com/nfl/player/_/id/4243328/elijah-molden,s:20~l:28~a:4243328,Q
Los Angeles Chargers,FS,3,Kendall Williamson,https://www.espn.com/nfl/player/_/id/4360745/kendall-williamson,s:20~l:28~a:4360745,
Los Angeles Chargers,FS,4,Emany Johnson,https://www.espn.com/nfl/player/_/id/4361437/emany-johnson,s:20~l:28~a:4361437,
Los Angeles Chargers,RCB,1,Cam Hart,https://www.espn.com/nfl/player/_/id/4427404/cam-hart,s:20~l:28~a:4427404,
Los Angeles Chargers,RCB,2,Benjamin St-Juste,https://www.espn.com/nfl/player/_/id/4258206/benjamin-st-juste,s:20~l:28~a:4258206,
Los Angeles Chargers,RCB,3,Nikko Reed,https://www.espn.com/nfl/player/_/id/4691043/nikko-reed,s:20~l:28~a:4691043,
