TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Los Angeles Chargers,QB,1,Justin Herbert,https://www.espn.com/nfl/player/_/id/4038941/justin-herbert,s:20~l:28~a:4038941,
Los Angeles Chargers,QB,2,Taylor Heinicke,https://www.espn.com/nfl/player/_/id/2565969/taylor-heinicke,s:20~l:28~a:2565969,
Los Angeles Chargers,QB,3,Trey Lance,https://www.espn.com/nfl/player/_/id/4383351/trey-lance,s:20~l:28~a:4383351,
Los Angeles Chargers,QB,4,DJ Uiagalelei,https://www.espn.com/nfl/player/_/id/4429020/dj-uiagalelei,s:20~l:28~a:4429020,
Los Angeles Chargers,RB,1,Najee Harris,https://www.espn.com/nfl/player/_/id/4241457/najee-harris,s:20~l:28~a:4241457,
Los Angeles Chargers,RB,2,Omarion Hampton,https://www.espn.com/nfl/player/_/id/4685382/omarion-hampton,s:20~l:28~a:4685382,
Los Angeles Chargers,RB,3,Hassan Haskins,https://www.espn.com/nfl/player/_/id/4372071/hassan-haskins,s:20~l:28~a:4372071,
Los Angeles Chargers,RB,4,Kimani Vidal,https://www.espn.com/nfl/player/_/id/4430968/kimani-vidal,s:20~l:28~a:4430968,
Los Angeles Chargers,WR,1,Ladd McConkey,https://www.espn.com/nfl/player/_/id/4612826/ladd-mcconkey,s:20~l:28~a:4612826,
Los Angeles Chargers,WR,2,Quentin Johnston,https://www.espn.com/nfl/player/_/id/4429025/quentin-johnston,s:20~l:28~a:4429025,
Los Angeles Chargers,WR,3,Jalen Reagor,https://www.espn.com/nfl/player/_/id/4241802/jalen-reagor,s:20~l:28~a:4241802,
Los Angeles Chargers,WR,4,Dez Fitzpatrick,https://www.espn.com/nfl/player/_/id/4036026/dez-fitzpatrick,s:20~l:28~a:4036026,
Los Angeles Chargers,WR,1,Mike Williams,https://www.espn.com/nfl/player/_/id/3045138/mike-williams,s:20~l:28~a:3045138,
Los Angeles Chargers,WR,2,Derius Davis,https://www.espn.com/nfl/player/_/id/4362477/derius-davis,s:20~l:28~a:4362477,
Los Angeles Chargers,WR,3,Brenden Rice,https://www.espn.com/nfl/player/_/id/4686781/brenden-rice,s:20~l:28~a:4686781,
Los Angeles Chargers,WR,4,Luke Grimm,https://www.espn.com/nfl/player/_/id/4433830/luke-grimm,s:20~l:28~a:4433830,
Los Angeles Chargers,WR,1,Tre Harris,https://www.espn.com/nfl/player/_/id/4686612/tre-harris,s:20~l:28~a:4686612,
Los Angeles Chargers,WR,2,KeAndre Lambert-Smith,https://www.espn.com/nfl/player/_/id/4430870/keandre-lambert-smith,s:20~l:28~a:4430870,
Los Angeles Chargers,WR,3,Jaylen Johnson,https://www.espn.com/nfl/player/_/id/4379405/jaylen-johnson,s:20~l:28~a:4379405,
Los Angeles Chargers,WR,4,Dalevon Campbell,https://www.espn.com/nfl/player/_/id/4569372/dalevon-campbell,s:20~l:28~a:4569372,
Los Angeles Chargers,TE,1,Will Dissly,https://www.espn.com/nfl/player/_/id/3127292/will-dissly,s:20~l:28~a:3127292,
Los Angeles Chargers,TE,2,Tyler Conklin,https://www.espn.com/nfl/player/_/id/3915486/tyler-conklin,s:20~l:28~a:3915486,
Los Angeles Chargers,TE,3,Oronde Gadsden II,https://www.espn.com/nfl/player/_/id/4595342/oronde-gadsden-ii,s:20~l:28~a:4595342,
Los Angeles Chargers,TE,4,Tucker Fisk,https://www.espn.com/nfl/player/_/id/4242558/tucker-fisk,s:20~l:28~a:4242558,
Los Angeles Chargers,FB,1,Scott Matlock,https://www.espn.com/nfl/player/_/id/4373684/scott-matlock,s:20~l:28~a:4373684,
Los Angeles Chargers,FB,2,,,,Empty Slot
Los Angeles Chargers,FB,3,,,,Empty Slot
Los Angeles Chargers,FB,4,,,,Empty Slot
Los Angeles Chargers,LT,1,Rashawn Slater,https://www.espn.com/nfl/player/_/id/4242283/rashawn-slater,s:20~l:28~a:4242283,
Los Angeles Chargers,LT,2,Branson Taylor,https://www.espn.com/nfl/player/_/id/4433914/branson-taylor,s:20~l:28~a:4433914,
Los Angeles Chargers,LT,3,Corey Stewart,https://www.espn.com/nfl/player/_/id/4606672/corey-stewart,s:20~l:28~a:4606672,
Los Angeles Chargers,LT,4,,,,Empty Slot
Los Angeles Chargers,LG,1,Bradley Bozeman,https://www.espn.com/nfl/player/_/id/3054842/bradley-bozeman,s:20~l:28~a:3054842,
Los Angeles Chargers,LG,2,Karsen Barnhart,https://www.espn.com/nfl/player/_/id/4426638/karsen-barnhart,s:20~l:28~a:4426638,
Los Angeles Chargers,LG,3,Nash Jones,https://www.espn.com/nfl/player/_/id/4688371/nash-jones,s:20~l:28~a:4688371,
Los Angeles Chargers,LG,4,,,,Empty Slot
Los Angeles Chargers,C,1,Zion Johnson,https://www.espn.com/nfl/player/_/id/4247347/zion-johnson,s:20~l:28~a:4247347,
Los Angeles Chargers,C,2,Andre James,https://www.espn.com/nfl/player/_/id/3932244/andre-james,s:20~l:28~a:3932244,
Los Angeles Chargers,C,3,Josh Kaltenberger,https://www.espn.com/nfl/player/_/id/4430114/josh-kaltenberger,s:20~l:28~a:4430114,
Los Angeles Chargers,C,4,,,,Empty Slot
Los Angeles Chargers,RG,1,Mekhi Becton,https://www.espn.com/nfl/player/_/id/4240090/mekhi-becton,s:20~l:28~a:4240090,
Los Angeles Chargers,RG,2,Jamaree Salyer,https://www.espn.com/nfl/player/_/id/4379412/jamaree-salyer,s:20~l:28~a:4379412,
Los Angeles Chargers,RG,3,,,,Empty Slot
Los Angeles Chargers,RG,4,,,,Empty Slot
Los Angeles Chargers,RT,1,Joe Alt,https://www.espn.com/nfl/player/_/id/4683487/joe-alt,s:20~l:28~a:4683487,
Los Angeles Chargers,RT,2,Trey Pipkins III,https://www.espn.com/nfl/player/_/id/4411189/trey-pipkins-iii,s:20~l:28~a:4411189,
Los Angeles Chargers,RT,3,Tyler McLellan,https://www.espn.com/nfl/player/_/id/4247248/tyler-mclellan,s:20~l:28~a:4247248,
Los Angeles Chargers,RT,4,Savion Washington,https://www.espn.com/nfl/player/_/id/4565320/savion-washington,s:20~l:28~a:4565320,
