TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Los Angeles Chargers,PK,1,Cameron Dicker,https://www.espn.com/nfl/player/_/id/4362081/cameron-dicker,s:20~l:28~a:4362081,
Los Angeles Chargers,PK,2,,,,Empty Slot
Los Angeles Chargers,PK,3,,,,Empty Slot
Los Angeles Chargers,PK,4,,,,Empty Slot
Los Angeles Chargers,P,1,JK Scott,https://www.espn.com/nfl/player/_/id/3126368/jk-scott,s:20~l:28~a:3126368,
Los Angeles Chargers,P,2,,,,Empty Slot
Los Angeles Chargers,P,3,,,,Empty Slot
Los Angeles Chargers,P,4,,,,Empty Slot
Los Angeles Chargers,H,1,JK Scott,https://www.espn.com/nfl/player/_/id/3126368/jk-scott,s:20~l:28~a:3126368,
Los Angeles Chargers,H,2,,,,Empty Slot
Los Angeles Chargers,H,3,,,,Empty Slot
Los Angeles Chargers,H,4,,,,Empty Slot
Los Angeles Chargers,PR,1,Derius Davis,https://www.espn.com/nfl/player/_/id/4362477/derius-davis,s:20~l:28~a:4362477,
Los Angeles Chargers,PR,2,Ladd McConkey,https://www.espn.com/nfl/player/_/id/4612826/ladd-mcconkey,s:20~l:28~a:4612826,
Los Angeles Chargers,PR,3,Jalen Reagor,https://www.espn.com/nfl/player/_/id/4241802/jalen-reagor,s:20~l:28~a:4241802,
Los Angeles Chargers,PR,4,,,,Empty Slot
Los Angeles Chargers,KR,1,Derius Davis,https://www.espn.com/nfl/player/_/id/4362477/derius-davis,s:20~l:28~a:4362477,
Los Angeles Chargers,KR,2,Hassan Haskins,https://www.espn.com/nfl/player/_/id/4372071/hassan-haskins,s:20~l:28~a:4372071,
Los Angeles Chargers,KR,3,Jalen Reagor,https://www.espn.com/nfl/player/_/id/4241802/jalen-reagor,s:20~l:28~a:4241802,
Los Angeles Chargers,KR,4,,,,Empty Slot
Los Angeles Chargers,LS,1,Josh Harris,https://www.espn.com/nfl/player/_/id/15151/josh-harris,s:20~l:28~a:15151,
Los Angeles Chargers,LS,2,,,,Empty Slot
Los Angeles Chargers,LS,3,,,,Empty Slot
Los Angeles Chargers,LS,4,,,,Empty Slot
