TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Los Angeles Rams,LDE,1,Braden Fiske,https://www.espn.com/nfl/player/_/id/4362245/braden-fiske,s:20~l:28~a:4362245,
Los Angeles Rams,LDE,2,Desjuan Johnson,https://www.espn.com/nfl/player/_/id/4362294/desjuan-johnson,s:20~l:28~a:4362294,
Los Angeles Rams,LDE,3,Larrell Murchison,https://www.espn.com/nfl/player/_/id/4240123/larrell-murchison,s:20~l:28~a:4240123,
Los Angeles Rams,LDE,4,,,,Empty Slot
Los Angeles Rams,NT,1,Poona Ford,https://www.espn.com/nfl/player/_/id/3125114/poona-ford,s:20~l:28~a:3125114,
Los Angeles Rams,NT,2,Tyler Davis,https://www.espn.com/nfl/player/_/id/4568217/tyler-davis,s:20~l:28~a:4568217,
Los Angeles Rams,NT,3,Bill Norton,https://www.espn.com/nfl/player/_/id/4426401/bill-norton,s:20~l:28~a:4426401,
Los Angeles Rams,NT,4,Da'Jon Terry,https://www.espn.com/nfl/player/_/id/4428637/dajon-terry,s:20~l:28~a:4428637,
Los Angeles Rams,RDE,1,Kobie Turner,https://www.espn.com/nfl/player/_/id/4250621/kobie-turner,s:20~l:28~a:4250621,
Los Angeles Rams,RDE,2,Ty Hamilton,https://www.espn.com/nfl/player/_/id/4431118/ty-hamilton,s:20~l:28~a:4431118,
Los Angeles Rams,RDE,3,Jack Heflin,https://www.espn.com/nfl/player/_/id/4039485/jack-heflin,s:20~l:28~a:4039485,
Los Angeles Rams,RDE,4,Decarius Hawthorne,https://www.espn.com/nfl/player/_/id/4605861/decarius-hawthorne,s:20~l:28~a:4605861,
Los Angeles Rams,WLB,1,Byron Young,https://www.espn.com/nfl/player/_/id/4875196/byron-young,s:20~l:28~a:4875196,
Los Angeles Rams,WLB,2,Josaiah Stewart,https://www.espn.com/nfl/player/_/id/4682983/josaiah-stewart,s:20~l:28~a:4682983,
Los Angeles Rams,WLB,3,Keir Thomas,https://www.espn.com/nfl/player/_/id/4038843/keir-thomas,s:20~l:28~a:4038843,
Los Angeles Rams,WLB,4,Josh Pearcy,https://www.espn.com/nfl/player/_/id/4428204/josh-pearcy,s:20~l:28~a:4428204,
Los Angeles Rams,LILB,1,Troy Reeder,https://www.espn.com/nfl/player/_/id/3116177/troy-reeder,s:20~l:28~a:3116177,
Los Angeles Rams,LILB,2,Nate Landman,https://www.espn.com/nfl/player/_/id/4243181/nate-landman,s:20~l:28~a:4243181,
Los Angeles Rams,LILB,3,Elias Neal,https://www.espn.com/nfl/player/_/id/4428098/elias-neal,s:20~l:28~a:4428098,
Los Angeles Rams,LILB,4,Shaun Dolac,https://www.espn.com/nfl/player/_/id/4693848/shaun-dolac,s:20~l:28~a:4693848,
Los Angeles Rams,RILB,1,Omar Speights,https://www.espn.com/nfl/player/_/id/4428550/omar-speights,s:20~l:28~a:4428550,
Los Angeles Rams,RILB,2,Chris Paul Jr.,https://www.espn.com/nfl/player/_/id/4602943/chris-paul-jr,s:20~l:28~a:4602943,
Los Angeles Rams,RILB,3,Tony Fields II,https://www.espn.com/nfl/player/_/id/4245655/tony-fields-ii,s:20~l:28~a:4245655,
Los Angeles Rams,RILB,4,,,,Empty Slot
Los Angeles Rams,SLB,1,Jared Verse,https://www.espn.com/nfl/player/_/id/4578085/jared-verse,s:20~l:28~a:4578085,
Los Angeles Rams,SLB,2,Brennan Jackson,https://www.espn.com/nfl/player/_/id/4373471/brennan-jackson,s:20~l:28~a:4373471,
Los Angeles Rams,SLB,3,Nick Hampton,https://www.espn.com/nfl/player/_/id/4360773/nick-hampton,s:20~l:28~a:4360773,
Los Angeles Rams,SLB,4,Jamil Muhammad,https://www.espn.com/nfl/player/_/id/4430211/jamil-muhammad,s:20~l:28~a:4430211,
Los Angeles Rams,LCB,1,Darious Williams,https://www.espn.com/nfl/player/_/id/4239833/darious-williams,s:20~l:28~a:4239833,
Los Angeles Rams,LCB,2,Cobie Durant,https://www.espn.com/nfl/player/_/id/4384549/cobie-durant,s:20~l:28~a:4384549,
Los Angeles Rams,LCB,3,Cam Lampkin,https://www.espn.com/nfl/player/_/id/4427752/cam-lampkin,s:20~l:28~a:4427752,
Los Angeles Rams,LCB,4,A.J. Green III,https://www.espn.com/nfl/player/_/id/4038437/aj-green-iii,s:20~l:28~a:4038437,
Los Angeles Rams,SS,1,Kamren Curl,https://www.espn.com/nfl/player/_/id/4242154/kamren-curl,s:20~l:28~a:4242154,
Los Angeles Rams,SS,2,Jaylen McCollough,https://www.espn.com/nfl/player/_/id/4427120/jaylen-mccollough,s:20~l:28~a:4427120,
Los Angeles Rams,SS,3,Malik Dixon-Williams,https://www.espn.com/nfl/player/_/id/4569006/malik-dixon-williams,s:20~l:28~a:4569006,
Los Angeles Rams,SS,4,,,,Empty Slot
Los Angeles Rams,FS,1,Kamren Kinchens,https://www.espn.com/nfl/player/_/id/4596363/kamren-kinchens,s:20~l:28~a:4596363,
Los Angeles Rams,FS,2,Tanner Ingle,https://www.espn.com/nfl/player/_/id/4361651/tanner-ingle,s:20~l:28~a:4361651,
Los Angeles Rams,FS,3,Nate Valcarcel,https://www.espn.com/nfl/player/_/id/4695781/nate-valcarcel,s:20~l:28~a:4695781,
Los Angeles Rams,FS,4,,,,Empty Slot
Los Angeles Rams,RCB,1,Ahkello Witherspoon,https://www.espn.com/nfl/player/_/id/3122630/ahkello-witherspoon,s:20~l:28~a:3122630,
Los Angeles Rams,RCB,2,Derion Kendrick,https://www.espn.com/nfl/player/_/id/4360307/derion-kendrick,s:20~l:28~a:4360307,Q
Los Angeles Rams,RCB,3,Emmanuel Forbes Jr.,https://www.espn.com/nfl/player/_/id/4429767/emmanuel-forbes-jr,s:20~l:28~a:4429767,
Los Angeles Rams,RCB,4,,,,Empty Slot
Los Angeles Rams,NB,1,Quentin Lake,https://www.espn.com/nfl/player/_/id/4249128/quentin-lake,s:20~l:28~a:4249128,
Los Angeles Rams,NB,2,Josh Wallace,https://www.espn.com/nfl/player/_/id/4572371/josh-wallace,s:20~l:28~a:4572371,
Los Angeles Rams,NB,3,Charles Woods,https://www.espn.com/nfl/player/_/id/4368113/charles-woods,s:20~l:28~a:4368113,
Los Angeles Rams,NB,4,Shaun Jolly,https://www.espn.com/nfl/player/_/id/4241008/shaun-jolly,s:20~l:28~a:4241008,
