TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Los Angeles Rams,QB,1,Matthew Stafford,https://www.espn.com/nfl/player/_/id/12483/matthew-stafford,s:20~l:28~a:12483,
Los Angeles Rams,QB,2,Jimmy Garoppolo,https://www.espn.com/nfl/player/_/id/16760/jimmy-garoppolo,s:20~l:28~a:16760,
Los Angeles Rams,QB,3,Stetson Bennett,https://www.espn.com/nfl/player/_/id/4259553/stetson-bennett,s:20~l:28~a:4259553,
Los Angeles Rams,QB,4,,,,Empty Slot
Los Angeles Rams,RB,1,Kyren Williams,https://www.espn.com/nfl/player/_/id/4430737/kyren-williams,s:20~l:28~a:4430737,
Los Angeles Rams,RB,2,Blake Corum,https://www.espn.com/nfl/player/_/id/4429096/blake-corum,s:20~l:28~a:4429096,
Los Angeles Rams,RB,3,Jarquez Hunter,https://www.espn.com/nfl/player/_/id/4710341/jarquez-hunter,s:20~l:28~a:4710341,
Los Angeles Rams,RB,4,Ronnie Rivers,https://www.espn.com/nfl/player/_/id/4243003/ronnie-rivers,s:20~l:28~a:4243003,
Los Angeles Rams,WR,1,Puka Nacua,https://www.espn.com/nfl/player/_/id/4426515/puka-nacua,s:20~l:28~a:4426515,
Los Angeles Rams,WR,2,Jordan Whittington,https://www.espn.com/nfl/player/_/id/4569382/jordan-whittington,s:20~l:28~a:4569382,
Los Angeles Rams,WR,3,Britain Covey,https://www.espn.com/nfl/player/_/id/3926231/britain-covey,s:20~l:28~a:3926231,
Los Angeles Rams,WR,4,Brennan Presley,https://www.espn.com/nfl/player/_/id/4431342/brennan-presley,s:20~l:28~a:4431342,
Los Angeles Rams,WR,1,Davante Adams,https://www.espn.com/nfl/player/_/id/16800/davante-adams,s:20~l:28~a:16800,
Los Angeles Rams,WR,2,Konata Mumpfield,https://www.espn.com/nfl/player/_/id/4710855/konata-mumpfield,s:20~l:28~a:4710855,
Los Angeles Rams,WR,3,Quintez Cephus,https://www.espn.com/nfl/player/_/id/4035793/quintez-cephus,s:20~l:28~a:4035793,
Los Angeles Rams,WR,4,Mario Williams,https://www.espn.com/nfl/player/_/id/4431618/mario-williams,s:20~l:28~a:4431618,
Los Angeles Rams,WR,1,Tutu Atwell,https://www.espn.com/nfl/player/_/id/4360797/tutu-atwell,s:20~l:28~a:4360797,
Los Angeles Rams,WR,2,Xavier Smith,https://www.espn.com/nfl/player/_/id/4386544/xavier-smith,s:20~l:28~a:4386544,
Los Angeles Rams,WR,3,Tru Edwards,https://www.espn.com/nfl/player/_/id/4875786/tru-edwards,s:20~l:28~a:4875786,
Los Angeles Rams,WR,4,Drake Stoops,https://www.espn.com/nfl/player/_/id/4360282/drake-stoops,s:20~l:28~a:4360282,SUSP
Los Angeles Rams,TE,1,Tyler Higbee,https://www.espn.com/nfl/player/_/id/2573401/tyler-higbee,s:20~l:28~a:2573401,
Los Angeles Rams,TE,2,Terrance Ferguson,https://www.espn.com/nfl/player/_/id/4570037/terrance-ferguson,s:20~l:28~a:4570037,
Los Angeles Rams,TE,3,Colby Parkinson,https://www.espn.com/nfl/player/_/id/4242557/colby-parkinson,s:20~l:28~a:4242557,
Los Angeles Rams,TE,4,Davis Allen,https://www.espn.com/nfl/player/_/id/4426553/davis-allen,s:20~l:28~a:4426553,
Los Angeles Rams,LT,1,Alaric Jackson,https://www.espn.com/nfl/player/_/id/4036135/alaric-jackson,s:20~l:28~a:4036135,
