TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Los Angeles Rams,PK,1,Joshua Karty,https://www.espn.com/nfl/player/_/id/4566192/joshua-karty,s:20~l:28~a:4566192,
Los Angeles Rams,PK,2,,,,Empty Slot
Los Angeles Rams,PK,3,,,,Empty Slot
Los Angeles Rams,PK,4,,,,Empty Slot
Los Angeles Rams,P,1,Ethan Evans,https://www.espn.com/nfl/player/_/id/5125875/ethan-evans,s:20~l:28~a:5125875,
Los Angeles Rams,P,2,,,,Empty Slot
Los Angeles Rams,P,3,,,,Empty Slot
Los Angeles Rams,P,4,,,,Empty Slot
Los Angeles Rams,H,1,Ethan Evans,https://www.espn.com/nfl/player/_/id/5125875/ethan-evans,s:20~l:28~a:5125875,
Los Angeles Rams,H,2,,,,Empty Slot
Los Angeles Rams,H,3,,,,Empty Slot
Los Angeles Rams,H,4,,,,Empty Slot
Los Angeles Rams,PR,1,Xavier Smith,https://www.espn.com/nfl/player/_/id/4386544/xavier-smith,s:20~l:28~a:4386544,
Los Angeles Rams,PR,2,Kyren Williams,https://www.espn.com/nfl/player/_/id/4430737/kyren-williams,s:20~l:28~a:4430737,
Los Angeles Rams,PR,3,Britain Covey,https://www.espn.com/nfl/player/_/id/3926231/britain-covey,s:20~l:28~a:3926231,
Los Angeles Rams,PR,4,,,,Empty Slot
Los Angeles Rams,KR,1,Jordan Whittington,https://www.espn.com/nfl/player/_/id/4569382/jordan-whittington,s:20~l:28~a:4569382,
Los Angeles Rams,KR,2,Blake Corum,https://www.espn.com/nfl/player/_/id/4429096/blake-corum,s:20~l:28~a:4429096,
Los Angeles Rams,KR,3,Xavier Smith,https://www.espn.com/nfl/player/_/id/4386544/xavier-smith,s:20~l:28~a:4386544,
Los Angeles Rams,KR,4,,,,Empty Slot
Los Angeles Rams,LS,1,Alex Ward,https://www.espn.com/nfl/player/_/id/4243545/alex-ward,s:20~l:28~a:4243545,
Los Angeles Rams,LS,2,,,,Empty Slot
Los Angeles Rams,LS,3,,,,Empty Slot
Los Angeles Rams,LS,4,,,,Empty Slot
