TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Miami Dolphins,LDE,1,Matt Dickerson,https://www.espn.com/nfl/player/_/id/3134316/matt-dickerson,s:20~l:28~a:3134316,
Miami Dolphins,LDE,2,Matthew Butler,https://www.espn.com/nfl/player/_/id/4242457/matthew-butler,s:20~l:28~a:4242457,
Miami Dolphins,LDE,3,,,,Empty Slot
Miami Dolphins,LDE,4,,,,Empty Slot
Miami Dolphins,NT,1,Kenneth Grant,https://www.espn.com/nfl/player/_/id/4894654/kenneth-grant,s:20~l:28~a:4894654,
Miami Dolphins,NT,2,Benito Jones,https://www.espn.com/nfl/player/_/id/4035299/benito-jones,s:20~l:28~a:4035299,
Miami Dolphins,NT,3,Jordan Phillips,https://www.espn.com/nfl/player/_/id/2577466/jordan-phillips,s:20~l:28~a:2577466,
Miami Dolphins,NT,4,Zeek Biggers,https://www.espn.com/nfl/player/_/id/4683276/zeek-biggers,s:20~l:28~a:4683276,
Miami Dolphins,RDE,1,Zach Sieler,https://www.espn.com/nfl/player/_/id/3057956/zach-sieler,s:20~l:28~a:3057956,
Miami Dolphins,RDE,2,Ben Stille,https://www.espn.com/nfl/player/_/id/4034861/ben-stille,s:20~l:28~a:4034861,
Miami Dolphins,RDE,3,Alex Huntley,https://www.espn.com/nfl/player/_/id/4430877/alex-huntley,s:20~l:28~a:4430877,
Miami Dolphins,RDE,4,,,,Empty Slot
Miami Dolphins,WLB,1,Jaelan Phillips,https://www.espn.com/nfl/player/_/id/4242975/jaelan-phillips,s:20~l:28~a:4242975,Q
Miami Dolphins,WLB,2,Chop Robinson,https://www.espn.com/nfl/player/_/id/4431586/chop-robinson,s:20~l:28~a:4431586,
Miami Dolphins,WLB,3,Mohamed Kamara,https://www.espn.com/nfl/player/_/id/4427677/mohamed-kamara,s:20~l:28~a:4427677,
Miami Dolphins,WLB,4,Derrick McLendon,https://www.espn.com/nfl/player/_/id/4430153/derrick-mclendon,s:20~l:28~a:4430153,
Miami Dolphins,LILB,1,Tyrel Dodson,https://www.espn.com/nfl/player/_/id/4035232/tyrel-dodson,s:20~l:28~a:4035232,
Miami Dolphins,LILB,2,K.J. Britt,https://www.espn.com/nfl/player/_/id/4242521/kj-britt,s:20~l:28~a:4242521,
Miami Dolphins,LILB,3,Channing Tindall,https://www.espn.com/nfl/player/_/id/4379414/channing-tindall,s:20~l:28~a:4379414,
Miami Dolphins,LILB,4,,,,Empty Slot
Miami Dolphins,RILB,1,Jordyn Brooks,https://www.espn.com/nfl/player/_/id/4043130/jordyn-brooks,s:20~l:28~a:4043130,
Miami Dolphins,RILB,2,Willie Gay,https://www.espn.com/nfl/player/_/id/4259804/willie-gay,s:20~l:28~a:4259804,
Miami Dolphins,RILB,3,Dequan Jackson,https://www.espn.com/nfl/player/_/id/4361282/dequan-jackson,s:20~l:28~a:4361282,
Miami Dolphins,RILB,4,Eugene Asante,https://www.espn.com/nfl/player/_/id/4427532/eugene-asante,s:20~l:28~a:4427532,
Miami Dolphins,SLB,1,Bradley Chubb,https://www.espn.com/nfl/player/_/id/3116733/bradley-chubb,s:20~l:28~a:3116733,Q
Miami Dolphins,SLB,2,Quinton Bell,https://www.espn.com/nfl/player/_/id/3933407/quinton-bell,s:20~l:28~a:3933407,
Miami Dolphins,SLB,3,Cameron Goode,https://www.espn.com/nfl/player/_/id/4035857/cameron-goode,s:20~l:28~a:4035857,
Miami Dolphins,SLB,4,Grayson Murphy,https://www.espn.com/nfl/player/_/id/4428077/grayson-murphy,s:20~l:28~a:4428077,
Miami Dolphins,LCB,1,Storm Duck,https://www.espn.com/nfl/player/_/id/4427103/storm-duck,s:20~l:28~a:4427103,
Miami Dolphins,LCB,2,Cam Smith,https://www.espn.com/nfl/player/_/id/4570672/cam-smith,s:20~l:28~a:4570672,
Miami Dolphins,LCB,3,Isaiah Johnson,https://www.espn.com/nfl/player/_/id/4367699/isaiah-johnson,s:20~l:28~a:4367699,
Miami Dolphins,LCB,4,Ethan Robinson,https://www.espn.com/nfl/player/_/id/4876614/ethan-robinson,s:20~l:28~a:4876614,
Miami Dolphins,SS,1,Ifeatu Melifonwu,https://www.espn.com/nfl/player/_/id/4240401/ifeatu-melifonwu,s:20~l:28~a:4240401,
Miami Dolphins,SS,2,Dante Trader Jr.,https://www.espn.com/nfl/player/_/id/4431664/dante-trader-jr,s:20~l:28~a:4431664,
Miami Dolphins,SS,3,Patrick McMorris,https://www.espn.com/nfl/player/_/id/4430158/patrick-mcmorris,s:20~l:28~a:4430158,
Miami Dolphins,SS,4,,,,Empty Slot
Miami Dolphins,FS,1,Ashtyn Davis,https://www.espn.com/nfl/player/_/id/3858271/ashtyn-davis,s:20~l:28~a:3858271,
Miami Dolphins,FS,2,Elijah Campbell,https://www.espn.com/nfl/player/_/id/3932901/elijah-campbell,s:20~l:28~a:3932901,
