TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Minnesota Vikings,PK,1,Will Reichard,https://www.espn.com/nfl/player/_/id/4567104/will-reichard,s:20~l:28~a:4567104,
Minnesota Vikings,PK,2,,,,Empty Slot
Minnesota Vikings,PK,3,,,,Empty Slot
Minnesota Vikings,PK,4,,,,Empty Slot
Minnesota Vikings,P,1,Ryan Wright,https://www.espn.com/nfl/player/_/id/4361823/ryan-wright,s:20~l:28~a:4361823,
Minnesota Vikings,P,2,,,,Empty Slot
Minnesota Vikings,P,3,,,,Empty Slot
Minnesota Vikings,P,4,,,,Empty Slot
Minnesota Vikings,H,1,Ryan Wright,https://www.espn.com/nfl/player/_/id/4361823/ryan-wright,s:20~l:28~a:4361823,
Minnesota Vikings,H,2,,,,Empty Slot
Minnesota Vikings,H,3,,,,Empty Slot
Minnesota Vikings,H,4,,,,Empty Slot
Minnesota Vikings,PR,1,Jalen Nailor,https://www.espn.com/nfl/player/_/id/4382466/jalen-nailor,s:20~l:28~a:4382466,
Minnesota Vikings,PR,2,,,,Empty Slot
Minnesota Vikings,PR,3,,,,Empty Slot
Minnesota Vikings,PR,4,,,,Empty Slot
Minnesota Vikings,KR,1,Ty Chandler,https://www.espn.com/nfl/player/_/id/4242431/ty-chandler,s:20~l:28~a:4242431,
Minnesota Vikings,KR,2,Isaiah Rodgers,https://www.espn.com/nfl/player/_/id/4044540/isaiah-rodgers,s:20~l:28~a:4044540,
Minnesota Vikings,KR,3,,,,Empty Slot
Minnesota Vikings,KR,4,,,,Empty Slot
Minnesota Vikings,LS,1,Andrew DePaola,https://www.espn.com/nfl/player/_/id/15726/andrew-depaola,s:20~l:28~a:15726,
Minnesota Vikings,LS,2,Oscar Chapman,https://www.espn.com/nfl/player/_/id/4695231/oscar-chapman,s:20~l:28~a:4695231,
Minnesota Vikings,LS,3,,,,Empty Slot
Minnesota Vikings,LS,4,,,,Empty Slot
