TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New England Patriots,LDE,1,Milton Williams,https://www.espn.com/nfl/player/_/id/4239699/milton-williams,s:20~l:28~a:4239699,
New England Patriots,LDE,2,Jeremiah Pharms Jr.,https://www.espn.com/nfl/player/_/id/5081728/jeremiah-pharms-jr,s:20~l:28~a:5081728,
New England Patriots,LDE,3,Isaiah Iton,https://www.espn.com/nfl/player/_/id/4570970/isaiah-iton,s:20~l:28~a:4570970,
New England Patriots,LDE,4,Wilfried Pene,https://www.espn.com/nfl/player/_/id/4608753/wilfried-pene,s:20~l:28~a:4608753,
New England Patriots,NT,1,Khyiris Tonga,https://www.espn.com/nfl/player/_/id/4256074/khyiris-tonga,s:20~l:28~a:4256074,
New England Patriots,NT,2,Jaquelin Roy,https://www.espn.com/nfl/player/_/id/4429034/jaquelin-roy,s:20~l:28~a:4429034,Q
New England Patriots,NT,3,,,,Empty Slot
New England Patriots,NT,4,,,,Empty Slot
New England Patriots,RDE,1,Christian Barmore,https://www.espn.com/nfl/player/_/id/4372030/christian-barmore,s:20~l:28~a:4372030,
New England Patriots,RDE,2,Joshua Farmer,https://www.espn.com/nfl/player/_/id/4611993/joshua-farmer,s:20~l:28~a:4611993,
New England Patriots,RDE,3,Jahvaree Ritzie,https://www.espn.com/nfl/player/_/id/4431584/jahvaree-ritzie,s:20~l:28~a:4431584,
New England Patriots,RDE,4,,,,Empty Slot
New England Patriots,WLB,1,Harold Landry III,https://www.espn.com/nfl/player/_/id/3122793/harold-landry-iii,s:20~l:28~a:3122793,
New England Patriots,WLB,2,Keion White,https://www.espn.com/nfl/player/_/id/4243493/keion-white,s:20~l:28~a:4243493,
New England Patriots,WLB,3,Truman Jones,https://www.espn.com/nfl/player/_/id/4367828/truman-jones,s:20~l:28~a:4367828,
New England Patriots,WLB,4,Elijah Ponder,https://www.espn.com/nfl/player/_/id/4688432/elijah-ponder,s:20~l:28~a:4688432,
New England Patriots,LILB,1,Christian Elliss,https://www.espn.com/nfl/player/_/id/4245273/christian-elliss,s:20~l:28~a:4245273,
New England Patriots,LILB,2,Jack Gibbens,https://www.espn.com/nfl/player/_/id/4249739/jack-gibbens,s:20~l:28~a:4249739,
New England Patriots,LILB,3,Cam Riley,https://www.espn.com/nfl/player/_/id/4431360/cam-riley,s:20~l:28~a:4431360,
New England Patriots,LILB,4,,,,Empty Slot
New England Patriots,RILB,1,Robert Spillane,https://www.espn.com/nfl/player/_/id/3129446/robert-spillane,s:20~l:28~a:3129446,
New England Patriots,RILB,2,Jahlani Tavai,https://www.espn.com/nfl/player/_/id/3124587/jahlani-tavai,s:20~l:28~a:3124587,Q
New England Patriots,RILB,3,Monty Rice,https://www.espn.com/nfl/player/_/id/4240692/monty-rice,s:20~l:28~a:4240692,
New England Patriots,RILB,4,,,,Empty Slot
New England Patriots,SLB,1,Anfernee Jennings,https://www.espn.com/nfl/player/_/id/3925350/anfernee-jennings,s:20~l:28~a:3925350,
New England Patriots,SLB,2,K'Lavon Chaisson,https://www.espn.com/nfl/player/_/id/4242205/klavon-chaisson,s:20~l:28~a:4242205,
New England Patriots,SLB,3,Bradyn Swinson,https://www.espn.com/nfl/player/_/id/4431424/bradyn-swinson,s:20~l:28~a:4431424,
New England Patriots,SLB,4,,,,Empty Slot
New England Patriots,LCB,1,Carlton Davis III,https://www.espn.com/nfl/player/_/id/3916923/carlton-davis-iii,s:20~l:28~a:3916923,
New England Patriots,LCB,2,Alex Austin,https://www.espn.com/nfl/player/_/id/4426599/alex-austin,s:20~l:28~a:4426599,
New England Patriots,LCB,3,Kobee Minor,https://www.espn.com/nfl/player/_/id/4566100/kobee-minor,s:20~l:28~a:4566100,
New England Patriots,LCB,4,Miles Battle,https://www.espn.com/nfl/player/_/id/4372413/miles-battle,s:20~l:28~a:4372413,
New England Patriots,SS,1,Kyle Dugger,https://www.espn.com/nfl/player/_/id/4401811/kyle-dugger,s:20~l:28~a:4401811,Q
New England Patriots,SS,2,Jaylinn Hawkins,https://www.espn.com/nfl/player/_/id/3858276/jaylinn-hawkins,s:20~l:28~a:3858276,
New England Patriots,SS,3,Marte Mapu,https://www.espn.com/nfl/player/_/id/4248899/marte-mapu,s:20~l:28~a:4248899,
New England Patriots,SS,4,Brenden Schooler,https://www.espn.com/nfl/player/_/id/4047941/brenden-schooler,s:20~l:28~a:4047941,
New England Patriots,FS,1,Jabrill Peppers,https://www.espn.com/nfl/player/_/id/3115962/jabrill-peppers,s:20~l:28~a:3115962,
New England Patriots,FS,2,Marcus Epps,https://www.espn.com/nfl/player/_/id/3139368/marcus-epps,s:20~l:28~a:3139368,Q
New England Patriots,FS,3,Dell Pettus,https://www.espn.com/nfl/player/_/id/4428232/dell-pettus,s:20~l:28~a:4428232,
New England Patriots,FS,4,Josh Minkins,https://www.espn.com/nfl/player/_/id/4686338/josh-minkins,s:20~l:28~a:4686338,
New England Patriots,RCB,1,Christian Gonzalez,https://www.espn.com/nfl/player/_/id/4686772/christian-gonzalez,s:20~l:28~a:4686772,
New England Patriots,RCB,2,Marcellas Dial Jr.,https://www.espn.com/nfl/player/_/id/4875079/marcellas-dial-jr,s:20~l:28~a:4875079,
New England Patriots,RCB,3,Isaiah Bolden,https://www.espn.com/nfl/player/_/id/4711029/isaiah-bolden,s:20~l:28~a:4711029,
New England Patriots,RCB,4,Brandon Crossley,https://www.espn.com/nfl/player/_/id/4429480/brandon-crossley,s:20~l:28~a:4429480,
New England Patriots,NB,1,Marcus Jones,https://www.espn.com/nfl/player/_/id/4241720/marcus-jones,s:20~l:28~a:4241720,
New England Patriots,NB,2,Craig Woodson,https://www.espn.com/nfl/player/_/id/4428930/craig-woodson,s:20~l:28~a:4428930,
New England Patriots,NB,3,DJ James,https://www.espn.com/nfl/player/_/id/4429891/dj-james,s:20~l:28~a:4429891,
New England Patriots,NB,4,Jordan Polk,https://www.espn.com/nfl/player/_/id/5093928/jordan-polk,s:20~l:28~a:5093928,
