TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New England Patriots,PK,1,Andy Borregales,https://www.espn.com/nfl/player/_/id/4569923/andy-borregales,s:20~l:28~a:4569923,
New England Patriots,PK,2,John Parker Romo,https://www.espn.com/nfl/player/_/id/4051167/john-parker-romo,s:20~l:28~a:4051167,
New England Patriots,PK,3,,,,Empty Slot
New England Patriots,PK,4,,,,Empty Slot
New England Patriots,P,1,Bryce Baringer,https://www.espn.com/nfl/player/_/id/4240545/bryce-baringer,s:20~l:28~a:4240545,
New England Patriots,P,2,,,,Empty Slot
New England Patriots,P,3,,,,Empty Slot
New England Patriots,P,4,,,,Empty Slot
New England Patriots,H,1,Bryce Baringer,https://www.espn.com/nfl/player/_/id/4240545/bryce-baringer,s:20~l:28~a:4240545,
New England Patriots,H,2,,,,Empty Slot
New England Patriots,H,3,,,,Empty Slot
New England Patriots,H,4,,,,Empty Slot
New England Patriots,PR,1,Marcus Jones,https://www.espn.com/nfl/player/_/id/4241720/marcus-jones,s:20~l:28~a:4241720,
New England Patriots,PR,2,,,,Empty Slot
New England Patriots,PR,3,,,,Empty Slot
New England Patriots,PR,4,,,,Empty Slot
New England Patriots,KR,1,Antonio Gibson,https://www.espn.com/nfl/player/_/id/4360294/antonio-gibson,s:20~l:28~a:4360294,
New England Patriots,KR,2,Javon Baker,https://www.espn.com/nfl/player/_/id/4692022/javon-baker,s:20~l:28~a:4692022,
New England Patriots,KR,3,,,,Empty Slot
New England Patriots,KR,4,,,,Empty Slot
New England Patriots,LS,1,Julian Ashby,https://www.espn.com/nfl/player/_/id/4695254/julian-ashby,s:20~l:28~a:4695254,
New England Patriots,LS,2,,,,Empty Slot
New England Patriots,LS,3,,,,Empty Slot
New England Patriots,LS,4,,,,Empty Slot
