TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New Orleans Saints,LDE,1,Cameron Jordan,https://www.espn.com/nfl/player/_/id/13971/cameron-jordan,s:20~l:28~a:13971,
New Orleans Saints,LDE,2,Bryan Bresee,https://www.espn.com/nfl/player/_/id/4428988/bryan-bresee,s:20~l:28~a:4428988,
New Orleans Saints,LDE,3,Omari Thomas,https://www.espn.com/nfl/player/_/id/4429057/omari-thomas,s:20~l:28~a:4429057,
New Orleans Saints,LDE,4,,,,Empty Slot
New Orleans Saints,NT,1,Davon Godchaux,https://www.espn.com/nfl/player/_/id/3115383/davon-godchaux,s:20~l:28~a:3115383,
New Orleans Saints,NT,2,Nathan Shepherd,https://www.espn.com/nfl/player/_/id/4076951/nathan-shepherd,s:20~l:28~a:4076951,
New Orleans Saints,NT,3,,,,Empty Slot
New Orleans Saints,NT,4,,,,Empty Slot
New Orleans Saints,RDE,1,Khalen Saunders,https://www.espn.com/nfl/player/_/id/3121634/khalen-saunders,s:20~l:28~a:3121634,
New Orleans Saints,RDE,2,Vernon Broughton,https://www.espn.com/nfl/player/_/id/4429040/vernon-broughton,s:20~l:28~a:4429040,
New Orleans Saints,RDE,3,John Ridgeway III,https://www.espn.com/nfl/player/_/id/4248047/john-ridgeway-iii,s:20~l:28~a:4248047,
New Orleans Saints,RDE,4,Khristian Boyd,https://www.espn.com/nfl/player/_/id/4384595/khristian-boyd,s:20~l:28~a:4384595,
New Orleans Saints,WLB,1,Carl Granderson,https://www.espn.com/nfl/player/_/id/3918310/carl-granderson,s:20~l:28~a:3918310,
New Orleans Saints,WLB,2,Fadil Diggs,https://www.espn.com/nfl/player/_/id/4429073/fadil-diggs,s:20~l:28~a:4429073,
New Orleans Saints,WLB,3,Jasheen Davis,https://www.espn.com/nfl/player/_/id/4431008/jasheen-davis,s:20~l:28~a:4431008,
New Orleans Saints,WLB,4,,,,Empty Slot
New Orleans Saints,LILB,1,Demario Davis,https://www.espn.com/nfl/player/_/id/14958/demario-davis,s:20~l:28~a:14958,
New Orleans Saints,LILB,2,Danny Stutsman,https://www.espn.com/nfl/player/_/id/4683215/danny-stutsman,s:20~l:28~a:4683215,
New Orleans Saints,LILB,3,D'Marco Jackson,https://www.espn.com/nfl/player/_/id/4241007/dmarco-jackson,s:20~l:28~a:4241007,
New Orleans Saints,LILB,4,Isaiah Stalbird,https://www.espn.com/nfl/player/_/id/4361194/isaiah-stalbird,s:20~l:28~a:4361194,
New Orleans Saints,RILB,1,Pete Werner,https://www.espn.com/nfl/player/_/id/4241993/pete-werner,s:20~l:28~a:4241993,
New Orleans Saints,RILB,2,Jaylan Ford,https://www.espn.com/nfl/player/_/id/4566088/jaylan-ford,s:20~l:28~a:4566088,
New Orleans Saints,RILB,3,Nephi Sewell,https://www.espn.com/nfl/player/_/id/4241611/nephi-sewell,s:20~l:28~a:4241611,
New Orleans Saints,RILB,4,Tyreem Powell,https://www.espn.com/nfl/player/_/id/4431333/tyreem-powell,s:20~l:28~a:4431333,
New Orleans Saints,SLB,1,Chase Young,https://www.espn.com/nfl/player/_/id/4241986/chase-young,s:20~l:28~a:4241986,
New Orleans Saints,SLB,2,Jonah Williams,https://www.espn.com/nfl/player/_/id/4032481/jonah-williams,s:20~l:28~a:4032481,
New Orleans Saints,SLB,3,Isaiah Foskey,https://www.espn.com/nfl/player/_/id/4426457/isaiah-foskey,s:20~l:28~a:4426457,
New Orleans Saints,SLB,4,Chris Rumph II,https://www.espn.com/nfl/player/_/id/4240475/chris-rumph-ii,s:20~l:28~a:4240475,
