TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New Orleans Saints,QB,1,Tyler Shough,https://www.espn.com/nfl/player/_/id/4360689/tyler-shough,s:20~l:28~a:4360689,
New Orleans Saints,QB,2,Spencer Rattler,https://www.espn.com/nfl/player/_/id/4426339/spencer-rattler,s:20~l:28~a:4426339,
New Orleans Saints,QB,3,Jake Haener,https://www.espn.com/nfl/player/_/id/4243322/jake-haener,s:20~l:28~a:4243322,Q
New Orleans Saints,QB,4,Hunter Dekkers,https://www.espn.com/nfl/player/_/id/4565358/hunter-dekkers,s:20~l:28~a:4565358,
New Orleans Saints,RB,1,Alvin Kamara,https://www.espn.com/nfl/player/_/id/3054850/alvin-kamara,s:20~l:28~a:3054850,
New Orleans Saints,RB,2,Kendre Miller,https://www.espn.com/nfl/player/_/id/4599739/kendre-miller,s:20~l:28~a:4599739,
New Orleans Saints,RB,3,Devin Neal,https://www.espn.com/nfl/player/_/id/4682652/devin-neal,s:20~l:28~a:4682652,
New Orleans Saints,RB,4,Clyde Edwards-Helaire,https://www.espn.com/nfl/player/_/id/4242214/clyde-edwards-helaire,s:20~l:28~a:4242214,
New Orleans Saints,WR,1,Chris Olave,https://www.espn.com/nfl/player/_/id/4361370/chris-olave,s:20~l:28~a:4361370,
New Orleans Saints,WR,2,Bub Means,https://www.espn.com/nfl/player/_/id/4427985/bub-means,s:20~l:28~a:4427985,
New Orleans Saints,WR,3,Dante Pettis,https://www.espn.com/nfl/player/_/id/3127306/dante-pettis,s:20~l:28~a:3127306,
New Orleans Saints,WR,4,Moochie Dixon,https://www.espn.com/nfl/player/_/id/4431068/moochie-dixon,s:20~l:28~a:4431068,
New Orleans Saints,WR,1,Rashid Shaheed,https://www.espn.com/nfl/player/_/id/4032473/rashid-shaheed,s:20~l:28~a:4032473,
New Orleans Saints,WR,2,Kevin Austin Jr.,https://www.espn.com/nfl/player/_/id/4372758/kevin-austin-jr,s:20~l:28~a:4372758,
New Orleans Saints,WR,3,Mason Tipton,https://www.espn.com/nfl/player/_/id/4573697/mason-tipton,s:20~l:28~a:4573697,
New Orleans Saints,WR,4,Chris Tyree,https://www.espn.com/nfl/player/_/id/4430804/chris-tyree,s:20~l:28~a:4430804,
New Orleans Saints,WR,1,Brandin Cooks,https://www.espn.com/nfl/player/_/id/16731/brandin-cooks,s:20~l:28~a:16731,
New Orleans Saints,WR,2,Cedrick Wilson Jr.,https://www.espn.com/nfl/player/_/id/4036335/cedrick-wilson-jr,s:20~l:28~a:4036335,
New Orleans Saints,WR,3,Donovan Peoples-Jones,https://www.espn.com/nfl/player/_/id/4258195/donovan-peoples-jones,s:20~l:28~a:4258195,
New Orleans Saints,WR,4,,,,Empty Slot
New Orleans Saints,TE,1,Juwan Johnson,https://www.espn.com/nfl/player/_/id/3929645/juwan-johnson,s:20~l:28~a:3929645,
New Orleans Saints,TE,2,Taysom Hill,https://www.espn.com/nfl/player/_/id/2468609/taysom-hill,s:20~l:28~a:2468609,Q
New Orleans Saints,TE,3,Foster Moreau,https://www.espn.com/nfl/player/_/id/3843945/foster-moreau,s:20~l:28~a:3843945,Q
New Orleans Saints,TE,4,Jack Stoll,https://www.espn.com/nfl/player/_/id/4034862/jack-stoll,s:20~l:28~a:4034862,
New Orleans Saints,LT,1,Kelvin Banks Jr.,https://www.espn.com/nfl/player/_/id/4685260/kelvin-banks-jr,s:20~l:28~a:4685260,
New Orleans Saints,LT,2,,,,Empty Slot
New Orleans Saints,LT,3,,,,Empty Slot
New Orleans Saints,LT,4,,,,Empty Slot
New Orleans Saints,LG,1,Trevor Penning,https://www.espn.com/nfl/player/_/id/4248627/trevor-penning,s:20~l:28~a:4248627,
New Orleans Saints,LG,2,Dillon Radunz,https://www.espn.com/nfl/player/_/id/4040945/dillon-radunz,s:20~l:28~a:4040945,
New Orleans Saints,LG,3,Nick Saldiveri,https://www.espn.com/nfl/player/_/id/4361600/nick-saldiveri,s:20~l:28~a:4361600,
New Orleans Saints,LG,4,Kyle Hergel,https://www.espn.com/nfl/player/_/id/4384683/kyle-hergel,s:20~l:28~a:4384683,
New Orleans Saints,C,1,Erik McCoy,https://www.espn.com/nfl/player/_/id/3917331/erik-mccoy,s:20~l:28~a:3917331,
New Orleans Saints,C,2,Will Clapp,https://www.espn.com/nfl/player/_/id/3115387/will-clapp,s:20~l:28~a:3115387,
New Orleans Saints,C,3,,,,Empty Slot
New Orleans Saints,C,4,,,,Empty Slot
New Orleans Saints,RG,1,Cesar Ruiz,https://www.espn.com/nfl/player/_/id/4258199/cesar-ruiz,s:20~l:28~a:4258199,
New Orleans Saints,RG,2,Landon Young,https://www.espn.com/nfl/player/_/id/4035079/landon-young,s:20~l:28~a:4035079,
New Orleans Saints,RG,3,Torricelli Simpkins III,https://www.espn.com/nfl/player/_/id/4696902/torricelli-simpkins-iii,s:20~l:28~a:4696902,
New Orleans Saints,RG,4,Easton Kilty,https://www.espn.com/nfl/player/_/id/4696488/easton-kilty,s:20~l:28~a:4696488,
New Orleans Saints,RT,1,Taliese Fuaga,https://www.espn.com/nfl/player/_/id/4606711/taliese-fuaga,s:20~l:28~a:4606711,
New Orleans Saints,RT,2,Josh Ball,https://www.espn.com/nfl/player/_/id/4035626/josh-ball,s:20~l:28~a:4035626,
New Orleans Saints,RT,3,Josiah Ezirim,https://www.espn.com/nfl/player/_/id/4570883/josiah-ezirim,s:20~l:28~a:4570883,
New Orleans Saints,RT,4,,,,Empty Slot
