TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New Orleans Saints,PK,1,Blake Grupe,https://www.espn.com/nfl/player/_/id/4259619/blake-grupe,s:20~l:28~a:4259619,
New Orleans Saints,PK,2,Charlie Smyth,https://www.espn.com/nfl/player/_/id/5208518/charlie-smyth,s:20~l:28~a:5208518,
New Orleans Saints,PK,3,,,,Empty Slot
New Orleans Saints,PK,4,,,,Empty Slot
New Orleans Saints,P,1,Matthew Hayball,https://www.espn.com/nfl/player/_/id/4571597/matthew-hayball,s:20~l:28~a:4571597,
New Orleans Saints,P,2,James Burnip,https://www.espn.com/nfl/player/_/id/4880048/james-burnip,s:20~l:28~a:4880048,
New Orleans Saints,P,3,,,,Empty Slot
New Orleans Saints,P,4,,,,Empty Slot
New Orleans Saints,H,1,Matthew Hayball,https://www.espn.com/nfl/player/_/id/4571597/matthew-hayball,s:20~l:28~a:4571597,
New Orleans Saints,H,2,James Burnip,https://www.espn.com/nfl/player/_/id/4880048/james-burnip,s:20~l:28~a:4880048,
New Orleans Saints,H,3,,,,Empty Slot
New Orleans Saints,H,4,,,,Empty Slot
New Orleans Saints,PR,1,Rashid Shaheed,https://www.espn.com/nfl/player/_/id/4032473/rashid-shaheed,s:20~l:28~a:4032473,
New Orleans Saints,PR,2,Velus Jones Jr.,https://www.espn.com/nfl/player/_/id/4035693/velus-jones-jr,s:20~l:28~a:4035693,
New Orleans Saints,PR,3,Dante Pettis,https://www.espn.com/nfl/player/_/id/3127306/dante-pettis,s:20~l:28~a:3127306,
New Orleans Saints,PR,4,,,,Empty Slot
New Orleans Saints,KR,1,Rashid Shaheed,https://www.espn.com/nfl/player/_/id/4032473/rashid-shaheed,s:20~l:28~a:4032473,
New Orleans Saints,KR,2,Velus Jones Jr.,https://www.espn.com/nfl/player/_/id/4035693/velus-jones-jr,s:20~l:28~a:4035693,
New Orleans Saints,KR,3,Kendre Miller,https://www.espn.com/nfl/player/_/id/4599739/kendre-miller,s:20~l:28~a:4599739,
New Orleans Saints,KR,4,Dante Pettis,https://www.espn.com/nfl/player/_/id/3127306/dante-pettis,s:20~l:28~a:3127306,
New Orleans Saints,LS,1,Zach Wood,https://www.espn.com/nfl/player/_/id/2575788/zach-wood,s:20~l:28~a:2575788,
New Orleans Saints,LS,2,,,,Empty Slot
New Orleans Saints,LS,3,,,,Empty Slot
New Orleans Saints,LS,4,,,,Empty Slot
