TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New York Giants,LDE,1,Rakeem Nunez-Roches,https://www.espn.com/nfl/player/_/id/2575453/rakeem-nunez-roches,s:20~l:28~a:2575453,
New York Giants,LDE,2,Jeremiah Ledbetter,https://www.espn.com/nfl/player/_/id/3892689/jeremiah-ledbetter,s:20~l:28~a:3892689,
New York Giants,LDE,3,Elijah Garcia,https://www.espn.com/nfl/player/_/id/4039170/elijah-garcia,s:20~l:28~a:4039170,
New York Giants,LDE,4,,,,Empty Slot
New York Giants,NT,1,Dexter Lawrence II,https://www.espn.com/nfl/player/_/id/4035483/dexter-lawrence-ii,s:20~l:28~a:4035483,
New York Giants,NT,2,D.J. Davidson,https://www.espn.com/nfl/player/_/id/4242899/dj-davidson,s:20~l:28~a:4242899,
New York Giants,NT,3,Jordon Riley,https://www.espn.com/nfl/player/_/id/4240677/jordon-riley,s:20~l:28~a:4240677,
New York Giants,NT,4,Timmy Horne,https://www.espn.com/nfl/player/_/id/4045701/timmy-horne,s:20~l:28~a:4045701,
New York Giants,RDE,1,Roy Robertson-Harris,https://www.espn.com/nfl/player/_/id/2574891/roy-robertson-harris,s:20~l:28~a:2574891,
New York Giants,RDE,2,Darius Alexander,https://www.espn.com/nfl/player/_/id/4426542/darius-alexander,s:20~l:28~a:4426542,Q
New York Giants,RDE,3,Elijah Chatman,https://www.espn.com/nfl/player/_/id/4429392/elijah-chatman,s:20~l:28~a:4429392,
New York Giants,RDE,4,Cory Durden,https://www.espn.com/nfl/player/_/id/4240042/cory-durden,s:20~l:28~a:4240042,
New York Giants,WLB,1,Brian Burns,https://www.espn.com/nfl/player/_/id/4035631/brian-burns,s:20~l:28~a:4035631,
New York Giants,WLB,2,Chauncey Golston,https://www.espn.com/nfl/player/_/id/4036132/chauncey-golston,s:20~l:28~a:4036132,
New York Giants,WLB,3,Victor Dimukeje,https://www.espn.com/nfl/player/_/id/4240464/victor-dimukeje,s:20~l:28~a:4240464,Q
New York Giants,WLB,4,Trace Ford,https://www.espn.com/nfl/player/_/id/4427207/trace-ford,s:20~l:28~a:4427207,
New York Giants,LILB,1,Bobby Okereke,https://www.espn.com/nfl/player/_/id/3117253/bobby-okereke,s:20~l:28~a:3117253,
New York Giants,LILB,2,Darius Muasau,https://www.espn.com/nfl/player/_/id/4428072/darius-muasau,s:20~l:28~a:4428072,
New York Giants,LILB,3,Demetrius Flannigan-Fowles,https://www.espn.com/nfl/player/_/id/3931424/demetrius-flannigan-fowles,s:20~l:28~a:3931424,
New York Giants,LILB,4,,,,Empty Slot
New York Giants,RILB,1,Micah McFadden,https://www.espn.com/nfl/player/_/id/4371961/micah-mcfadden,s:20~l:28~a:4371961,
New York Giants,RILB,2,Chris Board,https://www.espn.com/nfl/player/_/id/3060403/chris-board,s:20~l:28~a:3060403,
New York Giants,RILB,3,Ty Summers,https://www.espn.com/nfl/player/_/id/3116431/ty-summers,s:20~l:28~a:3116431,
New York Giants,RILB,4,Dyontae Johnson,https://www.espn.com/nfl/player/_/id/4362280/dyontae-johnson,s:20~l:28~a:4362280,
New York Giants,SLB,1,Abdul Carter,https://www.espn.com/nfl/player/_/id/4725996/abdul-carter,s:20~l:28~a:4725996,
New York Giants,SLB,2,Kayvon Thibodeaux,https://www.espn.com/nfl/player/_/id/4426326/kayvon-thibodeaux,s:20~l:28~a:4426326,
New York Giants,SLB,3,Tomon Fox,https://www.espn.com/nfl/player/_/id/4037520/tomon-fox,s:20~l:28~a:4037520,
New York Giants,SLB,4,,,,Empty Slot
New York Giants,LCB,1,Paulson Adebo,https://www.espn.com/nfl/player/_/id/4242547/paulson-adebo,s:20~l:28~a:4242547,
New York Giants,LCB,2,Cor'Dale Flott,https://www.espn.com/nfl/player/_/id/4429607/cordale-flott,s:20~l:28~a:4429607,
New York Giants,LCB,3,Tre Hawkins III,https://www.espn.com/nfl/player/_/id/4686553/tre-hawkins-iii,s:20~l:28~a:4686553,
New York Giants,LCB,4,Nic Jones,https://www.espn.com/nfl/player/_/id/4427636/nic-jones,s:20~l:28~a:4427636,
New York Giants,SS,1,Tyler Nubin,https://www.espn.com/nfl/player/_/id/4430261/tyler-nubin,s:20~l:28~a:4430261,
New York Giants,SS,2,Dane Belton,https://www.espn.com/nfl/player/_/id/4426686/dane-belton,s:20~l:28~a:4426686,
New York Giants,SS,3,,,,Empty Slot
New York Giants,SS,4,,,,Empty Slot
New York Giants,FS,1,Jevon Holland,https://www.espn.com/nfl/player/_/id/4373809/jevon-holland,s:20~l:28~a:4373809,
New York Giants,FS,2,Anthony Johnson Jr.,https://www.espn.com/nfl/player/_/id/4361748/anthony-johnson-jr,s:20~l:28~a:4361748,
New York Giants,FS,3,Raheem Layne,https://www.espn.com/nfl/player/_/id/4258237/raheem-layne,s:20~l:28~a:4258237,
New York Giants,FS,4,Makari Paige,https://www.espn.com/nfl/player/_/id/4429139/makari-paige,s:20~l:28~a:4429139,
New York Giants,RCB,1,Deonte Banks,https://www.espn.com/nfl/player/_/id/4428328/deonte-banks,s:20~l:28~a:4428328,
New York Giants,RCB,2,Korie Black,https://www.espn.com/nfl/player/_/id/4429281/korie-black,s:20~l:28~a:4429281,
New York Giants,RCB,3,Art Green,https://www.espn.com/nfl/player/_/id/4689674/art-green,s:20~l:28~a:4689674,
New York Giants,RCB,4,Dee Williams,https://www.espn.com/nfl/player/_/id/5081362/dee-williams,s:20~l:28~a:5081362,
New York Giants,NB,1,Dru Phillips,https://www.espn.com/nfl/player/_/id/4431321/dru-phillips,s:20~l:28~a:4431321,
New York Giants,NB,2,,,,Empty Slot
New York Giants,NB,3,,,,Empty Slot
New York Giants,NB,4,,,,Empty Slot
