TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New York Giants,QB,1,Russell Wilson,https://www.espn.com/nfl/player/_/id/14881/russell-wilson,s:20~l:28~a:14881,
New York Giants,QB,2,Jameis Winston,https://www.espn.com/nfl/player/_/id/2969939/jameis-winston,s:20~l:28~a:2969939,
New York Giants,QB,3,Jaxson Dart,https://www.espn.com/nfl/player/_/id/4689114/jaxson-dart,s:20~l:28~a:4689114,
New York Giants,QB,4,Tommy DeVito,https://www.espn.com/nfl/player/_/id/4240391/tommy-devito,s:20~l:28~a:4240391,
New York Giants,RB,1,Tyrone Tracy Jr.,https://www.espn.com/nfl/player/_/id/4360516/tyrone-tracy-jr,s:20~l:28~a:4360516,
New York Giants,RB,2,Devin Singletary,https://www.espn.com/nfl/player/_/id/4040761/devin-singletary,s:20~l:28~a:4040761,
New York Giants,RB,3,Cam Skattebo,https://www.espn.com/nfl/player/_/id/4696981/cam-skattebo,s:20~l:28~a:4696981,
New York Giants,RB,4,Eric Gray,https://www.espn.com/nfl/player/_/id/4570561/eric-gray,s:20~l:28~a:4570561,
New York Giants,WR,1,Malik Nabers,https://www.espn.com/nfl/player/_/id/4595348/malik-nabers,s:20~l:28~a:4595348,Q
New York Giants,WR,2,Jalin Hyatt,https://www.espn.com/nfl/player/_/id/4692590/jalin-hyatt,s:20~l:28~a:4692590,
New York Giants,WR,3,Ihmir Smith-Marsette,https://www.espn.com/nfl/player/_/id/4240573/ihmir-smith-marsette,s:20~l:28~a:4240573,
New York Giants,WR,4,Da'Quan Felton,https://www.espn.com/nfl/player/_/id/4575348/daquan-felton,s:20~l:28~a:4575348,
New York Giants,WR,1,Wan'Dale Robinson,https://www.espn.com/nfl/player/_/id/4569587/wandale-robinson,s:20~l:28~a:4569587,
New York Giants,WR,2,Lil'Jordan Humphrey,https://www.espn.com/nfl/player/_/id/4039057/liljordan-humphrey,s:20~l:28~a:4039057,
New York Giants,WR,3,Bryce Ford-Wheaton,https://www.espn.com/nfl/player/_/id/4362227/bryce-ford-wheaton,s:20~l:28~a:4362227,
New York Giants,WR,4,Beaux Collins,https://www.espn.com/nfl/player/_/id/4431210/beaux-collins,s:20~l:28~a:4431210,
New York Giants,WR,1,Darius Slayton,https://www.espn.com/nfl/player/_/id/3916945/darius-slayton,s:20~l:28~a:3916945,
New York Giants,WR,2,Zach Pascal,https://www.espn.com/nfl/player/_/id/2978109/zach-pascal,s:20~l:28~a:2978109,
New York Giants,WR,3,Montrell Washington,https://www.espn.com/nfl/player/_/id/4248822/montrell-washington,s:20~l:28~a:4248822,
New York Giants,WR,4,Antwane Wells Jr.,https://www.espn.com/nfl/player/_/id/4696062/antwane-wells-jr,s:20~l:28~a:4696062,
New York Giants,TE,1,Theo Johnson,https://www.espn.com/nfl/player/_/id/4429148/theo-johnson,s:20~l:28~a:4429148,
New York Giants,TE,2,Daniel Bellinger,https://www.espn.com/nfl/player/_/id/4361516/daniel-bellinger,s:20~l:28~a:4361516,
New York Giants,TE,3,Chris Manhertz,https://www.espn.com/nfl/player/_/id/2531358/chris-manhertz,s:20~l:28~a:2531358,
New York Giants,TE,4,Greg Dulcich,https://www.espn.com/nfl/player/_/id/4367209/greg-dulcich,s:20~l:28~a:4367209,
New York Giants,LT,1,Andrew Thomas,https://www.espn.com/nfl/player/_/id/4259566/andrew-thomas,s:20~l:28~a:4259566,
New York Giants,LT,2,Joshua Ezeudu,https://www.espn.com/nfl/player/_/id/4373280/joshua-ezeudu,s:20~l:28~a:4373280,
New York Giants,LT,3,James Hudson III,https://www.espn.com/nfl/player/_/id/4258181/james-hudson-iii,s:20~l:28~a:4258181,
New York Giants,LT,4,Jaison Williams,https://www.espn.com/nfl/player/_/id/4430738/jaison-williams,s:20~l:28~a:4430738,
New York Giants,LG,1,Jon Runyan,https://www.espn.com/nfl/player/_/id/3929936/jon-runyan,s:20~l:28~a:3929936,
New York Giants,LG,2,Evan Neal,https://www.espn.com/nfl/player/_/id/4567134/evan-neal,s:20~l:28~a:4567134,
New York Giants,LG,3,Aaron Stinnie,https://www.espn.com/nfl/player/_/id/3049339/aaron-stinnie,s:20~l:28~a:3049339,
New York Giants,LG,4,,,,Empty Slot
New York Giants,C,1,John Michael Schmitz Jr.,https://www.espn.com/nfl/player/_/id/4240771/john-michael-schmitz-jr,s:20~l:28~a:4240771,
New York Giants,C,2,Austin Schlottmann,https://www.espn.com/nfl/player/_/id/4038544/austin-schlottmann,s:20~l:28~a:4038544,
New York Giants,C,3,Jimmy Morrissey,https://www.espn.com/nfl/player/_/id/4046165/jimmy-morrissey,s:20~l:28~a:4046165,
New York Giants,C,4,Bryan Hudson,https://www.espn.com/nfl/player/_/id/4426489/bryan-hudson,s:20~l:28~a:4426489,
New York Giants,RG,1,Greg Van Roten,https://www.espn.com/nfl/player/_/id/15718/greg-van-roten,s:20~l:28~a:15718,
New York Giants,RG,2,Marcus Mbow,https://www.espn.com/nfl/player/_/id/4686362/marcus-mbow,s:20~l:28~a:4686362,
New York Giants,RG,3,Jake Kubas,https://www.espn.com/nfl/player/_/id/4383405/jake-kubas,s:20~l:28~a:4383405,
New York Giants,RG,4,,,,Empty Slot
New York Giants,RT,1,Jermaine Eluemunor,https://www.espn.com/nfl/player/_/id/3115303/jermaine-eluemunor,s:20~l:28~a:3115303,
New York Giants,RT,2,Stone Forsythe,https://www.espn.com/nfl/player/_/id/4034962/stone-forsythe,s:20~l:28~a:4034962,
New York Giants,RT,3,,,,Empty Slot
New York Giants,RT,4,,,,Empty Slot
