TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New York Jets,QB,1,Justin Fields,https://www.espn.com/nfl/player/_/id/4362887/justin-fields,s:20~l:28~a:4362887,
New York Jets,QB,2,Tyrod Taylor,https://www.espn.com/nfl/player/_/id/14163/tyrod-taylor,s:20~l:28~a:14163,
New York Jets,QB,3,Adrian Martinez,https://www.espn.com/nfl/player/_/id/4361182/adrian-martinez,s:20~l:28~a:4361182,
New York Jets,QB,4,Brady Cook,https://www.espn.com/nfl/player/_/id/4429435/brady-cook,s:20~l:28~a:4429435,
New York Jets,RB,1,Breece Hall,https://www.espn.com/nfl/player/_/id/4427366/breece-hall,s:20~l:28~a:4427366,
New York Jets,RB,2,Braelon Allen,https://www.espn.com/nfl/player/_/id/4685247/braelon-allen,s:20~l:28~a:4685247,
New York Jets,RB,3,Isaiah Davis,https://www.espn.com/nfl/player/_/id/4695404/isaiah-davis,s:20~l:28~a:4695404,
New York Jets,RB,4,Kene Nwangwu,https://www.espn.com/nfl/player/_/id/4035537/kene-nwangwu,s:20~l:28~a:4035537,
New York Jets,WR,1,Garrett Wilson,https://www.espn.com/nfl/player/_/id/4569618/garrett-wilson,s:20~l:28~a:4569618,
New York Jets,WR,2,Malachi Corley,https://www.espn.com/nfl/player/_/id/4613104/malachi-corley,s:20~l:28~a:4613104,Q
New York Jets,WR,3,Xavier Gipson,https://www.espn.com/nfl/player/_/id/4427278/xavier-gipson,s:20~l:28~a:4427278,
New York Jets,WR,4,Pokey Wilson,https://www.espn.com/nfl/player/_/id/4240033/pokey-wilson,s:20~l:28~a:4240033,
New York Jets,WR,1,Allen Lazard,https://www.espn.com/nfl/player/_/id/3128390/allen-lazard,s:20~l:28~a:3128390,
New York Jets,WR,2,Arian Smith,https://www.espn.com/nfl/player/_/id/4429105/arian-smith,s:20~l:28~a:4429105,
New York Jets,WR,3,Irvin Charles,https://www.espn.com/nfl/player/_/id/3929636/irvin-charles,s:20~l:28~a:3929636,Q
New York Jets,WR,4,Dymere Miller,https://www.espn.com/nfl/player/_/id/4775266/dymere-miller,s:20~l:28~a:4775266,
New York Jets,WR,1,Josh Reynolds,https://www.espn.com/nfl/player/_/id/3115306/josh-reynolds,s:20~l:28~a:3115306,
New York Jets,WR,2,Tyler Johnson,https://www.espn.com/nfl/player/_/id/2310331/tyler-johnson,s:20~l:28~a:2310331,
New York Jets,WR,3,Brandon Smith,https://www.espn.com/nfl/player/_/id/4240577/brandon-smith,s:20~l:28~a:4240577,
New York Jets,WR,4,Jamaal Pritchett,https://www.espn.com/nfl/player/_/id/4892576/jamaal-pritchett,s:20~l:28~a:4892576,
New York Jets,TE,1,Mason Taylor,https://www.espn.com/nfl/player/_/id/4808766/mason-taylor,s:20~l:28~a:4808766,
New York Jets,TE,2,Jeremy Ruckert,https://www.espn.com/nfl/player/_/id/4361372/jeremy-ruckert,s:20~l:28~a:4361372,
New York Jets,TE,3,Stone Smartt,https://www.espn.com/nfl/player/_/id/4250764/stone-smartt,s:20~l:28~a:4250764,
New York Jets,TE,4,Zack Kuntz,https://www.espn.com/nfl/player/_/id/4361417/zack-kuntz,s:20~l:28~a:4361417,
New York Jets,FB,1,Andrew Beck,https://www.espn.com/nfl/player/_/id/3125107/andrew-beck,s:20~l:28~a:3125107,
New York Jets,FB,2,,,,Empty Slot
New York Jets,FB,3,,,,Empty Slot
New York Jets,FB,4,,,,Empty Slot
New York Jets,LT,1,Olu Fashanu,https://www.espn.com/nfl/player/_/id/4431809/olu-fashanu,s:20~l:28~a:4431809,
New York Jets,LT,2,Carter Warren,https://www.espn.com/nfl/player/_/id/4240723/carter-warren,s:20~l:28~a:4240723,
New York Jets,LT,3,Obinna Eze,https://www.espn.com/nfl/player/_/id/4243386/obinna-eze,s:20~l:28~a:4243386,
New York Jets,LT,4,,,,Empty Slot
New York Jets,LG,1,John Simpson,https://www.espn.com/nfl/player/_/id/4035479/john-simpson,s:20~l:28~a:4035479,
New York Jets,LG,2,Xavier Newman,https://www.espn.com/nfl/player/_/id/4259186/xavier-newman,s:20~l:28~a:4259186,
New York Jets,LG,3,Kohl Levao,https://www.espn.com/nfl/player/_/id/4373951/kohl-levao,s:20~l:28~a:4373951,
New York Jets,LG,4,,,,Empty Slot
New York Jets,C,1,Joe Tippmann,https://www.espn.com/nfl/player/_/id/4428681/joe-tippmann,s:20~l:28~a:4428681,
New York Jets,C,2,Josh Myers,https://www.espn.com/nfl/player/_/id/4242000/josh-myers,s:20~l:28~a:4242000,
New York Jets,C,3,Gus Hartwig,https://www.espn.com/nfl/player/_/id/4432237/gus-hartwig,s:20~l:28~a:4432237,
New York Jets,C,4,,,,Empty Slot
New York Jets,RG,1,Alijah Vera-Tucker,https://www.espn.com/nfl/player/_/id/4259646/alijah-vera-tucker,s:20~l:28~a:4259646,
New York Jets,RG,2,Max Mitchell,https://www.espn.com/nfl/player/_/id/4373656/max-mitchell,s:20~l:28~a:4373656,
New York Jets,RG,3,Leander Wiegand,https://www.espn.com/nfl/player/_/id/4705711/leander-wiegand,s:20~l:28~a:4705711,
New York Jets,RG,4,,,,Empty Slot
New York Jets,RT,1,Armand Membou,https://www.espn.com/nfl/player/_/id/4789907/armand-membou,s:20~l:28~a:4789907,
New York Jets,RT,2,Chukwuma Okorafor,https://www.espn.com/nfl/player/_/id/3129473/chukwuma-okorafor,s:20~l:28~a:3129473,
New York Jets,RT,3,Zack Bailey,https://www.espn.com/nfl/player/_/id/3924352/zack-bailey,s:20~l:28~a:3924352,
New York Jets,RT,4,,,,Empty Slot
