TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
New York Jets,PK,1,Anders Carlson,https://www.espn.com/nfl/player/_/id/4242519/anders-carlson,s:20~l:28~a:4242519,
New York Jets,PK,2,Caden Davis,https://www.espn.com/nfl/player/_/id/4570688/caden-davis,s:20~l:28~a:4570688,
New York Jets,PK,3,,,,Empty Slot
New York Jets,PK,4,,,,Empty Slot
New York Jets,P,1,Austin McNamara,https://www.espn.com/nfl/player/_/id/4427982/austin-mcnamara,s:20~l:28~a:4427982,
New York Jets,P,2,Kai Kroeger,https://www.espn.com/nfl/player/_/id/4570033/kai-kroeger,s:20~l:28~a:4570033,
New York Jets,P,3,,,,Empty Slot
New York Jets,P,4,,,,Empty Slot
New York Jets,H,1,Austin McNamara,https://www.espn.com/nfl/player/_/id/4427982/austin-mcnamara,s:20~l:28~a:4427982,
New York Jets,H,2,Kai Kroeger,https://www.espn.com/nfl/player/_/id/4570033/kai-kroeger,s:20~l:28~a:4570033,
New York Jets,H,3,,,,Empty Slot
New York Jets,H,4,,,,Empty Slot
New York Jets,PR,1,Xavier Gipson,https://www.espn.com/nfl/player/_/id/4427278/xavier-gipson,s:20~l:28~a:4427278,
New York Jets,PR,2,Isaiah Davis,https://www.espn.com/nfl/player/_/id/4695404/isaiah-davis,s:20~l:28~a:4695404,
New York Jets,PR,3,Kene Nwangwu,https://www.espn.com/nfl/player/_/id/4035537/kene-nwangwu,s:20~l:28~a:4035537,
New York Jets,PR,4,,,,Empty Slot
New York Jets,KR,1,Xavier Gipson,https://www.espn.com/nfl/player/_/id/4427278/xavier-gipson,s:20~l:28~a:4427278,
New York Jets,KR,2,Isaiah Davis,https://www.espn.com/nfl/player/_/id/4695404/isaiah-davis,s:20~l:28~a:4695404,
New York Jets,KR,3,Kene Nwangwu,https://www.espn.com/nfl/player/_/id/4035537/kene-nwangwu,s:20~l:28~a:4035537,
New York Jets,KR,4,,,,Empty Slot
New York Jets,LS,1,Thomas Hennessy,https://www.espn.com/nfl/player/_/id/2983155/thomas-hennessy,s:20~l:28~a:2983155,
New York Jets,LS,2,,,,Empty Slot
New York Jets,LS,3,,,,Empty Slot
New York Jets,LS,4,,,,Empty Slot
