TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Philadelphia Eagles,LDE,1,Moro Ojomo,https://www.espn.com/nfl/player/_/id/4362116/moro-ojomo,s:20~l:28~a:4362116,
Philadelphia Eagles,LDE,2,Ty Robinson,https://www.espn.com/nfl/player/_/id/4569586/ty-robinson,s:20~l:28~a:4569586,
Philadelphia Eagles,LDE,3,,,,Empty Slot
Philadelphia Eagles,LDE,4,,,,Empty Slot
Philadelphia Eagles,NT,1,Jordan Davis,https://www.espn.com/nfl/player/_/id/3043133/jordan-davis,s:20~l:28~a:3043133,
Philadelphia Eagles,NT,2,Thomas Booker IV,https://www.espn.com/nfl/player/_/id/4360749/thomas-booker-iv,s:20~l:28~a:4360749,
Philadelphia Eagles,NT,3,,,,Empty Slot
Philadelphia Eagles,NT,4,,,,Empty Slot
Philadelphia Eagles,RDE,1,Jalen Carter,https://www.espn.com/nfl/player/_/id/4685759/jalen-carter,s:20~l:28~a:4685759,
Philadelphia Eagles,RDE,2,Byron Young,https://www.espn.com/nfl/player/_/id/4567123/byron-young,s:20~l:28~a:4567123,
Philadelphia Eagles,RDE,3,Gabe Hall,https://www.espn.com/nfl/player/_/id/4429731/gabe-hall,s:20~l:28~a:4429731,
Philadelphia Eagles,RDE,4,,,,Empty Slot
Philadelphia Eagles,WLB,1,Nolan Smith Jr.,https://www.espn.com/nfl/player/_/id/4426331/nolan-smith-jr,s:20~l:28~a:4426331,Q
Philadelphia Eagles,WLB,2,Joshua Uche,https://www.espn.com/nfl/player/_/id/4046528/joshua-uche,s:20~l:28~a:4046528,
Philadelphia Eagles,WLB,3,Patrick Johnson,https://www.espn.com/nfl/player/_/id/4243916/patrick-johnson,s:20~l:28~a:4243916,
Philadelphia Eagles,WLB,4,Ochaun Mathis,https://www.espn.com/nfl/player/_/id/4362486/ochaun-mathis,s:20~l:28~a:4362486,
Philadelphia Eagles,LILB,1,Zack Baun,https://www.espn.com/nfl/player/_/id/3917657/zack-baun,s:20~l:28~a:3917657,
Philadelphia Eagles,LILB,2,Jeremiah Trotter Jr.,https://www.espn.com/nfl/player/_/id/4432777/jeremiah-trotter-jr,s:20~l:28~a:4432777,
Philadelphia Eagles,LILB,3,Smael Mondon Jr.,https://www.espn.com/nfl/player/_/id/4431573/smael-mondon-jr,s:20~l:28~a:4431573,
Philadelphia Eagles,LILB,4,Lance Dixon,https://www.espn.com/nfl/player/_/id/4427079/lance-dixon,s:20~l:28~a:4427079,
Philadelphia Eagles,RILB,1,Nakobe Dean,https://www.espn.com/nfl/player/_/id/4426340/nakobe-dean,s:20~l:28~a:4426340,Q
Philadelphia Eagles,RILB,2,Jihaad Campbell,https://www.espn.com/nfl/player/_/id/4685287/jihaad-campbell,s:20~l:28~a:4685287,Q
Philadelphia Eagles,RILB,3,Dallas Gant,https://www.espn.com/nfl/player/_/id/4361348/dallas-gant,s:20~l:28~a:4361348,
Philadelphia Eagles,RILB,4,,,,Empty Slot
Philadelphia Eagles,SLB,1,Azeez Ojulari,https://www.espn.com/nfl/player/_/id/4379409/azeez-ojulari,s:20~l:28~a:4379409,
Philadelphia Eagles,SLB,2,Jalyx Hunt,https://www.espn.com/nfl/player/_/id/4571162/jalyx-hunt,s:20~l:28~a:4571162,
Philadelphia Eagles,SLB,3,Antwaun Powell-Ryland Jr.,https://www.espn.com/nfl/player/_/id/4429009/antwaun-powell-ryland-jr,s:20~l:28~a:4429009,
Philadelphia Eagles,SLB,4,KJ Henry,https://www.espn.com/nfl/player/_/id/4360308/kj-henry,s:20~l:28~a:4360308,
Philadelphia Eagles,LCB,1,Quinyon Mitchell,https://www.espn.com/nfl/player/_/id/4686273/quinyon-mitchell,s:20~l:28~a:4686273,
Philadelphia Eagles,LCB,2,Eli Ricks,https://www.espn.com/nfl/player/_/id/4429011/eli-ricks,s:20~l:28~a:4429011,
Philadelphia Eagles,LCB,3,Tariq Castro-Fields,https://www.espn.com/nfl/player/_/id/4259590/tariq-castro-fields,s:20~l:28~a:4259590,
Philadelphia Eagles,LCB,4,BJ Mayes,https://www.espn.com/nfl/player/_/id/4683044/bj-mayes,s:20~l:28~a:4683044,
Philadelphia Eagles,SS,1,Reed Blankenship,https://www.espn.com/nfl/player/_/id/4243956/reed-blankenship,s:20~l:28~a:4243956,
Philadelphia Eagles,SS,2,Sydney Brown,https://www.espn.com/nfl/player/_/id/4360386/sydney-brown,s:20~l:28~a:4360386,
Philadelphia Eagles,SS,3,Lewis Cine,https://www.espn.com/nfl/player/_/id/4426536/lewis-cine,s:20~l:28~a:4426536,
Philadelphia Eagles,SS,4,Maxen Hook,https://www.espn.com/nfl/player/_/id/4431145/maxen-hook,s:20~l:28~a:4431145,
Philadelphia Eagles,FS,1,Andrew Mukuba,https://www.espn.com/nfl/player/_/id/4602197/andrew-mukuba,s:20~l:28~a:4602197,
Philadelphia Eagles,FS,2,Tristin McCollum,https://www.espn.com/nfl/player/_/id/4250393/tristin-mccollum,s:20~l:28~a:4250393,
