TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Philadelphia Eagles,QB,1,Jalen Hurts,https://www.espn.com/nfl/player/_/id/4040715/jalen-hurts,s:20~l:28~a:4040715,
Philadelphia Eagles,QB,2,Tanner McKee,https://www.espn.com/nfl/player/_/id/4685201/tanner-mckee,s:20~l:28~a:4685201,
Philadelphia Eagles,QB,3,Dorian Thompson-Robinson,https://www.espn.com/nfl/player/_/id/4367178/dorian-thompson-robinson,s:20~l:28~a:4367178,
Philadelphia Eagles,QB,4,Kyle McCord,https://www.espn.com/nfl/player/_/id/4433971/kyle-mccord,s:20~l:28~a:4433971,
Philadelphia Eagles,RB,1,Saquon Barkley,https://www.espn.com/nfl/player/_/id/3929630/saquon-barkley,s:20~l:28~a:3929630,
Philadelphia Eagles,RB,2,Will Shipley,https://www.espn.com/nfl/player/_/id/4431545/will-shipley,s:20~l:28~a:4431545,
Philadelphia Eagles,RB,3,AJ Dillon,https://www.espn.com/nfl/player/_/id/4239934/aj-dillon,s:20~l:28~a:4239934,
Philadelphia Eagles,RB,4,Avery Williams,https://www.espn.com/nfl/player/_/id/4048259/avery-williams,s:20~l:28~a:4048259,
Philadelphia Eagles,WR,1,A.J. Brown,https://www.espn.com/nfl/player/_/id/4047646/aj-brown,s:20~l:28~a:4047646,
Philadelphia Eagles,WR,2,Johnny Wilson,https://www.espn.com/nfl/player/_/id/4686104/johnny-wilson,s:20~l:28~a:4686104,
Philadelphia Eagles,WR,3,Elijah Cooks,https://www.espn.com/nfl/player/_/id/4241588/elijah-cooks,s:20~l:28~a:4241588,
Philadelphia Eagles,WR,4,Darius Cooper,https://www.espn.com/nfl/player/_/id/4715355/darius-cooper,s:20~l:28~a:4715355,
Philadelphia Eagles,WR,1,DeVonta Smith,https://www.espn.com/nfl/player/_/id/4241478/devonta-smith,s:20~l:28~a:4241478,
Philadelphia Eagles,WR,2,Terrace Marshall Jr.,https://www.espn.com/nfl/player/_/id/4362630/terrace-marshall-jr,s:20~l:28~a:4362630,
Philadelphia Eagles,WR,3,Danny Gray,https://www.espn.com/nfl/player/_/id/4689546/danny-gray,s:20~l:28~a:4689546,
Philadelphia Eagles,WR,4,Giles Jackson,https://www.espn.com/nfl/player/_/id/4427569/giles-jackson,s:20~l:28~a:4427569,
Philadelphia Eagles,WR,1,Jahan Dotson,https://www.espn.com/nfl/player/_/id/4361409/jahan-dotson,s:20~l:28~a:4361409,
Philadelphia Eagles,WR,2,Ainias Smith,https://www.espn.com/nfl/player/_/id/4428532/ainias-smith,s:20~l:28~a:4428532,
Philadelphia Eagles,WR,3,Taylor Morin,https://www.espn.com/nfl/player/_/id/4567044/taylor-morin,s:20~l:28~a:4567044,
Philadelphia Eagles,WR,4,,,,Empty Slot
Philadelphia Eagles,TE,1,Dallas Goedert,https://www.espn.com/nfl/player/_/id/3121023/dallas-goedert,s:20~l:28~a:3121023,
Philadelphia Eagles,TE,2,Grant Calcaterra,https://www.espn.com/nfl/player/_/id/4241374/grant-calcaterra,s:20~l:28~a:4241374,
Philadelphia Eagles,TE,3,Kylen Granson,https://www.espn.com/nfl/player/_/id/4039160/kylen-granson,s:20~l:28~a:4039160,
Philadelphia Eagles,TE,4,Harrison Bryant,https://www.espn.com/nfl/player/_/id/4040774/harrison-bryant,s:20~l:28~a:4040774,
Philadelphia Eagles,LT,1,Jordan Mailata,https://www.espn.com/nfl/player/_/id/4334215/jordan-mailata,s:20~l:28~a:4334215,
Philadelphia Eagles,LT,2,Myles Hinton,https://www.espn.com/nfl/player/_/id/4429000/myles-hinton,s:20~l:28~a:4429000,
Philadelphia Eagles,LT,3,Hollin Pierce,https://www.espn.com/nfl/player/_/id/4698119/hollin-pierce,s:20~l:28~a:4698119,
Philadelphia Eagles,LT,4,Laekin Vakalahi,https://www.espn.com/nfl/player/_/id/5211218/laekin-vakalahi,s:20~l:28~a:5211218,
Philadelphia Eagles,LG,1,Landon Dickerson,https://www.espn.com/nfl/player/_/id/4035624/landon-dickerson,s:20~l:28~a:4035624,
Philadelphia Eagles,LG,2,Kenyon Green,https://www.espn.com/nfl/player/_/id/4426327/kenyon-green,s:20~l:28~a:4426327,
Philadelphia Eagles,LG,3,Trevor Keegan,https://www.espn.com/nfl/player/_/id/4427140/trevor-keegan,s:20~l:28~a:4427140,
Philadelphia Eagles,LG,4,,,,Empty Slot
Philadelphia Eagles,C,1,Cam Jurgens,https://www.espn.com/nfl/player/_/id/4361178/cam-jurgens,s:20~l:28~a:4361178,Q
Philadelphia Eagles,C,2,Drew Kendall,https://www.espn.com/nfl/player/_/id/4567802/drew-kendall,s:20~l:28~a:4567802,
Philadelphia Eagles,C,3,Brett Toth,https://www.espn.com/nfl/player/_/id/3129116/brett-toth,s:20~l:28~a:3129116,
