TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Philadelphia Eagles,PK,1,Jake Elliott,https://www.espn.com/nfl/player/_/id/3050478/jake-elliott,s:20~l:28~a:3050478,
Philadelphia Eagles,PK,2,,,,Empty Slot
Philadelphia Eagles,PK,3,,,,Empty Slot
Philadelphia Eagles,PK,4,,,,Empty Slot
Philadelphia Eagles,P,1,Braden Mann,https://www.espn.com/nfl/player/_/id/4035239/braden-mann,s:20~l:28~a:4035239,
Philadelphia Eagles,P,2,,,,Empty Slot
Philadelphia Eagles,P,3,,,,Empty Slot
Philadelphia Eagles,P,4,,,,Empty Slot
Philadelphia Eagles,H,1,Braden Mann,https://www.espn.com/nfl/player/_/id/4035239/braden-mann,s:20~l:28~a:4035239,
Philadelphia Eagles,H,2,,,,Empty Slot
Philadelphia Eagles,H,3,,,,Empty Slot
Philadelphia Eagles,H,4,,,,Empty Slot
Philadelphia Eagles,PR,1,Avery Williams,https://www.espn.com/nfl/player/_/id/4048259/avery-williams,s:20~l:28~a:4048259,
Philadelphia Eagles,PR,2,Cooper DeJean,https://www.espn.com/nfl/player/_/id/4682618/cooper-dejean,s:20~l:28~a:4682618,
Philadelphia Eagles,PR,3,,,,Empty Slot
Philadelphia Eagles,PR,4,,,,Empty Slot
Philadelphia Eagles,KR,1,Avery Williams,https://www.espn.com/nfl/player/_/id/4048259/avery-williams,s:20~l:28~a:4048259,
Philadelphia Eagles,KR,2,Will Shipley,https://www.espn.com/nfl/player/_/id/4431545/will-shipley,s:20~l:28~a:4431545,
Philadelphia Eagles,KR,3,,,,Empty Slot
Philadelphia Eagles,KR,4,,,,Empty Slot
Philadelphia Eagles,LS,1,Charley Hughlett,https://www.espn.com/nfl/player/_/id/15379/charley-hughlett,s:20~l:28~a:15379,
Philadelphia Eagles,LS,2,,,,Empty Slot
Philadelphia Eagles,LS,3,,,,Empty Slot
Philadelphia Eagles,LS,4,,,,Empty Slot
