TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
San Francisco 49Ers,LDE,1,Mykel Williams,https://www.espn.com/nfl/player/_/id/4685623/mykel-williams,s:20~l:28~a:4685623,
San Francisco 49Ers,LDE,2,Yetur Gross-Matos,https://www.espn.com/nfl/player/_/id/4259594/yetur-gross-matos,s:20~l:28~a:4259594,
San Francisco 49Ers,LDE,3,Bryce Huff,https://www.espn.com/nfl/player/_/id/4039375/bryce-huff,s:20~l:28~a:4039375,
San Francisco 49Ers,LDE,4,Jonathan Garvin,https://www.espn.com/nfl/player/_/id/4240655/jonathan-garvin,s:20~l:28~a:4240655,
San Francisco 49Ers,LDT,1,Kevin Givens,https://www.espn.com/nfl/player/_/id/3929641/kevin-givens,s:20~l:28~a:3929641,Q
San Francisco 49Ers,LDT,2,CJ West,https://www.espn.com/nfl/player/_/id/4686308/cj-west,s:20~l:28~a:4686308,
San Francisco 49Ers,LDT,3,Evan Anderson,https://www.espn.com/nfl/player/_/id/4612182/evan-anderson,s:20~l:28~a:4612182,
San Francisco 49Ers,LDT,4,,,,Empty Slot
San Francisco 49Ers,RDT,1,Jordan Elliott,https://www.espn.com/nfl/player/_/id/4039052/jordan-elliott,s:20~l:28~a:4039052,
San Francisco 49Ers,RDT,2,Alfred Collins,https://www.espn.com/nfl/player/_/id/4430835/alfred-collins,s:20~l:28~a:4430835,Q
San Francisco 49Ers,RDT,3,Kalia Davis,https://www.espn.com/nfl/player/_/id/4243541/kalia-davis,s:20~l:28~a:4243541,
San Francisco 49Ers,RDT,4,Sebastian Valdez,https://www.espn.com/nfl/player/_/id/4775220/sebastian-valdez,s:20~l:28~a:4775220,
San Francisco 49Ers,RDE,1,Nick Bosa,https://www.espn.com/nfl/player/_/id/4040605/nick-bosa,s:20~l:28~a:4040605,
San Francisco 49Ers,RDE,2,Sam Okuayinonu,https://www.espn.com/nfl/player/_/id/4569497/sam-okuayinonu,s:20~l:28~a:4569497,
San Francisco 49Ers,RDE,3,Robert Beal Jr.,https://www.espn.com/nfl/player/_/id/4259558/robert-beal-jr,s:20~l:28~a:4259558,
San Francisco 49Ers,RDE,4,Tarron Jackson,https://www.espn.com/nfl/player/_/id/4052031/tarron-jackson,s:20~l:28~a:4052031,
San Francisco 49Ers,WLB,1,Dee Winters,https://www.espn.com/nfl/player/_/id/4428914/dee-winters,s:20~l:28~a:4428914,
San Francisco 49Ers,WLB,2,Luke Gifford,https://www.espn.com/nfl/player/_/id/3116097/luke-gifford,s:20~l:28~a:3116097,
San Francisco 49Ers,WLB,3,,,,Empty Slot
San Francisco 49Ers,WLB,4,,,,Empty Slot
San Francisco 49Ers,MLB,1,Fred Warner,https://www.espn.com/nfl/player/_/id/3138826/fred-warner,s:20~l:28~a:3138826,
San Francisco 49Ers,MLB,2,Tatum Bethune,https://www.espn.com/nfl/player/_/id/4426698/tatum-bethune,s:20~l:28~a:4426698,
San Francisco 49Ers,MLB,3,Chazz Surratt,https://www.espn.com/nfl/player/_/id/4037521/chazz-surratt,s:20~l:28~a:4037521,
San Francisco 49Ers,MLB,4,Stone Blanton,https://www.espn.com/nfl/player/_/id/4685270/stone-blanton,s:20~l:28~a:4685270,
San Francisco 49Ers,SLB,1,Nick Martin,https://www.espn.com/nfl/player/_/id/4573188/nick-martin,s:20~l:28~a:4573188,
San Francisco 49Ers,SLB,2,Jalen Graham,https://www.espn.com/nfl/player/_/id/4570410/jalen-graham,s:20~l:28~a:4570410,
San Francisco 49Ers,SLB,3,Curtis Robinson,https://www.espn.com/nfl/player/_/id/4044448/curtis-robinson,s:20~l:28~a:4044448,
San Francisco 49Ers,SLB,4,,,,Empty Slot
San Francisco 49Ers,LCB,1,Deommodore Lenoir,https://www.espn.com/nfl/player/_/id/4242488/deommodore-lenoir,s:20~l:28~a:4242488,
San Francisco 49Ers,LCB,2,Tre Brown,https://www.espn.com/nfl/player/_/id/4241373/tre-brown,s:20~l:28~a:4241373,
San Francisco 49Ers,LCB,3,Tre Avery,https://www.espn.com/nfl/player/_/id/4259300/tre-avery,s:20~l:28~a:4259300,
San Francisco 49Ers,LCB,4,Chase Lucas,https://www.espn.com/nfl/player/_/id/4047846/chase-lucas,s:20~l:28~a:4047846,
San Francisco 49Ers,SS,1,Ji'Ayir Brown,https://www.espn.com/nfl/player/_/id/4693644/jiayir-brown,s:20~l:28~a:4693644,Q
San Francisco 49Ers,SS,2,Richie Grant,https://www.espn.com/nfl/player/_/id/4042119/richie-grant,s:20~l:28~a:4042119,
San Francisco 49Ers,SS,3,George Odum,https://www.espn.com/nfl/player/_/id/3050199/george-odum,s:20~l:28~a:3050199,
San Francisco 49Ers,SS,4,,,,Empty Slot
San Francisco 49Ers,FS,1,Malik Mustapha,https://www.espn.com/nfl/player/_/id/4696211/malik-mustapha,s:20~l:28~a:4696211,Q
San Francisco 49Ers,FS,2,Jason Pinnock,https://www.espn.com/nfl/player/_/id/4240706/jason-pinnock,s:20~l:28~a:4240706,
San Francisco 49Ers,FS,3,Marques Sigle,https://www.espn.com/nfl/player/_/id/4693337/marques-sigle,s:20~l:28~a:4693337,
San Francisco 49Ers,FS,4,Jaylen Mahoney,https://www.espn.com/nfl/player/_/id/4567534/jaylen-mahoney,s:20~l:28~a:4567534,
San Francisco 49Ers,RCB,1,Renardo Green,https://www.espn.com/nfl/player/_/id/4427325/renardo-green,s:20~l:28~a:4427325,
San Francisco 49Ers,RCB,2,Darrell Luter Jr.,https://www.espn.com/nfl/player/_/id/4685978/darrell-luter-jr,s:20~l:28~a:4685978,
San Francisco 49Ers,RCB,3,Dallis Flowers,https://www.espn.com/nfl/player/_/id/4917592/dallis-flowers,s:20~l:28~a:4917592,
San Francisco 49Ers,RCB,4,Jakob Robinson,https://www.espn.com/nfl/player/_/id/4612272/jakob-robinson,s:20~l:28~a:4612272,
San Francisco 49Ers,NB,1,Upton Stout,https://www.espn.com/nfl/player/_/id/4565200/upton-stout,s:20~l:28~a:4565200,
San Francisco 49Ers,NB,2,Siran Neal,https://www.espn.com/nfl/player/_/id/3057524/siran-neal,s:20~l:28~a:3057524,
San Francisco 49Ers,NB,3,Derrick Canteen,https://www.espn.com/nfl/player/_/id/4429366/derrick-canteen,s:20~l:28~a:4429366,
San Francisco 49Ers,NB,4,,,,Empty Slot
