TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
San Francisco 49Ers,QB,1,Brock Purdy,https://www.espn.com/nfl/player/_/id/4361741/brock-purdy,s:20~l:28~a:4361741,
San Francisco 49Ers,QB,2,Mac Jones,https://www.espn.com/nfl/player/_/id/4241464/mac-jones,s:20~l:28~a:4241464,
San Francisco 49Ers,QB,3,Kurtis Rourke,https://www.espn.com/nfl/player/_/id/4430431/kurtis-rourke,s:20~l:28~a:4430431,Q
San Francisco 49Ers,QB,4,Tanner Mordecai,https://www.espn.com/nfl/player/_/id/4360271/tanner-mordecai,s:20~l:28~a:4360271,
San Francisco 49Ers,RB,1,Christian McCaffrey,https://www.espn.com/nfl/player/_/id/3117251/christian-mccaffrey,s:20~l:28~a:3117251,
San Francisco 49Ers,RB,2,Isaac Guerendo,https://www.espn.com/nfl/player/_/id/4372561/isaac-guerendo,s:20~l:28~a:4372561,
San Francisco 49Ers,RB,3,Jordan James,https://www.espn.com/nfl/player/_/id/4685397/jordan-james,s:20~l:28~a:4685397,
San Francisco 49Ers,RB,4,Patrick Taylor Jr.,https://www.espn.com/nfl/player/_/id/4039358/patrick-taylor-jr,s:20~l:28~a:4039358,
San Francisco 49Ers,WR,1,Brandon Aiyuk,https://www.espn.com/nfl/player/_/id/4360438/brandon-aiyuk,s:20~l:28~a:4360438,Q
San Francisco 49Ers,WR,2,Demarcus Robinson,https://www.espn.com/nfl/player/_/id/3043116/demarcus-robinson,s:20~l:28~a:3043116,
San Francisco 49Ers,WR,3,Junior Bergen,https://www.espn.com/nfl/player/_/id/4887918/junior-bergen,s:20~l:28~a:4887918,
San Francisco 49Ers,WR,4,Terique Owens,https://www.espn.com/nfl/player/_/id/4571579/terique-owens,s:20~l:28~a:4571579,
San Francisco 49Ers,WR,1,Jauan Jennings,https://www.espn.com/nfl/player/_/id/3886598/jauan-jennings,s:20~l:28~a:3886598,
San Francisco 49Ers,WR,2,Jacob Cowing,https://www.espn.com/nfl/player/_/id/4575665/jacob-cowing,s:20~l:28~a:4575665,
