TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
San Francisco 49Ers,PK,1,Jake Moody,https://www.espn.com/nfl/player/_/id/4372066/jake-moody,s:20~l:28~a:4372066,
San Francisco 49Ers,PK,2,Greg Joseph,https://www.espn.com/nfl/player/_/id/3975763/greg-joseph,s:20~l:28~a:3975763,
San Francisco 49Ers,PK,3,,,,Empty Slot
San Francisco 49Ers,PK,4,,,,Empty Slot
San Francisco 49Ers,P,1,Thomas Morstead,https://www.espn.com/nfl/player/_/id/12701/thomas-morstead,s:20~l:28~a:12701,
San Francisco 49Ers,P,2,,,,Empty Slot
San Francisco 49Ers,P,3,,,,Empty Slot
San Francisco 49Ers,P,4,,,,Empty Slot
San Francisco 49Ers,H,1,Thomas Morstead,https://www.espn.com/nfl/player/_/id/12701/thomas-morstead,s:20~l:28~a:12701,
San Francisco 49Ers,H,2,,,,Empty Slot
San Francisco 49Ers,H,3,,,,Empty Slot
San Francisco 49Ers,H,4,,,,Empty Slot
San Francisco 49Ers,PR,1,Jacob Cowing,https://www.espn.com/nfl/player/_/id/4575665/jacob-cowing,s:20~l:28~a:4575665,
San Francisco 49Ers,PR,2,Ricky Pearsall,https://www.espn.com/nfl/player/_/id/4428209/ricky-pearsall,s:20~l:28~a:4428209,Q
San Francisco 49Ers,PR,3,Jordan Watkins,https://www.espn.com/nfl/player/_/id/4431466/jordan-watkins,s:20~l:28~a:4431466,
San Francisco 49Ers,PR,4,Junior Bergen,https://www.espn.com/nfl/player/_/id/4887918/junior-bergen,s:20~l:28~a:4887918,
San Francisco 49Ers,KR,1,Isaac Guerendo,https://www.espn.com/nfl/player/_/id/4372561/isaac-guerendo,s:20~l:28~a:4372561,
San Francisco 49Ers,KR,2,Patrick Taylor Jr.,https://www.espn.com/nfl/player/_/id/4039358/patrick-taylor-jr,s:20~l:28~a:4039358,
San Francisco 49Ers,KR,3,Junior Bergen,https://www.espn.com/nfl/player/_/id/4887918/junior-bergen,s:20~l:28~a:4887918,
San Francisco 49Ers,KR,4,,,,Empty Slot
San Francisco 49Ers,LS,1,Jon Weeks,https://www.espn.com/nfl/player/_/id/13729/jon-weeks,s:20~l:28~a:13729,
San Francisco 49Ers,LS,2,,,,Empty Slot
San Francisco 49Ers,LS,3,,,,Empty Slot
San Francisco 49Ers,LS,4,,,,Empty Slot
