TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Seattle Seahawks,LDE,1,Jarran Reed,https://www.espn.com/nfl/player/_/id/3115312/jarran-reed,s:20~l:28~a:3115312,
Seattle Seahawks,LDE,2,Mike Morris,https://www.espn.com/nfl/player/_/id/4572055/mike-morris,s:20~l:28~a:4572055,
Seattle Seahawks,LDE,3,Bubba Thomas,https://www.espn.com/nfl/player/_/id/4428657/bubba-thomas,s:20~l:28~a:4428657,
Seattle Seahawks,LDE,4,,,,Empty Slot
Seattle Seahawks,NT,1,Byron Murphy II,https://www.espn.com/nfl/player/_/id/4570040/byron-murphy-ii,s:20~l:28~a:4570040,
Seattle Seahawks,NT,2,Johnathan Hankins,https://www.espn.com/nfl/player/_/id/15841/johnathan-hankins,s:20~l:28~a:15841,
Seattle Seahawks,NT,3,Quinton Bohanna,https://www.espn.com/nfl/player/_/id/4259978/quinton-bohanna,s:20~l:28~a:4259978,
Seattle Seahawks,NT,4,Brandon Pili,https://www.espn.com/nfl/player/_/id/4259651/brandon-pili,s:20~l:28~a:4259651,
Seattle Seahawks,RDE,1,Leonard Williams,https://www.espn.com/nfl/player/_/id/2971622/leonard-williams,s:20~l:28~a:2971622,
Seattle Seahawks,RDE,2,Rylie Mills,https://www.espn.com/nfl/player/_/id/4430838/rylie-mills,s:20~l:28~a:4430838,Q
Seattle Seahawks,RDE,3,J.R. Singleton,https://www.espn.com/nfl/player/_/id/4686447/jr-singleton,s:20~l:28~a:4686447,
Seattle Seahawks,RDE,4,,,,Empty Slot
Seattle Seahawks,WLB,1,DeMarcus Lawrence,https://www.espn.com/nfl/player/_/id/16802/demarcus-lawrence,s:20~l:28~a:16802,
Seattle Seahawks,WLB,2,Derick Hall,https://www.espn.com/nfl/player/_/id/4567226/derick-hall,s:20~l:28~a:4567226,
Seattle Seahawks,WLB,3,Tyreke Smith,https://www.espn.com/nfl/player/_/id/4361340/tyreke-smith,s:20~l:28~a:4361340,
Seattle Seahawks,WLB,4,Seth Coleman,https://www.espn.com/nfl/player/_/id/4429436/seth-coleman,s:20~l:28~a:4429436,
Seattle Seahawks,LILB,1,Tyrice Knight,https://www.espn.com/nfl/player/_/id/4686540/tyrice-knight,s:20~l:28~a:4686540,
Seattle Seahawks,LILB,2,Drake Thomas,https://www.espn.com/nfl/player/_/id/4428659/drake-thomas,s:20~l:28~a:4428659,
Seattle Seahawks,LILB,3,D'Eryk Jackson,https://www.espn.com/nfl/player/_/id/4431169/deryk-jackson,s:20~l:28~a:4431169,
Seattle Seahawks,LILB,4,,,,Empty Slot
Seattle Seahawks,RILB,1,Ernest Jones IV,https://www.espn.com/nfl/player/_/id/4362851/ernest-jones-iv,s:20~l:28~a:4362851,Q
Seattle Seahawks,RILB,2,Josh Ross,https://www.espn.com/nfl/player/_/id/4258198/josh-ross,s:20~l:28~a:4258198,
Seattle Seahawks,RILB,3,Patrick O'Connell,https://www.espn.com/nfl/player/_/id/4364623/patrick-oconnell,s:20~l:28~a:4364623,
Seattle Seahawks,RILB,4,,,,Empty Slot
Seattle Seahawks,SLB,1,Boye Mafe,https://www.espn.com/nfl/player/_/id/4240754/boye-mafe,s:20~l:28~a:4240754,
Seattle Seahawks,SLB,2,Uchenna Nwosu,https://www.espn.com/nfl/player/_/id/3120358/uchenna-nwosu,s:20~l:28~a:3120358,Q
Seattle Seahawks,SLB,3,Jamie Sheriff,https://www.espn.com/nfl/player/_/id/4685984/jamie-sheriff,s:20~l:28~a:4685984,
Seattle Seahawks,SLB,4,Jared Ivey,https://www.espn.com/nfl/player/_/id/4605478/jared-ivey,s:20~l:28~a:4605478,
Seattle Seahawks,LCB,1,Riq Woolen,https://www.espn.com/nfl/player/_/id/4245185/riq-woolen,s:20~l:28~a:4245185,
Seattle Seahawks,LCB,2,Nehemiah Pritchett,https://www.espn.com/nfl/player/_/id/4567222/nehemiah-pritchett,s:20~l:28~a:4567222,
Seattle Seahawks,LCB,3,Isas Waxter,https://www.espn.com/nfl/player/_/id/4574105/isas-waxter,s:20~l:28~a:4574105,
Seattle Seahawks,LCB,4,,,,Empty Slot
Seattle Seahawks,SS,1,Coby Bryant,https://www.espn.com/nfl/player/_/id/4239094/coby-bryant,s:20~l:28~a:4239094,
Seattle Seahawks,SS,2,Nick Emmanwori,https://www.espn.com/nfl/player/_/id/4869523/nick-emmanwori,s:20~l:28~a:4869523,
Seattle Seahawks,SS,3,,,,Empty Slot
Seattle Seahawks,SS,4,,,,Empty Slot
Seattle Seahawks,FS,1,Julian Love,https://www.espn.com/nfl/player/_/id/4046675/julian-love,s:20~l:28~a:4046675,
Seattle Seahawks,FS,2,D'Anthony Bell,https://www.espn.com/nfl/player/_/id/4608386/danthony-bell,s:20~l:28~a:4608386,
Seattle Seahawks,FS,3,AJ Finley,https://www.espn.com/nfl/player/_/id/4427190/aj-finley,s:20~l:28~a:4427190,
Seattle Seahawks,FS,4,Jerrick Reed II,https://www.espn.com/nfl/player/_/id/4570084/jerrick-reed-ii,s:20~l:28~a:4570084,
Seattle Seahawks,RCB,1,Josh Jobe,https://www.espn.com/nfl/player/_/id/4372020/josh-jobe,s:20~l:28~a:4372020,
Seattle Seahawks,RCB,2,Shemar Jean-Charles,https://www.espn.com/nfl/player/_/id/4036430/shemar-jean-charles,s:20~l:28~a:4036430,
Seattle Seahawks,RCB,3,Ryan Cooper Jr.,https://www.espn.com/nfl/player/_/id/5085881/ryan-cooper-jr,s:20~l:28~a:5085881,
Seattle Seahawks,RCB,4,,,,Empty Slot
Seattle Seahawks,NB,1,Devon Witherspoon,https://www.espn.com/nfl/player/_/id/4575431/devon-witherspoon,s:20~l:28~a:4575431,
Seattle Seahawks,NB,2,Damarion Williams,https://www.espn.com/nfl/player/_/id/4567480/damarion-williams,s:20~l:28~a:4567480,
Seattle Seahawks,NB,3,Tyler Hall,https://www.espn.com/nfl/player/_/id/4048718/tyler-hall,s:20~l:28~a:4048718,
Seattle Seahawks,NB,4,,,,Empty Slot
