TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Seattle Seahawks,PK,1,Jason Myers,https://www.espn.com/nfl/player/_/id/2473037/jason-myers,s:20~l:28~a:2473037,
Seattle Seahawks,PK,2,,,,Empty Slot
Seattle Seahawks,PK,3,,,,Empty Slot
Seattle Seahawks,PK,4,,,,Empty Slot
Seattle Seahawks,P,1,Michael Dickson,https://www.espn.com/nfl/player/_/id/3929851/michael-dickson,s:20~l:28~a:3929851,
Seattle Seahawks,P,2,,,,Empty Slot
Seattle Seahawks,P,3,,,,Empty Slot
Seattle Seahawks,P,4,,,,Empty Slot
Seattle Seahawks,H,1,Michael Dickson,https://www.espn.com/nfl/player/_/id/3929851/michael-dickson,s:20~l:28~a:3929851,
Seattle Seahawks,H,2,,,,Empty Slot
Seattle Seahawks,H,3,,,,Empty Slot
Seattle Seahawks,H,4,,,,Empty Slot
Seattle Seahawks,PR,1,Tory Horton,https://www.espn.com/nfl/player/_/id/4597703/tory-horton,s:20~l:28~a:4597703,
Seattle Seahawks,PR,2,Steven Sims,https://www.espn.com/nfl/player/_/id/3917960/steven-sims,s:20~l:28~a:3917960,
Seattle Seahawks,PR,3,Ricky White III,https://www.espn.com/nfl/player/_/id/4431479/ricky-white-iii,s:20~l:28~a:4431479,
Seattle Seahawks,PR,4,,,,Empty Slot
Seattle Seahawks,KR,1,Kenny McIntosh,https://www.espn.com/nfl/player/_/id/4427391/kenny-mcintosh,s:20~l:28~a:4427391,
Seattle Seahawks,KR,2,Steven Sims,https://www.espn.com/nfl/player/_/id/3917960/steven-sims,s:20~l:28~a:3917960,
Seattle Seahawks,KR,3,,,,Empty Slot
Seattle Seahawks,KR,4,,,,Empty Slot
Seattle Seahawks,LS,1,Chris Stoll,https://www.espn.com/nfl/player/_/id/4259606/chris-stoll,s:20~l:28~a:4259606,
Seattle Seahawks,LS,2,,,,Empty Slot
Seattle Seahawks,LS,3,,,,Empty Slot
Seattle Seahawks,LS,4,,,,Empty Slot
