TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Tampa Bay Buccaneers,LDE,1,Logan Hall,https://www.espn.com/nfl/player/_/id/4360189/logan-hall,s:20~l:28~a:4360189,
Tampa Bay Buccaneers,LDE,2,Elijah Roberts,https://www.espn.com/nfl/player/_/id/4690795/elijah-roberts,s:20~l:28~a:4690795,
Tampa Bay Buccaneers,LDE,3,Mike Greene,https://www.espn.com/nfl/player/_/id/4249596/mike-greene,s:20~l:28~a:4249596,
Tampa Bay Buccaneers,LDE,4,,,,Empty Slot
Tampa Bay Buccaneers,NT,1,Vita Vea,https://www.espn.com/nfl/player/_/id/3134362/vita-vea,s:20~l:28~a:3134362,
Tampa Bay Buccaneers,NT,2,Greg Gaines,https://www.espn.com/nfl/player/_/id/3127294/greg-gaines,s:20~l:28~a:3127294,
Tampa Bay Buccaneers,NT,3,Desmond Watson,https://www.espn.com/nfl/player/_/id/4431607/desmond-watson,s:20~l:28~a:4431607,
Tampa Bay Buccaneers,NT,4,Nash Hutmacher,https://www.espn.com/nfl/player/_/id/4431153/nash-hutmacher,s:20~l:28~a:4431153,
Tampa Bay Buccaneers,RDE,1,Calijah Kancey,https://www.espn.com/nfl/player/_/id/4427673/calijah-kancey,s:20~l:28~a:4427673,
Tampa Bay Buccaneers,RDE,2,C.J. Brewer,https://www.espn.com/nfl/player/_/id/4052017/cj-brewer,s:20~l:28~a:4052017,
Tampa Bay Buccaneers,RDE,3,Adam Gotsis,https://www.espn.com/nfl/player/_/id/2971498/adam-gotsis,s:20~l:28~a:2971498,
Tampa Bay Buccaneers,RDE,4,,,,Empty Slot
Tampa Bay Buccaneers,WLB,1,Yaya Diaby,https://www.espn.com/nfl/player/_/id/4686334/yaya-diaby,s:20~l:28~a:4686334,
Tampa Bay Buccaneers,WLB,2,Anthony Nelson,https://www.espn.com/nfl/player/_/id/3894856/anthony-nelson,s:20~l:28~a:3894856,
Tampa Bay Buccaneers,WLB,3,David Walker,https://www.espn.com/nfl/player/_/id/5085355/david-walker,s:20~l:28~a:5085355,
Tampa Bay Buccaneers,WLB,4,Jose Ramirez,https://www.espn.com/nfl/player/_/id/4569068/jose-ramirez,s:20~l:28~a:4569068,
Tampa Bay Buccaneers,LILB,1,Anthony Walker Jr.,https://www.espn.com/nfl/player/_/id/3045251/anthony-walker-jr,s:20~l:28~a:3045251,
Tampa Bay Buccaneers,LILB,2,SirVocea Dennis,https://www.espn.com/nfl/player/_/id/4429511/sirvocea-dennis,s:20~l:28~a:4429511,
Tampa Bay Buccaneers,LILB,3,Nick Jackson,https://www.espn.com/nfl/player/_/id/4568492/nick-jackson,s:20~l:28~a:4568492,
Tampa Bay Buccaneers,LILB,4,,,,Empty Slot
Tampa Bay Buccaneers,RILB,1,Lavonte David,https://www.espn.com/nfl/player/_/id/14985/lavonte-david,s:20~l:28~a:14985,
Tampa Bay Buccaneers,RILB,2,Deion Jones,https://www.espn.com/nfl/player/_/id/2976545/deion-jones,s:20~l:28~a:2976545,
Tampa Bay Buccaneers,RILB,3,Antonio Grier Jr.,https://www.espn.com/nfl/player/_/id/4360864/antonio-grier-jr,s:20~l:28~a:4360864,
Tampa Bay Buccaneers,RILB,4,John Bullock,https://www.espn.com/nfl/player/_/id/4569563/john-bullock,s:20~l:28~a:4569563,
Tampa Bay Buccaneers,SLB,1,Haason Reddick,https://www.espn.com/nfl/player/_/id/2980504/haason-reddick,s:20~l:28~a:2980504,
Tampa Bay Buccaneers,SLB,2,Chris Braswell,https://www.espn.com/nfl/player/_/id/4428989/chris-braswell,s:20~l:28~a:4428989,
Tampa Bay Buccaneers,SLB,3,Warren Peeples,https://www.espn.com/nfl/player/_/id/4911840/warren-peeples,s:20~l:28~a:4911840,
Tampa Bay Buccaneers,SLB,4,,,,Empty Slot
Tampa Bay Buccaneers,LCB,1,Zyon McCollum,https://www.espn.com/nfl/player/_/id/4250392/zyon-mccollum,s:20~l:28~a:4250392,
Tampa Bay Buccaneers,LCB,2,Josh Hayes,https://www.espn.com/nfl/player/_/id/4248533/josh-hayes,s:20~l:28~a:4248533,
Tampa Bay Buccaneers,LCB,3,Tyrek Funderburk,https://www.espn.com/nfl/player/_/id/4367330/tyrek-funderburk,s:20~l:28~a:4367330,
Tampa Bay Buccaneers,LCB,4,Roman Parodie,https://www.espn.com/nfl/player/_/id/4565547/roman-parodie,s:20~l:28~a:4565547,
Tampa Bay Buccaneers,SS,1,Antoine Winfield Jr.,https://www.espn.com/nfl/player/_/id/4034790/antoine-winfield-jr,s:20~l:28~a:4034790,
Tampa Bay Buccaneers,SS,2,Kaevon Merriweather,https://www.espn.com/nfl/player/_/id/4360502/kaevon-merriweather,s:20~l:28~a:4360502,
Tampa Bay Buccaneers,SS,3,Rashad Wisdom,https://www.espn.com/nfl/player/_/id/4428917/rashad-wisdom,s:20~l:28~a:4428917,
Tampa Bay Buccaneers,SS,4,,,,Empty Slot
Tampa Bay Buccaneers,FS,1,Christian Izien,https://www.espn.com/nfl/player/_/id/4372459/christian-izien,s:20~l:28~a:4372459,
Tampa Bay Buccaneers,FS,2,Marcus Banks,https://www.espn.com/nfl/player/_/id/4567109/marcus-banks,s:20~l:28~a:4567109,
Tampa Bay Buccaneers,FS,3,J.J. Roberts,https://www.espn.com/nfl/player/_/id/4566165/jj-roberts,s:20~l:28~a:4566165,
Tampa Bay Buccaneers,FS,4,Shilo Sanders,https://www.espn.com/nfl/player/_/id/4426508/shilo-sanders,s:20~l:28~a:4426508,
Tampa Bay Buccaneers,RCB,1,Jamel Dean,https://www.espn.com/nfl/player/_/id/3873935/jamel-dean,s:20~l:28~a:3873935,
Tampa Bay Buccaneers,RCB,2,Benjamin Morrison,https://www.espn.com/nfl/player/_/id/4816107/benjamin-morrison,s:20~l:28~a:4816107,Q
Tampa Bay Buccaneers,RCB,3,Bryce Hall,https://www.espn.com/nfl/player/_/id/4037584/bryce-hall,s:20~l:28~a:4037584,
Tampa Bay Buccaneers,RCB,4,,,,Empty Slot
Tampa Bay Buccaneers,NB,1,Tykee Smith,https://www.espn.com/nfl/player/_/id/4428522/tykee-smith,s:20~l:28~a:4428522,
Tampa Bay Buccaneers,NB,2,Jacob Parrish,https://www.espn.com/nfl/player/_/id/4912847/jacob-parrish,s:20~l:28~a:4912847,
Tampa Bay Buccaneers,NB,3,Kindle Vildor,https://www.espn.com/nfl/player/_/id/4036651/kindle-vildor,s:20~l:28~a:4036651,
Tampa Bay Buccaneers,NB,4,,,,Empty Slot
