TeamName,Position,Depth,PlayerName,PlayerURL,PlayerUID,InjuryStatus
Tampa Bay Buccaneers,QB,1,Baker Mayfield,https://www.espn.com/nfl/player/_/id/3052587/baker-mayfield,s:20~l:28~a:3052587,
Tampa Bay Buccaneers,QB,2,Kyle Trask,https://www.espn.com/nfl/player/_/id/4034946/kyle-trask,s:20~l:28~a:4034946,
Tampa Bay Buccaneers,QB,3,Michael Pratt,https://www.espn.com/nfl/player/_/id/4685039/michael-pratt,s:20~l:28~a:4685039,
Tampa Bay Buccaneers,QB,4,Connor Bazelak,https://www.espn.com/nfl/player/_/id/4426444/connor-bazelak,s:20~l:28~a:4426444,
Tampa Bay Buccaneers,RB,1,Bucky Irving,https://www.espn.com/nfl/player/_/id/4596448/bucky-irving,s:20~l:28~a:4596448,
Tampa Bay Buccaneers,RB,2,Rachaad White,https://www.espn.com/nfl/player/_/id/4697815/rachaad-white,s:20~l:28~a:4697815,
Tampa Bay Buccaneers,RB,3,Sean Tucker,https://www.espn.com/nfl/player/_/id/4430871/sean-tucker,s:20~l:28~a:4430871,
Tampa Bay Buccaneers,RB,4,D.J. Williams,https://www.espn.com/nfl/player/_/id/4567216/dj-williams,s:20~l:28~a:4567216,
Tampa Bay Buccaneers,WR,1,Mike Evans,https://www.espn.com/nfl/player/_/id/16737/mike-evans,s:20~l:28~a:16737,
Tampa Bay Buccaneers,WR,2,Jalen McMillan,https://www.espn.com/nfl/player/_/id/4430834/jalen-mcmillan,s:20~l:28~a:4430834,
Tampa Bay Buccaneers,WR,3,Tez Johnson,https://www.espn.com/nfl/player/_/id/4608810/tez-johnson,s:20~l:28~a:4608810,
Tampa Bay Buccaneers,WR,4,Kameron Johnson,https://www.espn.com/nfl/player/_/id/5097554/kameron-johnson,s:20~l:28~a:5097554,
Tampa Bay Buccaneers,WR,1,Chris Godwin,https://www.espn.com/nfl/player/_/id/3116165/chris-godwin,s:20~l:28~a:3116165,Q
Tampa Bay Buccaneers,WR,2,Sterling Shepard,https://www.espn.com/nfl/player/_/id/2976592/sterling-shepard,s:20~l:28~a:2976592,
Tampa Bay Buccaneers,WR,3,Ryan Miller,https://www.espn.com/nfl/player/_/id/4369466/ryan-miller,s:20~l:28~a:4369466,
Tampa Bay Buccaneers,WR,4,Dennis Houston,https://www.espn.com/nfl/player/_/id/4572786/dennis-houston,s:20~l:28~a:4572786,
Tampa Bay Buccaneers,WR,1,Emeka Egbuka,https://www.espn.com/nfl/player/_/id/4567750/emeka-egbuka,s:20~l:28~a:4567750,
Tampa Bay Buccaneers,WR,2,Trey Palmer,https://www.espn.com/nfl/player/_/id/4426407/trey-palmer,s:20~l:28~a:4426407,
Tampa Bay Buccaneers,WR,3,Rakim Jarrett,https://www.espn.com/nfl/player/_/id/4429006/rakim-jarrett,s:20~l:28~a:4429006,
Tampa Bay Buccaneers,WR,4,Garrett Greene,https://www.espn.com/nfl/player/_/id/4429847/garrett-greene,s:20~l:28~a:4429847,
Tampa Bay Buccaneers,TE,1,Cade Otton,https://www.espn.com/nfl/player/_/id/4243331/cade-otton,s:20~l:28~a:4243331,
Tampa Bay Buccaneers,TE,2,Payne Durham,https://www.espn.com/nfl/player/_/id/4372505/payne-durham,s:20~l:28~a:4372505,
Tampa Bay Buccaneers,TE,3,Ko Kieft,https://www.espn.com/nfl/player/_/id/4034779/ko-kieft,s:20~l:28~a:4034779,
Tampa Bay Buccaneers,TE,4,Devin Culp,https://www.espn.com/nfl/player/_/id/4361112/devin-culp,s:20~l:28~a:4361112,
Tampa Bay Buccaneers,LT,1,Tristan Wirfs,https://www.espn.com/nfl/player/_/id/4240589/tristan-wirfs,s:20~l:28~a:4240589,Q
Tampa Bay Buccaneers,LT,2,Charlie Heck,https://www.espn.com/nfl/player/_/id/3895840/charlie-heck,s:20~l:28~a:3895840,
Tampa Bay Buccaneers,LT,3,Ben Chukwuma,https://www.espn.com/nfl/player/_/id/4690787/ben-chukwuma,s:20~l:28~a:4690787,
Tampa Bay Buccaneers,LT,4,,,,Empty Slot
Tampa Bay Buccaneers,LG,1,Ben Bredeson,https://www.espn.com/nfl/player/_/id/4046551/ben-bredeson,s:20~l:28~a:4046551,
Tampa Bay Buccaneers,LG,2,Sua Opeta,https://www.espn.com/nfl/player/_/id/3121009/sua-opeta,s:20~l:28~a:3121009,Q
Tampa Bay Buccaneers,LG,3,Raiqwon O'Neal,https://www.espn.com/nfl/player/_/id/4361528/raiqwon-oneal,s:20~l:28~a:4361528,
Tampa Bay Buccaneers,LG,4,,,,Empty Slot
Tampa Bay Buccaneers,C,1,Graham Barton,https://www.espn.com/nfl/player/_/id/4429251/graham-barton,s:20~l:28~a:4429251,
Tampa Bay Buccaneers,C,2,Jake Majors,https://www.espn.com/nfl/player/_/id/4430814/jake-majors,s:20~l:28~a:4430814,
Tampa Bay Buccaneers,C,3,Ben Scott,https://www.espn.com/nfl/player/_/id/4569202/ben-scott,s:20~l:28~a:4569202,
Tampa Bay Buccaneers,C,4,,,,Empty Slot
Tampa Bay Buccaneers,RG,1,Cody Mauch,https://www.espn.com/nfl/player/_/id/4248545/cody-mauch,s:20~l:28~a:4248545,
Tampa Bay Buccaneers,RG,2,Elijah Klein,https://www.espn.com/nfl/player/_/id/4362066/elijah-klein,s:20~l:28~a:4362066,
Tampa Bay Buccaneers,RG,3,Luke Haggard,https://www.espn.com/nfl/player/_/id/4686884/luke-haggard,s:20~l:28~a:4686884,
Tampa Bay Buccaneers,RG,4,,,,Empty Slot
Tampa Bay Buccaneers,RT,1,Luke Goedeke,https://www.espn.com/nfl/player/_/id/4380507/luke-goedeke,s:20~l:28~a:4380507,
